frequency,raw,smoothed,error,equalization
20.0000,4.5100,4.6210,4.6210,-4.6210
20.1998,4.5400,4.6331,4.6331,-4.6331
20.4015,4.5802,4.6468,4.6468,-4.6468
20.6053,4.6093,4.6617,4.6617,-4.6617
20.8112,4.6402,4.6776,4.6776,-4.6776
21.0190,4.6699,4.6942,4.6942,-4.6942
21.2290,4.6999,4.7114,4.7114,-4.7114
21.4410,4.7201,4.7294,4.7294,-4.7294
21.6552,4.7493,4.7482,4.7482,-4.7482
21.8715,4.7702,4.7679,4.7679,-4.7679
22.0900,4.8000,4.7887,4.7887,-4.7887
22.3106,4.8201,4.8107,4.8107,-4.8107
22.5335,4.8394,4.8333,4.8333,-4.8333
22.7586,4.8599,4.8553,4.8553,-4.8553
22.9859,4.8895,4.8768,4.8768,-4.8768
23.2155,4.9096,4.8977,4.8977,-4.8977
23.4474,4.9199,4.9182,4.9182,-4.9182
23.6816,4.9393,4.9385,4.9385,-4.9385
23.9182,4.9598,4.9589,4.9589,-4.9589
24.1571,4.9798,4.9794,4.9794,-4.9794
24.3984,4.9899,5.0000,5.0000,-5.0000
24.6421,5.0094,5.0212,5.0212,-5.0212
24.8882,5.0299,5.0429,5.0429,-5.0429
25.1368,5.0497,5.0654,5.0654,-5.0654
25.3879,5.0798,5.0885,5.0885,-5.0885
25.6415,5.0993,5.1122,5.1122,-5.1122
25.8976,5.1286,5.1367,5.1367,-5.1367
26.1563,5.1497,5.1619,5.1619,-5.1619
26.4176,5.1786,5.1877,5.1877,-5.1877
26.6815,5.2090,5.2141,5.2141,-5.2141
26.9480,5.2387,5.2409,5.2409,-5.2409
27.2172,5.2686,5.2680,5.2680,-5.2680
27.4890,5.2988,5.2952,5.2952,-5.2952
27.7636,5.3293,5.3223,5.3223,-5.3223
28.0409,5.3494,5.3493,5.3493,-5.3493
28.3210,5.3790,5.3760,5.3760,-5.3760
28.6039,5.4083,5.4023,5.4023,-5.4023
28.8896,5.4389,5.4281,5.4281,-5.4281
29.1782,5.4592,5.4533,5.4533,-5.4533
29.4697,5.4889,5.4777,5.4777,-5.4777
29.7640,5.5089,5.5012,5.5012,-5.5012
30.0613,5.5381,5.5239,5.5239,-5.5239
30.3616,5.5588,5.5454,5.5454,-5.5454
30.6649,5.5790,5.5659,5.5659,-5.5659
30.9712,5.5988,5.5851,5.5851,-5.5851
31.2806,5.6187,5.6031,5.6031,-5.6031
31.5930,5.6389,5.6198,5.6198,-5.6198
31.9086,5.6493,5.6351,5.6351,-5.6351
32.2273,5.6692,5.6489,5.6489,-5.6489
32.5492,5.6794,5.6611,5.6611,-5.6611
32.8744,5.6895,5.6718,5.6718,-5.6718
33.2027,5.6995,5.6810,5.6810,-5.6810
33.5344,5.7095,5.6885,5.6885,-5.6885
33.8694,5.7100,5.6944,5.6944,-5.6944
34.2077,5.7193,5.6987,5.6987,-5.6987
34.5494,5.7200,5.7014,5.7014,-5.7014
34.8945,5.7200,5.7026,5.7026,-5.7026
35.2430,5.7200,5.7023,5.7023,-5.7023
35.5951,5.7200,5.7005,5.7005,-5.7005
35.9506,5.7106,5.6975,5.6975,-5.6975
36.3097,5.7100,5.6932,5.6932,-5.6932
36.6724,5.7007,5.6877,5.6877,-5.6877
37.0387,5.6906,5.6812,5.6812,-5.6812
37.4087,5.6806,5.6738,5.6738,-5.6738
37.7824,5.6707,5.6655,5.6655,-5.6655
38.1598,5.6608,5.6567,5.6567,-5.6567
38.5409,5.6508,5.6473,5.6473,-5.6473
38.9259,5.6406,5.6374,5.6374,-5.6374
39.3147,5.6306,5.6271,5.6271,-5.6271
39.7074,5.6208,5.6165,5.6165,-5.6165
40.1041,5.6109,5.6055,5.6055,-5.6055
40.5046,5.5918,5.5941,5.5941,-5.5941
40.9092,5.5808,5.5825,5.5825,-5.5825
41.3179,5.5708,5.5706,5.5706,-5.5706
41.7306,5.5607,5.5584,5.5584,-5.5584
42.1474,5.5508,5.5458,5.5458,-5.5458
42.5684,5.5408,5.5327,5.5327,-5.5327
42.9936,5.5308,5.5189,5.5189,-5.5189
43.4231,5.5117,5.5045,5.5045,-5.5045
43.8568,5.5010,5.4893,5.4893,-5.4893
44.2949,5.4816,5.4734,5.4734,-5.4734
44.7374,5.4709,5.4567,5.4567,-5.4567
45.1842,5.4520,5.4392,5.4392,-5.4392
45.6356,5.4320,5.4207,5.4207,-5.4207
46.0914,5.4117,5.4012,5.4012,-5.4012
46.5518,5.3921,5.3807,5.3807,-5.3807
47.0168,5.3719,5.3592,5.3592,-5.3592
