frequency,raw,smoothed,error,equalization
20.0000,-3.7000,-3.3926,-3.3926,3.3926
20.1998,-3.6401,-3.3493,-3.3493,3.3493
20.4015,-3.5696,-3.2992,-3.2992,3.2992
20.6053,-3.5113,-3.2430,-3.2430,3.2430
20.8112,-3.3793,-3.1808,-3.1808,3.1808
21.0190,-3.2606,-3.1136,-3.1136,3.1136
21.2290,-3.1406,-3.0415,-3.0415,3.0415
21.4410,-3.0295,-2.9647,-2.9647,2.9647
21.6552,-2.9224,-2.8827,-2.8827,2.8827
21.8715,-2.8092,-2.7950,-2.7950,2.7950
22.0900,-2.7000,-2.7009,-2.7009,2.7009
22.3106,-2.5897,-2.5994,-2.5994,2.5994
22.5335,-2.4831,-2.4928,-2.4928,2.4928
22.7586,-2.3707,-2.3863,-2.3863,2.3863
22.9859,-2.2718,-2.2804,-2.2804,2.2804
23.2155,-2.1621,-2.1755,-2.1755,2.1755
23.4474,-2.0611,-2.0718,-2.0718,2.0718
23.6816,-1.9635,-1.9692,-1.9692,1.9692
23.9182,-1.8509,-1.8676,-1.8676,1.8676
24.1571,-1.7512,-1.7672,-1.7672,1.7672
24.3984,-1.6507,-1.6681,-1.6681,1.6681
24.6421,-1.5532,-1.5704,-1.5704,1.5704
24.8882,-1.4607,-1.4740,-1.4740,1.4740
25.1368,-1.3613,-1.3790,-1.3790,1.3790
25.3879,-1.2707,-1.2854,-1.2854,1.2854
25.6415,-1.1829,-1.1934,-1.1934,1.1934
25.8976,-1.0848,-1.1027,-1.1027,1.1027
26.1563,-0.9913,-1.0136,-1.0136,1.0136
26.4176,-0.9041,-0.9261,-0.9261,0.9261
26.6815,-0.8226,-0.8403,-0.8403,0.8403
26.9480,-0.7340,-0.7559,-0.7559,0.7559
27.2172,-0.6538,-0.6731,-0.6731,0.6731
27.4890,-0.5732,-0.5918,-0.5918,0.5918
27.7636,-0.4919,-0.5118,-0.5118,0.5118
28.0409,-0.4223,-0.4332,-0.4332,0.4332
28.3210,-0.3426,-0.3558,-0.3558,0.3558
28.6039,-0.2739,-0.2795,-0.2795,0.2795
28.8896,-0.1930,-0.2042,-0.2042,0.2042
29.1782,-0.1228,-0.1299,-0.1299,0.1299
29.4697,-0.0525,-0.0566,-0.0566,0.0566
29.7640,0.0257,0.0160,0.0160,-0.0160
30.0613,0.0956,0.0877,0.0877,-0.0877
30.3616,0.1657,0.1585,0.1585,-0.1585
30.6649,0.2365,0.2285,0.2285,-0.2285
30.9712,0.3058,0.2976,0.2976,-0.2976
31.2806,0.3756,0.3659,0.3659,-0.3659
31.5930,0.4462,0.4333,0.4333,-0.4333
31.9086,0.5153,0.4997,0.4997,-0.4997
32.2273,0.5775,0.5649,0.5649,-0.5649
32.5492,0.6456,0.6291,0.6291,-0.6291
32.8744,0.7071,0.6921,0.6921,-0.6921
33.2027,0.7669,0.7538,0.7538,-0.7538
33.5344,0.8272,0.8143,0.8143,-0.8143
33.8694,0.8864,0.8735,0.8735,-0.8735
34.2077,0.9461,0.9314,0.9314,-0.9314
34.5494,1.0064,0.9879,0.9879,-0.9879
34.8945,1.0564,1.0430,1.0430,-1.0430
35.2430,1.1154,1.0966,1.0966,-1.0966
35.5951,1.1664,1.1487,1.1487,-1.1487
35.9506,1.2172,1.1993,1.1993,-1.1993
36.3097,1.2672,1.2483,1.2483,-1.2483
36.6724,1.3163,1.2958,1.2958,-1.2958
37.0387,1.3576,1.3416,1.3416,-1.3416
37.4087,1.4071,1.3860,1.3860,-1.3860
37.7824,1.4471,1.4289,1.4289,-1.4289
38.1598,1.4868,1.4703,1.4703,-1.4703
38.5409,1.5269,1.5104,1.5104,-1.5104
38.9259,1.5675,1.5492,1.5492,-1.5492
39.3147,1.5981,1.5868,1.5868,-1.5868
39.7074,1.6367,1.6234,1.6234,-1.6234
40.1041,1.6673,1.6592,1.6592,-1.6592
40.5046,1.6973,1.6944,1.6944,-1.6944
40.9092,1.7277,1.7291,1.7291,-1.7291
41.3179,1.7669,1.7637,1.7637,-1.7637
41.7306,1.7978,1.7983,1.7983,-1.7983
