frequency,raw,smoothed,error,equalization
20.0000,6.4100,6.4251,6.4251,-6.4251
20.1998,6.4100,6.4313,6.4313,-6.4313
20.4015,6.4000,6.4377,6.4377,-6.4377
20.6053,6.4000,6.4445,6.4445,-6.4445
20.8112,6.3900,6.4519,6.4519,-6.4519
21.0190,6.3900,6.4605,6.4605,-6.4605
21.2290,6.4298,6.4706,6.4706,-6.4706
21.4410,6.4802,6.4821,6.4821,-6.4821
21.6552,6.5191,6.4945,6.4945,-6.4945
21.8715,6.5601,6.5074,6.5074,-6.5074
22.0900,6.5700,6.5206,6.5206,-6.5206
22.3106,6.5599,6.5342,6.5342,-6.5342
22.5335,6.5406,6.5486,6.5486,-6.5486
22.7586,6.5301,6.5637,6.5637,-6.5637
22.9859,6.5104,6.5800,6.5800,-6.5800
23.2155,6.5492,6.5980,6.5980,-6.5980
23.4474,6.5895,6.6174,6.6174,-6.6174
23.6816,6.6286,6.6378,6.6378,-6.6378
23.9182,6.6796,6.6589,6.6589,-6.6589
24.1571,6.6899,6.6805,6.6805,-6.6805
24.3984,6.6999,6.7030,6.7030,-6.7030
24.6421,6.7097,6.7266,6.7266,-6.7266
24.8882,6.7199,6.7518,6.7518,-6.7518
25.1368,6.7397,6.7785,6.7785,-6.7785
25.3879,6.7896,6.8063,6.8063,-6.8063
25.6415,6.8287,6.8346,6.8346,-6.8346
25.8976,6.8681,6.8625,6.8625,-6.8625
26.1563,6.9094,6.8896,6.8896,-6.8896
26.4176,6.9291,6.9158,6.9158,-6.9158
26.6815,6.9590,6.9412,6.9412,-6.9412
26.9480,6.9887,6.9660,6.9660,-6.9660
27.2172,7.0090,6.9901,6.9901,-6.9901
27.4890,7.0388,7.0135,7.0135,-7.0135
27.7636,7.0693,7.0357,7.0357,-7.0357
28.0409,7.0894,7.0566,7.0566,-7.0566
28.3210,7.0900,7.0762,7.0762,-7.0762
28.6039,7.0900,7.0947,7.0947,-7.0947
28.8896,7.0900,7.1124,7.1124,-7.1124
29.1782,7.1092,7.1296,7.1296,-7.1296
29.4697,7.1389,7.1459,7.1459,-7.1459
29.7640,7.1684,7.1614,7.1614,-7.1614
30.0613,7.1888,7.1760,7.1760,-7.1760
30.3616,7.2088,7.1902,7.1902,-7.1902
30.6649,7.2195,7.2040,7.2040,-7.2040
30.9712,7.2388,7.2177,7.2177,-7.2177
31.2806,7.2494,7.2311,7.2311,-7.2311
31.5930,7.2689,7.2442,7.2442,-7.2442
31.9086,7.2887,7.2569,7.2569,-7.2569
32.2273,7.2708,7.2689,7.2689,-7.2689
32.5492,7.2419,7.2804,7.2804,-7.2804
32.8744,7.2210,7.2920,7.2920,-7.2920
33.2027,7.2484,7.3040,7.3040,-7.3040
33.5344,7.3072,7.3163,7.3163,-7.3163
33.8694,7.3664,7.3280,7.3280,-7.3280
34.2077,7.3887,7.3384,7.3384,-7.3384
34.5494,7.3900,7.3477,7.3477,-7.3477
34.8945,7.3900,7.3562,7.3562,-7.3562
35.2430,7.3900,7.3645,7.3645,-7.3645
35.5951,7.3900,7.3730,7.3730,-7.3730
35.9506,7.3900,7.3821,7.3821,-7.3821
36.3097,7.3900,7.3920,7.3920,-7.3920
36.6724,7.3900,7.4023,7.4023,-7.4023
37.0387,7.3900,7.4130,7.4130,-7.4130
37.4087,7.3712,7.4240,7.4240,-7.4240
37.7824,7.3515,7.4358,7.4358,-7.4358
38.1598,7.3684,7.4493,7.4493,-7.4493
38.5409,7.4254,7.4644,7.4644,-7.4644
38.9259,7.4768,7.4805,7.4805,-7.4805
39.3147,7.5268,7.4968,7.4968,-7.4968
39.7074,7.5667,7.5125,7.5125,-7.5125
40.1041,7.5973,7.5271,7.5271,-7.5271
40.5046,7.5909,7.5401,7.5401,-7.5401
40.9092,7.5900,7.5516,7.5516,-7.5516
41.3179,7.5900,7.5617,7.5617,-7.5617
41.7306,7.5900,7.5703,7.5703,-7.5703
42.1474,7.5900,7.5773,7.5773,-7.5773
42.5684,7.5900,7.5827,7.5827,-7.5827
42.9936,7.5900,7.5863,7.5863,-7.5863
43.4231,7.5900,7.5885,7.5885,-7.5885
43.8568,7.5900,7.5896,7.5896,-7.5896
44.2949,7.5900,7.5900,7.5900,-7.5900
44.7374,7.5900,7.5900,7.5900,-7.5900
45.1842,7.5900,7.5900,7.5900,-7.5900
45.6356,7.5900,7.5900,7.5900,-7.5900
46.0914,7.5900,7.5900,7.5900,-7.5900
46.5518,7.5900,7.5900,7.5900,-7.5900
47.0168,7.5900,7.5900,7.5900,-7.5900
47.4864,7.5900,7.5900,7.5900,-7.5900
47.9608,7.5900,7.5900,7.5900,-7.5900
48.4398,7.5900,7.5900,7.5900,-7.5900
48.9237,7.5900,7.5897,7.5897,-7.5897
49.4124,7.5900,7.5892,7.5892,-7.5892
49.9059,7.5900,7.5889,7.5889,-7.5889
50.4044,7.5900,7.5891,7.5891,-7.5891
50.9079,7.5900,7.5901,7.5901,-7.5901
51.4164,7.5900,7.5918,7.5918,-7.5918
51.9300,7.5900,7.5943,7.5943,-7.5943
52.4487,7.5900,7.5974,7.5974,-7.5974
52.9726,7.5900,7.6014,7.6014,-7.6014
53.5018,7.5900,7.6060,7.6060,-7.6060
54.0362,7.5812,7.6114,7.6114,-7.6114
54.5759,7.5536,7.6177,7.6177,-7.6177
55.1211,7.5589,7.6252,7.6252,-7.6252
55.6717,7.6390,7.6340,7.6340,-7.6340
56.2278,7.6855,7.6427,7.6427,-7.6427
56.7894,7.6900,7.6508,7.6508,-7.6508
57.3567,7.6900,7.6582,7.6582,-7.6582
57.9296,7.6900,7.6648,7.6648,-7.6648
58.5082,7.6900,7.6706,7.6706,-7.6706
59.0927,7.6900,7.6758,7.6758,-7.6758
59.6829,7.6900,7.6802,7.6802,-7.6802
60.2791,7.6900,7.6838,7.6838,-7.6838
60.8812,7.6900,7.6867,7.6867,-7.6867
61.4893,7.6900,7.6887,7.6887,-7.6887
62.1035,7.6900,7.6897,7.6897,-7.6897
62.7239,7.6900,7.6900,7.6900,-7.6900
63.3504,7.6900,7.6900,7.6900,-7.6900
63.9832,7.6900,7.6900,7.6900,-7.6900
64.6223,7.6900,7.6899,7.6899,-7.6899
65.2678,7.6900,7.6891,7.6891,-7.6891
65.9198,7.6900,7.6873,7.6873,-7.6873
66.5782,7.6900,7.6848,7.6848,-7.6848
67.2433,7.6900,7.6815,7.6815,-7.6815
67.9149,7.6900,7.6774,7.6774,-7.6774
68.5933,7.6900,7.6726,7.6726,-7.6726
69.2785,7.6900,7.6671,7.6671,-7.6671
69.9705,7.6900,7.6608,7.6608,-7.6608
70.6694,7.6900,7.6538,7.6538,-7.6538
71.3753,7.6900,7.6461,7.6461,-7.6461
72.0883,7.6643,7.6376,7.6376,-7.6376
72.8083,7.5569,7.6287,7.6287,-7.6287
73.5356,7.5657,7.6211,7.6211,-7.6211
74.2701,7.5870,7.6146,7.6146,-7.6146
75.0120,7.5900,7.6089,7.6089,-7.6089
75.7613,7.5900,7.6039,7.6039,-7.6039
76.5180,7.5900,7.5993,7.5993,-7.5993
77.2824,7.5900,7.5946,7.5946,-7.5946
78.0543,7.5900,7.5896,7.5896,-7.5896
78.8340,7.5900,7.5844,7.5844,-7.5844
79.6214,7.5900,7.5792,7.5792,-7.5792
80.4168,7.5900,7.5741,7.5741,-7.5741
81.2200,7.5900,7.5689,7.5689,-7.5689
82.0313,7.5900,7.5633,7.5633,-7.5633
82.8507,7.5900,7.5564,7.5564,-7.5564
83.6783,7.5900,7.5480,7.5480,-7.5480
84.5141,7.5900,7.5375,7.5375,-7.5375
85.3583,7.5233,7.5242,7.5242,-7.5242
86.2109,7.4431,7.5087,7.5087,-7.5087
87.0721,7.4466,7.4921,7.4921,-7.4921
87.9418,7.4832,7.4744,7.4744,-7.4744
88.8203,7.4900,7.4547,7.4547,-7.4547
89.7075,7.4983,7.4325,7.4325,-7.4325
90.6035,7.5000,7.4070,7.4070,-7.4070
91.5085,7.4834,7.3779,7.3779,-7.3779
92.4226,7.4386,7.3454,7.3454,-7.3454
93.3458,7.3641,7.3099,7.3099,-7.3099
94.2782,7.2839,7.2724,7.2724,-7.2724
95.2199,7.1797,7.2339,7.2339,-7.2339
96.1711,7.1271,7.1953,7.1953,-7.1953
97.1317,7.1612,7.1574,7.1574,-7.1574
98.1019,7.1536,7.1204,7.1204,-7.1204
99.0818,7.0764,7.0846,7.0846,-7.0846
100.0715,7.0272,7.0506,7.0506,-7.0506
101.0711,6.9379,7.0188,7.0188,-7.0188
102.0807,6.9119,6.9907,6.9907,-6.9907
103.1004,6.9019,6.9674,6.9674,-6.9674
104.1302,6.8837,6.9490,6.9490,-6.9490
105.1703,6.8638,6.9355,6.9355,-6.9355
106.2209,6.8114,6.9262,6.9262,-6.9262
107.2819,6.7675,6.9215,6.9215,-6.9215
108.3535,6.9137,6.9217,6.9217,-6.9217
109.4358,7.0473,6.9253,6.9253,-6.9253
110.5289,6.9892,6.9303,6.9303,-6.9303
111.6330,6.8735,6.9376,6.9376,-6.9376
112.7481,6.8259,6.9485,6.9485,-6.9485
113.8743,6.9320,6.9630,6.9630,-6.9630
115.0118,7.0000,6.9794,6.9794,-6.9794
116.1606,7.0100,6.9964,6.9964,-6.9964
117.3209,7.0020,7.0138,7.0138,-7.0138
118.4928,6.9680,7.0311,7.0311,-7.0311
119.6764,6.9839,7.0483,7.0483,-7.0483
120.8718,7.1090,7.0647,7.0647,-7.0647
122.0792,7.1400,7.0787,7.0787,-7.0787
123.2986,7.1479,7.0902,7.0902,-7.0902
124.5302,7.1579,7.0990,7.0990,-7.0990
125.7741,7.1679,7.1043,7.1043,-7.1043
127.0304,7.1700,7.1052,7.1052,-7.1052
128.2993,7.1779,7.1010,7.1010,-7.1010
129.5808,7.1879,7.0913,7.0913,-7.0913
130.8752,7.1663,7.0767,7.0767,-7.0767
132.1825,7.0812,7.0579,7.0579,-7.0579
133.5028,7.0678,7.0362,7.0362,-7.0362
134.8363,7.0857,7.0114,7.0114,-7.0114
136.1832,7.0509,6.9828,6.9828,-6.9828
137.5435,6.9383,6.9513,6.9513,-6.9513
138.9174,6.8788,6.9188,6.9188,-6.9188
140.3050,6.8934,6.8863,6.8863,-6.8863
141.7065,6.8922,6.8534,6.8534,-6.8534
143.1220,6.7193,6.8194,6.8194,-6.8194
144.5516,6.6311,6.7864,6.7864,-6.7864
145.9955,6.7287,6.7557,6.7557,-6.7557
147.4538,6.7755,6.7252,6.7252,-6.7252
148.9267,6.7955,6.6929,6.6929,-6.6929
150.4143,6.7070,6.6565,6.6565,-6.6565
151.9167,6.5873,6.6159,6.6159,-6.6159
153.4342,6.5832,6.5719,6.5719,-6.5719
154.9668,6.6054,6.5238,6.5238,-6.5238
156.5147,6.6100,6.4719,6.4719,-6.4719
158.0781,6.5332,6.4170,6.4170,-6.4170
159.6571,6.4335,6.3602,6.3602,-6.3602
161.2519,6.3947,6.3023,6.3023,-6.3023
162.8626,6.3670,6.2426,6.2426,-6.2426
164.4894,6.2914,6.1815,6.1815,-6.1815
166.1324,6.0802,6.1201,6.1201,-6.1201
167.7919,5.8984,6.0609,6.0609,-6.0609
169.4679,5.7079,6.0067,6.0067,-6.0067
171.1607,5.5765,5.9594,5.9594,-5.9594
172.8704,5.6407,5.9197,5.9197,-5.9197
174.5972,5.8513,5.8860,5.8860,-5.8860
176.3412,5.9628,5.8559,5.8559,-5.8559
178.1026,5.9122,5.8279,5.8279,-5.8279
179.8816,5.8674,5.8014,5.8014,-5.8014
181.6784,5.8675,5.7750,5.7750,-5.7750
183.4932,5.8775,5.7470,5.7470,-5.7470
185.3261,5.7379,5.7167,5.7167,-5.7167
187.1772,5.6453,5.6845,5.6845,-5.6845
189.0469,5.7346,5.6491,5.6491,-5.6491
190.9352,5.6881,5.6073,5.6073,-5.6073
192.8425,5.5111,5.5583,5.5583,-5.5583
194.7687,5.5045,5.5029,5.5029,-5.5029
196.7142,5.6385,5.4421,5.4421,-5.4421
198.6792,5.6282,5.3762,5.3762,-5.3762
200.6637,5.4693,5.3052,5.3052,-5.3052
202.6681,5.2275,5.2301,5.2301,-5.2301
204.6925,5.1084,5.1527,5.1527,-5.1527
