frequency,raw,smoothed,error,equalization
20.0000,-13.3500,-13.1073,-13.1073,13.1073
20.1998,-13.3100,-13.0733,-13.0733,13.0733
20.4015,-13.2495,-13.0343,-13.0343,13.0343
20.6053,-13.1816,-12.9910,-12.9910,12.9910
20.8112,-13.0797,-12.9439,-12.9439,12.9439
21.0190,-13.0203,-12.8938,-12.8938,12.8938
21.2290,-12.9105,-12.8405,-12.8405,12.8405
21.4410,-12.8395,-12.7846,-12.7846,12.7846
21.6552,-12.7422,-12.7254,-12.7254,12.7254
21.8715,-12.6295,-12.6630,-12.6630,12.6630
22.0900,-12.5600,-12.5974,-12.5974,12.5974
22.3106,-12.4798,-12.5277,-12.5277,12.5277
22.5335,-12.4120,-12.4557,-12.4557,12.4557
22.7586,-12.3603,-12.3853,-12.3853,12.3853
22.9859,-12.2912,-12.3163,-12.3163,12.3163
23.2155,-12.2312,-12.2489,-12.2489,12.2489
23.4474,-12.1707,-12.1829,-12.1829,12.1829
23.6816,-12.1217,-12.1181,-12.1181,12.1181
23.9182,-12.0803,-12.0543,-12.0543,12.0543
24.1571,-11.9812,-11.9909,-11.9909,11.9909
24.3984,-11.9403,-11.9284,-11.9284,11.9284
24.6421,-11.8722,-11.8662,-11.8662,11.8662
24.8882,-11.8005,-11.8042,-11.8042,11.8042
25.1368,-11.7408,-11.7426,-11.7426,11.7426
25.3879,-11.6706,-11.6812,-11.6812,11.6812
25.6415,-11.6120,-11.6202,-11.6202,11.6202
25.8976,-11.5529,-11.5595,-11.5595,11.5595
26.1563,-11.4810,-11.4991,-11.4991,11.4991
26.4176,-11.4228,-11.4393,-11.4393,11.4393
26.6815,-11.3716,-11.3802,-11.3802,11.3802
26.9480,-11.3222,-11.3221,-11.3221,11.3221
27.2172,-11.2629,-11.2650,-11.2650,11.2650
27.4890,-11.1928,-11.2093,-11.2093,11.2093
27.7636,-11.1509,-11.1554,-11.1554,11.1554
28.0409,-11.1016,-11.1032,-11.1032,11.1032
28.3210,-11.0322,-11.0531,-11.0531,11.0531
28.6039,-10.9733,-11.0056,-11.0056,11.0056
28.8896,-10.9122,-10.9610,-10.9610,10.9610
29.1782,-10.8620,-10.9197,-10.9197,10.9197
29.4697,-10.8214,-10.8816,-10.8816,10.8816
29.7640,-10.7727,-10.8464,-10.8464,10.8464
30.0613,-10.7512,-10.8139,-10.8139,10.8139
30.3616,-10.7500,-10.7834,-10.7834,10.7834
30.6649,-10.7310,-10.7537,-10.7537,10.7537
30.9712,-10.7018,-10.7238,-10.7238,10.7238
31.2806,-10.7000,-10.6928,-10.6928,10.6928
31.5930,-10.7000,-10.6594,-10.6594,10.6594
31.9086,-10.7000,-10.6221,-10.6221,10.6221
32.2273,-10.7000,-10.5792,-10.5792,10.5792
32.5492,-10.6625,-10.5294,-10.5294,10.5294
32.8744,-10.6124,-10.4717,-10.4717,10.4717
33.2027,-10.5531,-10.4056,-10.4056,10.4056
33.5344,-10.4738,-10.3307,-10.3307,10.3307
33.8694,-10.3855,-10.2472,-10.2472,10.2472
34.2077,-10.2772,-10.1555,-10.1555,10.1555
34.5494,-10.1479,-10.0567,-10.0567,10.0567
34.8945,-10.0288,-9.9520,-9.9520,9.9520
35.2430,-9.8908,-9.8427,-9.8427,9.8427
35.5951,-9.7314,-9.7303,-9.7303,9.7303
35.9506,-9.5878,-9.6171,-9.6171,9.6171
36.3097,-9.4668,-9.5049,-9.5049,9.5049
36.6724,-9.3119,-9.3952,-9.3952,9.3952
37.0387,-9.1871,-9.2897,-9.2897,9.2897
37.4087,-9.0669,-9.1894,-9.1894,9.1894
37.7824,-8.9765,-9.0953,-9.0953,9.0953
38.1598,-8.8872,-9.0075,-9.0075,9.0075
38.5409,-8.8246,-8.9262,-8.9262,8.9262
38.9259,-8.7544,-8.8508,-8.8508,8.8508
39.3147,-8.7032,-8.7808,-8.7808,8.7808
39.7074,-8.6633,-8.7155,-8.7155,8.7155
40.1041,-8.6327,-8.6537,-8.6537,8.6537
40.5046,-8.6027,-8.5942,-8.5942,8.5942
40.9092,-8.5723,-8.5359,-8.5359,8.5359
41.3179,-8.5331,-8.4776,-8.4776,8.4776
41.7306,-8.4743,-8.4183,-8.4183,8.4183
42.1474,-8.4147,-8.3574,-8.3574,8.3574
42.5684,-8.3545,-8.2943,-8.2943,8.2943
42.9936,-8.2676,-8.2287,-8.2287,8.2287
43.4231,-8.1960,-8.1608,-8.1608,8.1608
43.8568,-8.0998,-8.0904,-8.0904,8.0904
44.2949,-8.0349,-8.0181,-8.0181,8.0181
44.7374,-7.9485,-7.9437,-7.9437,7.9437
45.1842,-7.8681,-7.8676,-7.8676,7.8676
45.6356,-7.7879,-7.7904,-7.7904,7.7904
46.0914,-7.7160,-7.7123,-7.7123,7.7123
46.5518,-7.6292,-7.6337,-7.6337,7.6337
47.0168,-7.5566,-7.5550,-7.5550,7.5550
47.4864,-7.4774,-7.4765,-7.4765,7.4765
47.9608,-7.3982,-7.3984,-7.3984,7.3984
48.4398,-7.3273,-7.3209,-7.3209,7.3209
48.9237,-7.2296,-7.2442,-7.2442,7.2442
49.4124,-7.1658,-7.1688,-7.1688,7.1688
49.9059,-7.0708,-7.0945,-7.0945,7.0945
50.4044,-6.9978,-7.0218,-7.0218,7.0218
50.9079,-6.9183,-6.9510,-6.9510,6.9510
51.4164,-6.8474,-6.8823,-6.8823,6.8823
51.9300,-6.7781,-6.8158,-6.8158,6.8158
52.4487,-6.7171,-6.7516,-6.7516,6.7516
52.9726,-6.6566,-6.6899,-6.6899,6.6899
53.5018,-6.5966,-6.6305,-6.6305,6.6305
54.0362,-6.5459,-6.5735,-6.5735,6.5735
54.5759,-6.4959,-6.5185,-6.5185,6.5185
55.1211,-6.4455,-6.4654,-6.4654,6.4654
55.6717,-6.3961,-6.4139,-6.4139,6.4139
56.2278,-6.3457,-6.3635,-6.3635,6.3635
56.7894,-6.3137,-6.3139,-6.3139,6.3139
57.3567,-6.2568,-6.2642,-6.2642,6.2642
57.9296,-6.2236,-6.2141,-6.2141,6.2141
58.5082,-6.1762,-6.1627,-6.1627,6.1627
59.0927,-6.1435,-6.1095,-6.1095,6.1095
59.6829,-6.0877,-6.0539,-6.0539,6.0539
60.2791,-6.0360,-5.9954,-5.9954,5.9954
60.8812,-5.9865,-5.9338,-5.9338,5.9338
61.4893,-5.9366,-5.8688,-5.8688,5.8688
62.1035,-5.8688,-5.8000,-5.8000,5.8000
62.7239,-5.7986,-5.7276,-5.7276,5.7276
63.3504,-5.7114,-5.6517,-5.6517,5.6517
63.9832,-5.6222,-5.5728,-5.5728,5.5728
64.6223,-5.5151,-5.4914,-5.4914,5.4914
65.2678,-5.4216,-5.4083,-5.4083,5.4083
65.9198,-5.3237,-5.3242,-5.3242,5.3242
66.5782,-5.2153,-5.2398,-5.2398,5.2398
67.2433,-5.1218,-5.1561,-5.1561,5.1561
67.9149,-5.0412,-5.0738,-5.0738,5.0738
68.5933,-4.9442,-4.9933,-4.9933,4.9933
69.2785,-4.8694,-4.9153,-4.9153,4.9153
69.9705,-4.7828,-4.8403,-4.8403,4.8403
70.6694,-4.7186,-4.7687,-4.7687,4.7687
71.3753,-4.6588,-4.7006,-4.7006,4.7006
72.0883,-4.5900,-4.6358,-4.6358,4.6358
72.8083,-4.5371,-4.5744,-4.5744,4.5744
73.5356,-4.4786,-4.5161,-4.5161,4.5161
74.2701,-4.4274,-4.4607,-4.4607,4.4607
75.0120,-4.3858,-4.4080,-4.4080,4.4080
75.7613,-4.3458,-4.3576,-4.3576,4.3576
76.5180,-4.2888,-4.3091,-4.3091,4.3091
77.2824,-4.2546,-4.2624,-4.2624,4.2624
78.0543,-4.2075,-4.2171,-4.2171,4.2171
78.8340,-4.1659,-4.1730,-4.1730,4.1730
79.6214,-4.1260,-4.1298,-4.1298,4.1298
80.4168,-4.0862,-4.0873,-4.0873,4.0873
81.2200,-4.0296,-4.0455,-4.0455,4.0455
82.0313,-3.9948,-4.0045,-4.0045,4.0045
82.8507,-3.9647,-3.9641,-3.9641,3.9641
83.6783,-3.9179,-3.9241,-3.9241,3.9241
84.5141,-3.8849,-3.8848,-3.8848,3.8848
85.3583,-3.8467,-3.8459,-3.8459,3.8459
86.2109,-3.7982,-3.8074,-3.8074,3.8074
87.0721,-3.7651,-3.7695,-3.7695,3.7695
87.9418,-3.7268,-3.7322,-3.7322,3.7322
88.8203,-3.6785,-3.6954,-3.6954,3.6954
89.7075,-3.6451,-3.6594,-3.6594,3.6594
90.6035,-3.6152,-3.6242,-3.6242,3.6242
91.5085,-3.5850,-3.5895,-3.5895,3.5895
92.4226,-3.5468,-3.5554,-3.5554,3.5554
93.3458,-3.5153,-3.5220,-3.5220,3.5220
94.2782,-3.4935,-3.4892,-3.4892,3.4892
95.2199,-3.4490,-3.4569,-3.4569,3.4569
96.1711,-3.4071,-3.4252,-3.4252,3.4252
97.1317,-3.4000,-3.3943,-3.3943,3.3943
98.1019,-3.3591,-3.3637,-3.3637,3.3637
99.0818,-3.3173,-3.3337,-3.3337,3.3337
100.0715,-3.3018,-3.3042,-3.3042,3.3042
101.0711,-3.2672,-3.2750,-3.2750,3.2750
102.0807,-3.2437,-3.2463,-3.2463,3.2463
103.1004,-3.2156,-3.2179,-3.2179,3.2179
104.1302,-3.1855,-3.1899,-3.1899,3.1899
105.1703,-3.1638,-3.1622,-3.1622,3.1622
106.2209,-3.1276,-3.1348,-3.1348,3.1348
107.2819,-3.1119,-3.1079,-3.1079,3.1079
108.3535,-3.0776,-3.0812,-3.0812,3.0812
109.4358,-3.0538,-3.0548,-3.0548,3.0548
110.5289,-3.0258,-3.0290,-3.0290,3.0290
111.6330,-2.9878,-3.0035,-3.0035,3.0035
112.7481,-2.9800,-2.9787,-2.9787,2.9787
113.8743,-2.9400,-2.9542,-2.9542,2.9542
115.0118,-2.9300,-2.9304,-2.9304,2.9304
116.1606,-2.8900,-2.9070,-2.9070,2.9070
117.3209,-2.8800,-2.8844,-2.8844,2.8844
118.4928,-2.8480,-2.8624,-2.8624,2.8624
119.6764,-2.8400,-2.8411,-2.8411,2.8411
120.8718,-2.8083,-2.8202,-2.8202,2.8202
122.0792,-2.7921,-2.8001,-2.8001,2.8001
123.2986,-2.7900,-2.7805,-2.7805,2.7805
124.5302,-2.7505,-2.7613,-2.7613,2.7613
125.7741,-2.7400,-2.7426,-2.7426,2.7426
127.0304,-2.7082,-2.7244,-2.7244,2.7244
128.2993,-2.7000,-2.7069,-2.7069,2.7069
129.5808,-2.7000,-2.6897,-2.6897,2.6897
130.8752,-2.6606,-2.6727,-2.6727,2.6727
132.1825,-2.6500,-2.6562,-2.6562,2.6562
133.5028,-2.6500,-2.6401,-2.6401,2.6401
134.8363,-2.6107,-2.6241,-2.6241,2.6241
136.1832,-2.6000,-2.6086,-2.6086,2.6086
137.5435,-2.6000,-2.5936,-2.5936,2.5936
138.9174,-2.5688,-2.5787,-2.5787,2.5787
140.3050,-2.5600,-2.5643,-2.5643,2.5643
141.7065,-2.5600,-2.5502,-2.5502,2.5502
143.1220,-2.5212,-2.5361,-2.5361,2.5361
144.5516,-2.5100,-2.5223,-2.5223,2.5223
145.9955,-2.5100,-2.5089,-2.5089,2.5089
147.4538,-2.5100,-2.4955,-2.4955,2.4955
148.9267,-2.4713,-2.4818,-2.4818,2.4818
150.4143,-2.4600,-2.4682,-2.4682,2.4682
151.9167,-2.4600,-2.4546,-2.4546,2.4546
153.4342,-2.4523,-2.4406,-2.4406,2.4406
154.9668,-2.4269,-2.4261,-2.4261,2.4261
156.5147,-2.4200,-2.4115,-2.4115,2.4115
158.0781,-2.4200,-2.3963,-2.3963,2.3963
159.6571,-2.3817,-2.3805,-2.3805,2.3805
161.2519,-2.3700,-2.3645,-2.3645,2.3645
162.8626,-2.3623,-2.3482,-2.3482,2.3482
164.4894,-2.3295,-2.3316,-2.3316,2.3316
166.1324,-2.3200,-2.3149,-2.3149,2.3149
167.7919,-2.2896,-2.2981,-2.2981,2.2981
169.4679,-2.2800,-2.2816,-2.2816,2.2816
171.1607,-2.2572,-2.2651,-2.2651,2.2651
172.8704,-2.2349,-2.2489,-2.2489,2.2489
174.5972,-2.2300,-2.2331,-2.2331,2.2331
176.3412,-2.1998,-2.2178,-2.2178,2.2178
178.1026,-2.1900,-2.2032,-2.2032,2.2032
179.8816,-2.1900,-2.1892,-2.1892,2.1892
181.6784,-2.1825,-2.1755,-2.1755,2.1755
183.4932,-2.1500,-2.1623,-2.1623,2.1623
185.3261,-2.1400,-2.1497,-2.1497,2.1497
187.1772,-2.1400,-2.1378,-2.1378,2.1378
189.0469,-2.1325,-2.1261,-2.1261,2.1261
190.9352,-2.1002,-2.1146,-2.1146,2.1146
192.8425,-2.0900,-2.1036,-2.1036,2.1036
194.7687,-2.0900,-2.0931,-2.0931,2.0931
196.7142,-2.0900,-2.0828,-2.0828,2.0828
198.6792,-2.0678,-2.0724,-2.0724,2.0724
200.6637,-2.0526,-2.0621,-2.0621,2.0621
202.6681,-2.0500,-2.0521,-2.0521,2.0521
204.6925,-2.0500,-2.0423,-2.0423,2.0423
206.7371,-2.0500,-2.0326,-2.0326,2.0326
208.8022,-2.0206,-2.0225,-2.0225,2.0225
210.8879,-2.0026,-2.0126,-2.0126,2.0126
212.9944,-2.0000,-2.0029,-2.0029,2.0029
215.1219,-2.0000,-1.9934,-1.9934,1.9934
217.2707,-1.9927,-1.9837,-1.9837,1.9837
219.4410,-1.9608,-1.9738,-1.9738,1.9738
221.6329,-1.9500,-1.9640,-1.9640,1.9640
223.8468,-1.9500,-1.9546,-1.9546,1.9546
226.0827,-1.9500,-1.9452,-1.9452,1.9452
228.3410,-1.9500,-1.9356,-1.9356,1.9356
230.6219,-1.9210,-1.9256,-1.9256,1.9256
232.9255,-1.9100,-1.9158,-1.9158,1.9158
235.2521,-1.9100,-1.9062,-1.9062,1.9062
237.6020,-1.9100,-1.8964,-1.8964,1.8964
239.9754,-1.8956,-1.8863,-1.8863,1.8863
242.3724,-1.8684,-1.8760,-1.8760,1.8760
244.7934,-1.8600,-1.8660,-1.8660,1.8660
247.2386,-1.8600,-1.8560,-1.8560,1.8560
249.7082,-1.8600,-1.8457,-1.8457,1.8457
252.2025,-1.8243,-1.8351,-1.8351,1.8351
254.7217,-1.8100,-1.8247,-1.8247,1.8247
257.2661,-1.8100,-1.8145,-1.8145,1.8145
259.8358,-1.8100,-1.8043,-1.8043,1.8043
