frequency,raw,smoothed,error,equalization
20.0000,3.3100,3.6602,3.6602,-3.6602
20.1998,3.4099,3.6999,3.6999,-3.6999
20.4015,3.5107,3.7449,3.7449,-3.7449
20.6053,3.6078,3.7936,3.7936,-3.7936
20.8112,3.7105,3.8453,3.8453,-3.8453
21.0190,3.8095,3.8996,3.8996,-3.8996
21.2290,3.8996,3.9563,3.9563,-3.9563
21.4410,4.0004,4.0156,4.0156,-4.0156
21.6552,4.0880,4.0776,4.0776,-4.0776
21.8715,4.1905,4.1431,4.1431,-4.1431
22.0900,4.2600,4.2123,4.2123,-4.2123
22.3106,4.3202,4.2864,4.2864,-4.2864
22.5335,4.3783,4.3639,4.3639,-4.3639
22.7586,4.4396,4.4403,4.4403,-4.4403
22.9859,4.4989,4.5159,4.5159,-4.5159
23.2155,4.5686,4.5909,4.5909,-4.5909
23.4474,4.6392,4.6654,4.6654,-4.6654
23.6816,4.7076,4.7397,4.7397,-4.7397
23.9182,4.7794,4.8138,4.8138,-4.8138
24.1571,4.8689,4.8879,4.8879,-4.8879
24.3984,4.9693,4.9619,4.9619,-4.9619
24.6421,5.0668,5.0355,5.0355,-5.0355
24.8882,5.1693,5.1084,5.1084,-5.1084
25.1368,5.2391,5.1802,5.1802,-5.1802
25.3879,5.2896,5.2506,5.2506,-5.2506
25.6415,5.3384,5.3197,5.3197,-5.3197
25.8976,5.3876,5.3877,5.3877,-5.3877
26.1563,5.4491,5.4549,5.4549,-5.4549
26.4176,5.5168,5.5211,5.5211,-5.5211
26.6815,5.5780,5.5864,5.5864,-5.5864
26.9480,5.6469,5.6509,5.6509,-5.6509
27.2172,5.7167,5.7145,5.7145,-5.7145
27.4890,5.7872,5.7773,5.7773,-5.7773
27.7636,5.8486,5.8395,5.8395,-5.8395
28.0409,5.9177,5.9013,5.9013,-5.9013
28.3210,5.9781,5.9626,5.9626,-5.9626
28.6039,6.0272,6.0232,6.0232,-6.0232
28.8896,6.0878,6.0832,6.0832,-6.0832
29.1782,6.1476,6.1424,6.1424,-6.1424
29.4697,6.2079,6.2009,6.2009,-6.2009
29.7640,6.2668,6.2584,6.2584,-6.2584
30.0613,6.3263,6.3150,6.3150,-6.3150
30.3616,6.3863,6.3704,6.3704,-6.3704
30.6649,6.4470,6.4247,6.4247,-6.4247
30.9712,6.5064,6.4779,6.4779,-6.4779
31.2806,6.5475,6.5301,6.5301,-6.5301
31.5930,6.5878,6.5816,6.5816,-6.5816
31.9086,6.6273,6.6322,6.6322,-6.6322
32.2273,6.6780,6.6818,6.6818,-6.6818
32.5492,6.7362,6.7304,6.7304,-6.7304
32.8744,6.7971,6.7780,6.7780,-6.7780
33.2027,6.8379,6.8247,6.8247,-6.8247
33.5344,6.8781,6.8706,6.8706,-6.8706
33.8694,6.9082,6.9157,6.9157,-6.9157
34.2077,6.9661,6.9603,6.9603,-6.9603
34.5494,7.0264,7.0042,7.0042,-7.0042
34.8945,7.0949,7.0475,7.0475,-7.0475
35.2430,7.1185,7.0896,7.0896,-7.0896
35.5951,7.1293,7.1308,7.1308,-7.1308
35.9506,7.1300,7.1711,7.1711,-7.1711
36.3097,7.1866,7.2112,7.2112,-7.2112
36.6724,7.2548,7.2508,7.2508,-7.2508
37.0387,7.3165,7.2896,7.2896,-7.2896
37.4087,7.3483,7.3275,7.3275,-7.3275
37.7824,7.3778,7.3647,7.3647,-7.3647
38.1598,7.4076,7.4012,7.4012,-7.4012
38.5409,7.4562,7.4371,7.4371,-7.4371
38.9259,7.5068,7.4723,7.4723,-7.4723
39.3147,7.5287,7.5064,7.5064,-7.5064
39.7074,7.5392,7.5395,7.5395,-7.5395
40.1041,7.5582,7.5716,7.5716,-7.5716
40.5046,7.5873,7.6026,7.6026,-7.6026
40.9092,7.6177,7.6324,7.6324,-7.6324
41.3179,7.6661,7.6614,7.6614,-7.6614
41.7306,7.7164,7.6896,7.6896,-7.6896
42.1474,7.7569,7.7171,7.7171,-7.7171
42.5684,7.7877,7.7436,7.7436,-7.7436
42.9936,7.8175,7.7689,7.7689,-7.7689
43.4231,7.8200,7.7929,7.7929,-7.7929
43.8568,7.8200,7.8165,7.8165,-7.8165
44.2949,7.8200,7.8400,7.8400,-7.8400
44.7374,7.8200,7.8636,7.8636,-7.8636
45.1842,7.8380,7.8874,7.8874,-7.8874
45.6356,7.8851,7.9113,7.9113,-7.9113
46.0914,7.9266,7.9349,7.9349,-7.9349
46.5518,7.9749,7.9577,7.9577,-7.9577
47.0168,8.0162,7.9794,7.9794,-7.9794
47.4864,8.0200,7.9998,7.9998,-7.9998
47.9608,8.0200,8.0193,8.0193,-8.0193
48.4398,8.0648,8.0384,8.0384,-8.0384
48.9237,8.1152,8.0571,8.0571,-8.0571
49.4124,8.1200,8.0750,8.0750,-8.0750
49.9059,8.1200,8.0921,8.0921,-8.0921
50.4044,8.1200,8.1085,8.1085,-8.1085
50.9079,8.1200,8.1242,8.1242,-8.1242
51.4164,8.1200,8.1394,8.1394,-8.1394
51.9300,8.1200,8.1545,8.1545,-8.1545
52.4487,8.1200,8.1698,8.1698,-8.1698
52.9726,8.1200,8.1856,8.1856,-8.1856
53.5018,8.1645,8.2021,8.2021,-8.2021
54.0362,8.2141,8.2187,8.2187,-8.2187
54.5759,8.2729,8.2347,8.2347,-8.2347
55.1211,8.3156,8.2497,8.2497,-8.2497
55.6717,8.3200,8.2633,8.2633,-8.2633
56.2278,8.3200,8.2754,8.2754,-8.2754
56.7894,8.3200,8.2860,8.2860,-8.2860
57.3567,8.3200,8.2952,8.2952,-8.2952
57.9296,8.3200,8.3029,8.3029,-8.3029
58.5082,8.3200,8.3092,8.3092,-8.3092
59.0927,8.3200,8.3147,8.3147,-8.3147
59.6829,8.3200,8.3195,8.3195,-8.3195
60.2791,8.3200,8.3238,8.3238,-8.3238
60.8812,8.3200,8.3279,8.3279,-8.3279
61.4893,8.3200,8.3320,8.3320,-8.3320
62.1035,8.3200,8.3362,8.3362,-8.3362
62.7239,8.3200,8.3404,8.3404,-8.3404
63.3504,8.3200,8.3445,8.3445,-8.3445
63.9832,8.3200,8.3486,8.3486,-8.3486
64.6223,8.3200,8.3528,8.3528,-8.3528
65.2678,8.3549,8.3569,8.3569,-8.3569
65.9198,8.4291,8.3606,8.3606,-8.3606
66.5782,8.4314,8.3627,8.3627,-8.3627
67.2433,8.4300,8.3633,8.3633,-8.3633
67.9149,8.4386,8.3623,8.3623,-8.3623
68.5933,8.3885,8.3592,8.3592,-8.3592
69.2785,8.3367,8.3546,8.3546,-8.3546
69.9705,8.3128,8.3489,8.3489,-8.3489
70.6694,8.3186,8.3426,8.3426,-8.3426
71.3753,8.3200,8.3356,8.3356,-8.3356
72.0883,8.3200,8.3276,8.3276,-8.3276
72.8083,8.3200,8.3180,8.3180,-8.3180
73.5356,8.3200,8.3070,8.3070,-8.3070
74.2701,8.3370,8.2949,8.2949,-8.2949
75.0120,8.3485,8.2818,8.2818,-8.2818
75.7613,8.3072,8.2677,8.2677,-8.2677
76.5180,8.2574,8.2532,8.2532,-8.2532
77.2824,8.2246,8.2388,8.2388,-8.2388
78.0543,8.2200,8.2247,8.2247,-8.2247
78.8340,8.2200,8.2106,8.2106,-8.2106
79.6214,8.2200,8.1961,8.1961,-8.1961
80.4168,8.1523,8.1807,8.1807,-8.1807
81.2200,8.0980,8.1650,8.1650,-8.1650
82.0313,8.1068,8.1497,8.1497,-8.1497
82.8507,8.1184,8.1346,8.1346,-8.1346
83.6783,8.1200,8.1196,8.1196,-8.1196
84.5141,8.1200,8.1044,8.1044,-8.1044
85.3583,8.1200,8.0885,8.0885,-8.0885
86.2109,8.1200,8.0715,8.0715,-8.0715
87.0721,8.1200,8.0535,8.0535,-8.0535
87.9418,8.1117,8.0340,8.0340,-8.0340
88.8203,8.0353,8.0125,8.0125,-8.0125
89.7075,7.9703,7.9891,7.9891,-7.9891
90.6035,7.9352,7.9642,7.9642,-7.9642
91.5085,7.9300,7.9378,7.9378,-7.9378
92.4226,7.9300,7.9099,7.9099,-7.9099
93.3458,7.9053,7.8803,7.8803,-7.8803
94.2782,7.8422,7.8491,7.8491,-7.8491
95.2199,7.7972,7.8164,7.8164,-7.8164
96.1711,7.8229,7.7826,7.7826,-7.7826
97.1317,7.8547,7.7474,7.7474,-7.7474
98.1019,7.8191,7.7105,7.7105,-7.7105
99.0818,7.6627,7.6719,7.6719,-7.6719
100.0715,7.5480,7.6332,7.6332,-7.6332
101.0711,7.5464,7.5951,7.5951,-7.5951
102.0807,7.5500,7.5571,7.5571,-7.5571
103.1004,7.5337,7.5183,7.5183,-7.5183
104.1302,7.5137,7.4788,7.4788,-7.4788
105.1703,7.4452,7.4386,7.4386,-7.4386
106.2209,7.3328,7.3977,7.3977,-7.3977
107.2819,7.3100,7.3569,7.3569,-7.3569
108.3535,7.3424,7.3163,7.3163,-7.3163
109.4358,7.3662,7.2751,7.2751,-7.2751
110.5289,7.2730,7.2327,7.2327,-7.2327
111.6330,7.1856,7.1896,7.1896,-7.1896
112.7481,7.1540,7.1460,7.1460,-7.1460
113.8743,7.1340,7.1015,7.1015,-7.1015
115.0118,7.0420,7.0557,7.0557,-7.0557
116.1606,7.0280,7.0101,7.0101,-7.0101
117.3209,6.9899,6.9649,6.9649,-6.9649
118.4928,6.8761,6.9202,6.9202,-6.9202
119.6764,6.8580,6.8766,6.8766,-6.8766
120.8718,6.8124,6.8333,6.8333,-6.8333
122.0792,6.7524,6.7902,6.7902,-6.7902
123.2986,6.7003,6.7481,6.7481,-6.7481
124.5302,6.6900,6.7077,6.7077,-6.7077
125.7741,6.6900,6.6685,6.6685,-6.6685
127.0304,6.5947,6.6303,6.6303,-6.6303
128.2993,6.5306,6.5944,6.5944,-6.5944
129.5808,6.5753,6.5612,6.5612,-6.5612
130.8752,6.5900,6.5297,6.5297,-6.5297
132.1825,6.5427,6.4994,6.4994,-6.4994
133.5028,6.4673,6.4707,6.4707,-6.4707
134.8363,6.4185,6.4440,6.4440,-6.4440
136.1832,6.2927,6.4198,6.4198,-6.4198
137.5435,6.2678,6.3997,6.3997,-6.3997
138.9174,6.3012,6.3835,6.3835,-6.3835
140.3050,6.3334,6.3707,6.3707,-6.3707
141.7065,6.3400,6.3611,6.3611,-6.3611
143.1220,6.3400,6.3542,6.3542,-6.3542
144.5516,6.3400,6.3482,6.3482,-6.3482
145.9955,6.3400,6.3410,6.3410,-6.3410
147.4538,6.3400,6.3319,6.3319,-6.3319
148.9267,6.3400,6.3203,6.3203,-6.3203
150.4143,6.3400,6.3049,6.3049,-6.3049
151.9167,6.3400,6.2838,6.2838,-6.2838
153.4342,6.3400,6.2547,6.2547,-6.2547
154.9668,6.3400,6.2154,6.2154,-6.2154
156.5147,6.3783,6.1650,6.1650,-6.1650
158.0781,6.4284,6.1027,6.1027,-6.1027
159.6571,6.3788,6.0279,6.0279,-6.0279
161.2519,6.1156,5.9412,5.9412,-5.9412
162.8626,5.8945,5.8462,5.8462,-5.8462
164.4894,5.8271,5.7463,5.7463,-5.7463
166.1324,5.7289,5.6421,5.6421,-5.6421
167.7919,5.5860,5.5349,5.5349,-5.5349
169.4679,5.3979,5.4277,5.4277,-5.4277
171.1607,5.1222,5.3239,5.3239,-5.3239
172.8704,4.9442,5.2279,5.2279,-5.2279
