frequency,raw,smoothed,error,equalization
20.0000,-4.0400,-3.2666,-3.2666,3.2666
20.1998,-3.7503,-3.2162,-3.2162,3.2162
20.4015,-3.4579,-3.1551,-3.1551,3.1551
20.6053,-3.1862,-3.0877,-3.0877,3.0877
20.8112,-2.8686,-3.0181,-3.0181,3.0181
21.0190,-2.6212,-2.9516,-2.9516,2.9516
21.2290,-2.7195,-2.8910,-2.8910,2.8910
21.4410,-2.8204,-2.8336,-2.8336,2.8336
21.6552,-2.9080,-2.7765,-2.7765,2.7765
21.8715,-3.0097,-2.7166,-2.7166,2.7166
22.0900,-2.9600,-2.6508,-2.6508,2.6508
22.3106,-2.6892,-2.5779,-2.5779,2.5779
22.5335,-2.4276,-2.5041,-2.5041,2.5041
22.7586,-2.1617,-2.4382,-2.4382,2.4382
22.9859,-1.8948,-2.3814,-2.3814,2.3814
23.2155,-1.9979,-2.3350,-2.3350,2.3350
23.4474,-2.1285,-2.2944,-2.2944,2.2944
23.6816,-2.2458,-2.2546,-2.2546,2.2546
23.9182,-2.3790,-2.2118,-2.2118,2.2118
24.1571,-2.3701,-2.1637,-2.1637,2.1637
24.3984,-2.2905,-2.1098,-2.1098,2.1098
24.6421,-2.2125,-2.0508,-2.0508,2.0508
24.8882,-2.1306,-1.9867,-1.9867,1.9867
25.1368,-2.0510,-1.9166,-1.9166,1.9166
25.3879,-1.9707,-1.8394,-1.8394,1.8394
25.6415,-1.8829,-1.7542,-1.7542,1.7542
25.8976,-1.8038,-1.6604,-1.6604,1.6604
26.1563,-1.6719,-1.5585,-1.5585,1.5585
26.4176,-1.5269,-1.4517,-1.4517,1.4517
26.6815,-1.3749,-1.3435,-1.3435,1.3435
26.9480,-1.2171,-1.2373,-1.2373,1.2373
27.2172,-1.0481,-1.1354,-1.1354,1.1354
27.4890,-0.8673,-1.0387,-1.0387,1.0387
27.7636,-0.6843,-0.9482,-0.9482,0.9482
28.0409,-0.5349,-0.8648,-0.8648,0.8648
28.3210,-0.5397,-0.7891,-0.7891,0.7891
28.6039,-0.5400,-0.7193,-0.7193,0.7193
28.8896,-0.5496,-0.6546,-0.6546,0.6546
29.1782,-0.5884,-0.5949,-0.5949,0.5949
29.4697,-0.6575,-0.5399,-0.5399,0.5399
