frequency,raw,smoothed,error,equalization
20.0000,-22.3100,-22.0024,-22.0024,18.0000
20.1998,-22.2301,-21.9609,-21.9609,18.0000
20.4015,-22.1494,-21.9129,-21.9129,18.0000
20.6053,-22.0718,-21.8594,-21.8594,18.0000
20.8112,-21.9896,-21.8007,-21.8007,18.0000
21.0190,-21.9104,-21.7368,-21.7368,18.0000
21.2290,-21.7906,-21.6675,-21.6675,18.0000
21.4410,-21.6794,-21.5929,-21.5929,18.0000
21.6552,-21.5626,-21.5128,-21.5128,18.0000
21.8715,-21.4492,-21.4263,-21.4263,18.0000
22.0900,-21.3300,-21.3325,-21.3325,18.0000
22.3106,-21.2297,-21.2303,-21.2303,18.0000
22.5335,-21.1231,-21.1212,-21.1212,18.0000
22.7586,-21.0107,-21.0104,-21.0104,18.0000
22.9859,-20.9020,-20.8984,-20.8984,18.0000
23.2155,-20.8020,-20.7854,-20.7854,18.0000
23.4474,-20.7011,-20.6715,-20.6715,18.0000
23.6816,-20.6035,-20.5567,-20.5567,18.0000
23.9182,-20.5008,-20.4407,-20.4407,18.0000
24.1571,-20.3716,-20.3231,-20.3231,18.0000
24.3984,-20.2111,-20.2039,-20.2039,18.0000
24.6421,-20.0647,-20.0837,-20.0837,18.0000
24.8882,-19.9111,-19.9626,-19.9626,18.0000
25.1368,-19.7915,-19.8412,-19.8412,18.0000
25.3879,-19.7007,-19.7195,-19.7195,18.0000
25.6415,-19.6129,-19.5969,-19.5969,18.0000
25.8976,-19.5243,-19.4731,-19.4731,18.0000
26.1563,-19.4018,-19.3477,-19.3477,18.0000
26.4176,-19.2664,-19.2206,-19.2206,18.0000
26.6815,-19.1246,-19.0922,-19.0922,18.0000
26.9480,-18.9767,-18.9631,-18.9631,18.0000
27.2172,-18.8462,-18.8338,-18.8338,18.0000
27.4890,-18.7057,-18.7048,-18.7048,18.0000
27.7636,-18.5633,-18.5765,-18.5765,18.0000
28.0409,-18.4342,-18.4487,-18.4487,18.0000
28.3210,-18.2945,-18.3213,-18.3213,18.0000
28.6039,-18.1672,-18.1942,-18.1942,18.0000
28.8896,-18.0348,-18.0675,-18.0675,18.0000
29.1782,-17.9053,-17.9417,-17.9417,17.9417
29.4697,-17.7746,-17.8171,-17.8171,17.8171
29.7640,-17.6469,-17.6940,-17.6940,17.6940
30.0613,-17.5368,-17.5725,-17.5725,17.5725
30.3616,-17.4643,-17.4526,-17.4526,17.4526
30.6649,-17.3840,-17.3335,-17.3335,17.3335
30.9712,-17.3049,-17.2144,-17.2144,17.2144
31.2806,-17.1500,-17.0942,-17.0942,17.0942
31.5930,-16.9793,-16.9730,-16.9730,16.9730
31.9086,-16.8114,-16.8512,-16.8512,16.8512
32.2273,-16.6753,-16.7290,-16.7290,16.7290
32.5492,-16.5669,-16.6066,-16.6066,16.6066
32.8744,-16.4554,-16.4839,-16.4839,16.4839
33.2027,-16.3552,-16.3609,-16.3609,16.3609
33.5344,-16.2738,-16.2371,-16.2371,16.2371
33.8694,-16.1949,-16.1115,-16.1115,16.1115
34.2077,-16.0592,-15.9839,-15.9839,15.9839
34.5494,-15.9091,-15.8553,-15.8553,15.8553
34.8945,-15.7517,-15.7275,-15.7275,15.7275
35.2430,-15.5923,-15.6019,-15.6019,15.6019
35.5951,-15.4314,-15.4797,-15.4797,15.4797
35.9506,-15.2689,-15.3620,-15.3620,15.3620
36.3097,-15.1656,-15.2502,-15.2502,15.2502
36.6724,-15.0767,-15.1447,-15.1447,15.1447
37.0387,-14.9665,-15.0458,-15.0458,15.0458
37.4087,-14.8092,-14.9539,-14.9539,14.9539
37.7824,-14.6516,-14.8701,-14.8701,14.8701
38.1598,-14.5664,-14.7952,-14.7952,14.7952
38.5409,-14.5600,-14.7289,-14.7289,14.7289
38.9259,-14.5600,-14.6701,-14.6701,14.6701
39.3147,-14.5600,-14.6174,-14.6174,14.6174
39.7074,-14.5600,-14.5701,-14.5701,14.5701
40.1041,-14.5600,-14.5275,-14.5275,14.5275
40.5046,-14.5600,-14.4896,-14.4896,14.4896
40.9092,-14.5600,-14.4567,-14.4567,14.4567
41.3179,-14.5047,-14.4296,-14.4296,14.4296
41.7306,-14.4350,-14.4094,-14.4094,14.4094
42.1474,-14.3470,-14.3968,-14.3968,14.3968
42.5684,-14.2290,-14.3920,-14.3920,14.3920
42.9936,-14.1193,-14.3957,-14.3957,14.3957
43.4231,-14.1100,-14.4077,-14.4077,14.4077
43.8568,-14.1100,-14.4261,-14.4261,14.4261
44.2949,-14.1743,-14.4497,-14.4497,14.4497
44.7374,-14.2705,-14.4768,-14.4768,14.4768
45.1842,-14.4327,-14.5046,-14.5046,14.5046
45.6356,-14.6573,-14.5286,-14.5286,14.5286
46.0914,-14.8537,-14.5439,-14.5439,14.5439
46.5518,-14.9418,-14.5467,-14.5467,14.5467
47.0168,-15.0134,-14.5343,-14.5343,14.5343
47.4864,-14.9928,-14.5043,-14.5043,14.5043
47.9608,-14.9721,-14.4549,-14.4549,14.4549
48.4398,-14.7103,-14.3843,-14.3843,14.3843
48.9237,-14.4180,-14.2948,-14.2948,14.2948
49.4124,-14.3087,-14.1906,-14.1906,14.1906
49.9059,-14.2465,-14.0728,-14.0728,14.0728
50.4044,-13.9822,-13.9415,-13.9415,13.9415
50.9079,-13.6633,-13.8000,-13.8000,13.8000
51.4164,-13.5316,-13.6528,-13.6528,13.6528
51.9300,-13.4315,-13.5024,-13.5024,13.5024
52.4487,-13.3141,-13.3504,-13.3504,13.3504
52.9726,-13.1932,-13.1982,-13.1982,13.1982
53.5018,-12.9842,-13.0469,-13.0469,13.0469
54.0362,-12.8013,-12.8983,-12.8983,12.8983
54.5759,-12.7536,-12.7534,-12.7534,12.7534
55.1211,-12.7055,-12.6098,-12.6098,12.6098
55.6717,-12.5859,-12.4656,-12.4656,12.4656
56.2278,-12.4015,-12.3218,-12.3218,12.3218
56.7894,-12.1522,-12.1793,-12.1793,12.1793
57.3567,-11.9781,-12.0386,-12.0386,12.0386
57.9296,-11.8458,-11.8994,-11.8994,11.8994
58.5082,-11.7161,-11.7623,-11.7623,11.7623
59.0927,-11.5763,-11.6283,-11.6283,11.6283
59.6829,-11.4467,-11.4985,-11.4985,11.4985
60.2791,-11.3068,-11.3738,-11.3738,11.3738
60.8812,-11.1681,-11.2547,-11.2547,11.2547
61.4893,-11.0285,-11.1423,-11.1423,11.1423
62.1035,-10.9313,-11.0383,-11.0383,11.0383
62.7239,-10.9200,-10.9436,-10.9436,10.9436
63.3504,-10.7977,-10.8573,-10.8573,10.8573
63.9832,-10.6071,-10.7797,-10.7797,10.7797
64.6223,-10.5110,-10.7119,-10.7119,10.7119
65.2678,-10.4651,-10.6542,-10.6542,10.6542
65.9198,-10.4600,-10.6063,-10.6063,10.6063
66.5782,-10.4600,-10.5673,-10.5673,10.5673
67.2433,-10.4600,-10.5362,-10.5362,10.5362
67.9149,-10.4600,-10.5120,-10.5120,10.5120
68.5933,-10.4600,-10.4941,-10.4941,10.4941
69.2785,-10.4600,-10.4821,-10.4821,10.4821
69.9705,-10.4600,-10.4756,-10.4756,10.4756
70.6694,-10.4600,-10.4743,-10.4743,10.4743
71.3753,-10.4600,-10.4771,-10.4771,10.4771
72.0883,-10.4600,-10.4818,-10.4818,10.4818
72.8083,-10.4600,-10.4863,-10.4863,10.4863
73.5356,-10.4600,-10.4886,-10.4886,10.4886
74.2701,-10.4600,-10.4865,-10.4865,10.4865
75.0120,-10.4600,-10.4784,-10.4784,10.4784
75.7613,-10.4600,-10.4631,-10.4631,10.4631
76.5180,-10.5538,-10.4394,-10.4394,10.4394
77.2824,-10.6462,-10.4052,-10.4052,10.4052
78.0543,-10.6855,-10.3582,-10.3582,10.3582
78.8340,-10.6900,-10.2964,-10.2964,10.2964
79.6214,-10.5455,-10.2185,-10.2185,10.2185
80.4168,-10.4016,-10.1260,-10.1260,10.1260
81.2200,-10.2625,-10.0208,-10.0208,10.0208
82.0313,-10.0634,-9.9044,-9.9044,9.9044
82.8507,-9.7352,-9.7788,-9.7788,9.7788
83.6783,-9.5875,-9.6474,-9.6474,9.6474
84.5141,-9.4275,-9.5112,-9.5112,9.5112
85.3583,-9.2833,-9.3715,-9.3715,9.3715
86.2109,-9.1680,-9.2296,-9.2296,9.2296
87.0721,-9.0504,-9.0870,-9.0870,9.0870
87.9418,-8.8392,-8.9451,-8.9451,8.9451
88.8203,-8.6755,-8.8068,-8.8068,8.8068
89.7075,-8.6417,-8.6732,-8.6732,8.6732
90.6035,-8.6235,-8.5429,-8.5429,8.5429
91.5085,-8.5036,-8.4141,-8.4141,8.4141
92.4226,-8.3557,-8.2864,-8.2864,8.2864
93.3458,-8.1653,-8.1591,-8.1591,8.1591
94.2782,-7.9978,-8.0322,-8.0322,8.0322
95.2199,-7.8715,-7.9065,-7.9065,7.9065
96.1711,-7.7185,-7.7819,-7.7819,7.7819
97.1317,-7.5993,-7.6592,-7.6592,7.6592
98.1019,-7.5145,-7.5387,-7.5387,7.5387
99.0818,-7.4509,-7.4203,-7.4203,7.4203
100.0715,-7.2924,-7.3030,-7.3030,7.3030
101.0711,-7.2025,-7.1873,-7.1873,7.1873
102.0807,-7.0434,-7.0733,-7.0733,7.0733
103.1004,-6.9123,-6.9624,-6.9624,6.9624
104.1302,-6.7840,-6.8553,-6.8553,6.8553
105.1703,-6.6628,-6.7528,-6.7528,6.7528
106.2209,-6.5914,-6.6546,-6.6546,6.6546
107.2819,-6.5068,-6.5600,-6.5600,6.5600
108.3535,-6.3929,-6.4688,-6.4688,6.4688
109.4358,-6.3619,-6.3811,-6.3811,6.3811
110.5289,-6.3519,-6.2960,-6.2960,6.2960
111.6330,-6.1971,-6.2127,-6.2127,6.2127
112.7481,-6.1199,-6.1321,-6.1321,6.1321
113.8743,-5.9419,-6.0534,-6.0534,6.0534
115.0118,-5.9000,-5.9773,-5.9773,5.9773
116.1606,-5.9000,-5.9019,-5.9019,5.9019
117.3209,-5.8920,-5.8252,-5.8252,5.8252
118.4928,-5.7622,-5.7456,-5.7456,5.7456
119.6764,-5.6823,-5.6631,-5.6631,5.6631
120.8718,-5.6621,-5.5773,-5.5773,5.5773
122.0792,-5.5490,-5.4873,-5.4873,5.4873
123.2986,-5.4644,-5.3933,-5.3933,5.3933
124.5302,-5.4500,-5.2954,-5.2954,5.2954
125.7741,-5.3230,-5.1925,-5.1925,5.1925
127.0304,-5.1947,-5.0847,-5.0847,5.0847
128.2993,-5.0281,-4.9717,-4.9717,4.9717
129.5808,-4.8242,-4.8529,-4.8529,4.8529
130.8752,-4.7248,-4.7295,-4.7295,4.7295
132.1825,-4.6075,-4.6008,-4.6008,4.6008
133.5028,-4.4310,-4.4667,-4.4667,4.4667
134.8363,-4.3192,-4.3277,-4.3277,4.3277
136.1832,-4.2609,-4.1837,-4.1837,4.1837
137.5435,-4.1327,-4.0331,-4.0331,4.0331
138.9174,-3.9907,-3.8759,-3.8759,3.8759
140.3050,-3.8897,-3.7125,-3.7125,3.7125
141.7065,-3.7689,-3.5433,-3.5433,3.5433
143.1220,-3.5305,-3.3691,-3.3691,3.3691
144.5516,-3.2679,-3.1921,-3.1921,3.1921
145.9955,-3.0082,-3.0151,-3.0151,3.0151
147.4538,-2.7481,-2.8405,-2.8405,2.8405
148.9267,-2.5738,-2.6721,-2.6721,2.6721
150.4143,-2.4161,-2.5114,-2.5114,2.5114
151.9167,-2.1868,-2.3594,-2.3594,2.3594
153.4342,-1.9292,-2.2185,-2.2185,2.2185
154.9668,-1.7852,-2.0923,-2.0923,2.0923
156.5147,-1.6298,-1.9827,-1.9827,1.9827
158.0781,-1.5746,-1.8914,-1.8914,1.8914
159.6571,-1.5700,-1.8192,-1.8192,1.8192
161.2519,-1.5700,-1.7660,-1.7660,1.7660
162.8626,-1.5700,-1.7306,-1.7306,1.7306
164.4894,-1.5700,-1.7122,-1.7122,1.7122
166.1324,-1.6763,-1.7101,-1.7101,1.7101
167.7919,-1.6568,-1.7230,-1.7230,1.7230
169.4679,-1.5868,-1.7518,-1.7518,1.7518
171.1607,-1.5700,-1.7976,-1.7976,1.7976
172.8704,-1.6758,-1.8597,-1.8597,1.8597
174.5972,-1.7780,-1.9361,-1.9361,1.9361
176.3412,-1.8000,-2.0254,-2.0254,2.0254
178.1026,-1.9355,-2.1282,-2.1282,2.1282
179.8816,-2.0704,-2.2436,-2.2436,2.2436
181.6784,-2.1751,-2.3703,-2.3703,2.3703
183.4932,-2.3049,-2.5072,-2.5072,2.5072
185.3261,-2.5344,-2.6535,-2.6535,2.6535
187.1772,-2.7939,-2.8073,-2.8073,2.8073
189.0469,-3.0468,-2.9669,-2.9669,2.9669
190.9352,-3.1919,-3.1302,-3.1302,3.1302
192.8425,-3.3094,-3.2961,-3.2961,3.2961
194.7687,-3.4587,-3.4642,-3.4642,3.4642
196.7142,-3.6629,-3.6344,-3.6344,3.6344
198.6792,-3.9126,-3.8052,-3.8052,3.8052
200.6637,-4.0541,-3.9740,-3.9740,3.9740
202.6681,-4.1096,-4.1406,-4.1406,4.1406
204.6925,-4.2157,-4.3050,-4.3050,4.3050
206.7371,-4.3529,-4.4653,-4.4653,4.4653
208.8022,-4.5518,-4.6195,-4.6195,4.6195
210.8879,-4.8013,-4.7652,-4.7652,4.7652
212.9944,-5.0680,-4.8990,-4.8990,4.8990
215.1219,-5.1987,-5.0170,-5.0170,5.0170
217.2707,-5.3737,-5.1168,-5.1168,5.1168
219.4410,-5.5541,-5.1955,-5.1955,5.1955
221.6329,-5.6510,-5.2506,-5.2506,5.2506
223.8468,-5.7501,-5.2811,-5.2811,5.2811
226.0827,-5.8598,-5.2864,-5.2864,5.2864
228.3410,-5.7811,-5.2654,-5.2654,5.2654
230.6219,-5.5803,-5.2193,-5.2193,5.2193
