frequency,raw,smoothed,error,equalization
20.0000,-8.9600,-8.6718,-8.6718,8.6718
20.1998,-8.8801,-8.6364,-8.6364,8.6364
20.4015,-8.7994,-8.5956,-8.5956,8.5956
20.6053,-8.7218,-8.5504,-8.5504,8.5504
20.8112,-8.6396,-8.5011,-8.5011,8.5011
21.0190,-8.5604,-8.4481,-8.4481,8.4481
21.2290,-8.4704,-8.3912,-8.3912,8.3912
21.4410,-8.3896,-8.3301,-8.3301,8.3301
21.6552,-8.3020,-8.2645,-8.2645,8.2645
21.8715,-8.2194,-8.1939,-8.1939,8.1939
22.0900,-8.1300,-8.1174,-8.1174,8.1174
22.3106,-8.0397,-8.0342,-8.0342,8.0342
22.5335,-7.9525,-7.9461,-7.9461,7.9461
22.7586,-7.8606,-7.8572,-7.8572,7.8572
22.9859,-7.7716,-7.7675,-7.7675,7.7675
23.2155,-7.6916,-7.6772,-7.6772,7.6772
23.4474,-7.6010,-7.5861,-7.5861,7.5861
23.6816,-7.5035,-7.4943,-7.4943,7.4943
23.9182,-7.4107,-7.4019,-7.4019,7.4019
24.1571,-7.3211,-7.3090,-7.3090,7.3090
24.3984,-7.2207,-7.2155,-7.2155,7.2155
24.6421,-7.1232,-7.1218,-7.1218,7.1218
24.8882,-7.0307,-7.0277,-7.0277,7.0277
25.1368,-6.9313,-6.9334,-6.9334,6.9334
25.3879,-6.8308,-6.8390,-6.8390,6.8390
25.6415,-6.7429,-6.7445,-6.7445,6.7445
25.8976,-6.6448,-6.6500,-6.6500,6.6500
26.1563,-6.5513,-6.5555,-6.5555,6.5555
26.4176,-6.4641,-6.4611,-6.4611,6.4611
26.6815,-6.3633,-6.3667,-6.3667,6.3667
26.9480,-6.2740,-6.2723,-6.2723,6.2723
27.2172,-6.1843,-6.1780,-6.1780,6.1780
27.4890,-6.0841,-6.0838,-6.0838,6.0838
27.7636,-5.9921,-5.9896,-5.9896,5.9896
28.0409,-5.8932,-5.8956,-5.8956,5.8956
28.3210,-5.8029,-5.8019,-5.8019,5.8019
28.6039,-5.7055,-5.7086,-5.7086,5.7086
28.8896,-5.6133,-5.6156,-5.6156,5.6156
29.1782,-5.5141,-5.5233,-5.5233,5.5233
29.4697,-5.4232,-5.4316,-5.4316,5.4316
29.7640,-5.3253,-5.3407,-5.3407,5.3407
30.0613,-5.2356,-5.2508,-5.2508,5.2508
30.3616,-5.1455,-5.1618,-5.1618,5.1618
30.6649,-5.0545,-5.0740,-5.0740,5.0740
