frequency,raw,smoothed,error,equalization
20.0000,-9.8000,-9.5963,-9.5963,9.5963
20.1998,-9.7501,-9.5640,-9.5640,9.5640
20.4015,-9.7096,-9.5262,-9.5262,9.5262
20.6053,-9.6611,-9.4830,-9.4830,9.4830
20.8112,-9.6097,-9.4346,-9.4346,9.4346
21.0190,-9.5602,-9.3808,-9.3808,9.3808
21.2290,-9.4605,-9.3212,-9.3212,9.3212
21.4410,-9.3595,-9.2559,-9.2559,9.2559
21.6552,-9.2622,-9.1851,-9.1851,9.1851
21.8715,-9.1592,-9.1086,-9.1086,9.1086
22.0900,-9.0500,-9.0261,-9.0261,9.0261
22.3106,-8.9397,-8.9372,-8.9372,8.9372
22.5335,-8.8331,-8.8439,-8.8439,8.8439
22.7586,-8.7207,-8.7505,-8.7505,8.7505
22.9859,-8.6218,-8.6579,-8.6579,8.6579
23.2155,-8.5220,-8.5665,-8.5665,8.5665
23.4474,-8.4310,-8.4768,-8.4768,8.4768
23.6816,-8.3335,-8.3892,-8.3892,8.3892
23.9182,-8.2407,-8.3037,-8.3037,8.3037
24.1571,-8.1709,-8.2204,-8.2204,8.2204
24.3984,-8.1203,-8.1389,-8.1389,8.1389
24.6421,-8.0619,-8.0588,-8.0588,8.0588
24.8882,-8.0004,-7.9798,-7.9798,7.9798
25.1368,-7.9309,-7.9015,-7.9015,7.9015
25.3879,-7.8507,-7.8233,-7.8233,7.8233
25.6415,-7.7726,-7.7446,-7.7446,7.7446
25.8976,-7.6938,-7.6648,-7.6648,7.6648
26.1563,-7.6013,-7.5836,-7.5836,7.5836
26.4176,-7.5046,-7.5010,-7.5010,7.5010
26.6815,-7.4033,-7.4173,-7.4173,7.4173
26.9480,-7.3140,-7.3327,-7.3327,7.3327
27.2172,-7.2433,-7.2476,-7.2476,7.2476
27.4890,-7.1824,-7.1622,-7.1622,7.1622
27.7636,-7.1312,-7.0766,-7.0766,7.0766
28.0409,-7.0623,-6.9906,-6.9906,6.9906
28.3210,-6.9245,-6.9040,-6.9040,6.9040
28.6039,-6.7972,-6.8178,-6.8178,6.8178
28.8896,-6.6648,-6.7326,-6.7326,6.7326
29.1782,-6.5737,-6.6493,-6.6493,6.6493
29.4697,-6.5025,-6.5680,-6.5680,6.5680
29.7640,-6.4337,-6.4886,-6.4886,6.4886
30.0613,-6.3737,-6.4108,-6.4108,6.4108
30.3616,-6.3231,-6.3342,-6.3342,6.3342
30.6649,-6.2725,-6.2583,-6.2583,6.2583
30.9712,-6.2230,-6.1830,-6.1830,6.1830
31.2806,-6.1356,-6.1081,-6.1081,6.1081
31.5930,-6.0449,-6.0341,-6.0341,6.0341
31.9086,-5.9560,-5.9607,-5.9607,5.9607
32.2273,-5.8829,-5.8876,-5.8876,5.8876
32.5492,-5.8144,-5.8145,-5.8145,5.8145
32.8744,-5.7434,-5.7414,-5.7414,5.7414
33.2027,-5.6642,-5.6686,-5.6686,5.6686
33.5344,-5.5838,-5.5962,-5.5962,5.5962
33.8694,-5.5049,-5.5243,-5.5243,5.5243
34.2077,-5.4346,-5.4530,-5.4530,5.4530
34.5494,-5.3830,-5.3826,-5.3826,5.3826
34.8945,-5.3244,-5.3128,-5.3128,5.3128
35.2430,-5.2369,-5.2435,-5.2435,5.2435
35.5951,-5.1371,-5.1746,-5.1746,5.1746
35.9506,-5.0355,-5.1063,-5.1063,5.1063
36.3097,-5.0111,-5.0387,-5.0387,5.0387
36.6724,-4.9915,-4.9712,-4.9712,4.9712
37.0387,-4.9618,-4.9031,-4.9031,4.9031
37.4087,-4.8752,-4.8342,-4.8342,4.8342
37.7824,-4.7958,-4.7650,-4.7650,4.7650
38.1598,-4.7164,-4.6955,-4.6955,4.6955
38.5409,-4.6454,-4.6257,-4.6257,4.6257
38.9259,-4.5744,-4.5555,-4.5555,4.5555
39.3147,-4.4858,-4.4847,-4.4847,4.4847
39.7074,-4.3973,-4.4137,-4.4137,4.4137
40.1041,-4.3081,-4.3432,-4.3432,4.3432
40.5046,-4.2180,-4.2736,-4.2736,4.2736
40.9092,-4.1269,-4.2055,-4.2055,4.2055
41.3179,-4.1108,-4.1398,-4.1398,4.1398
41.7306,-4.1007,-4.0761,-4.0761,4.0761
42.1474,-4.0631,-4.0138,-4.0138,4.0138
42.5684,-3.9675,-3.9525,-3.9525,3.9525
42.9936,-3.8685,-3.8930,-3.8930,3.8930
43.4231,-3.7777,-3.8360,-3.8360,3.8360
43.8568,-3.6798,-3.7820,-3.7820,3.7820
44.2949,-3.6516,-3.7312,-3.7312,3.7312
44.7374,-3.6500,-3.6830,-3.6830,3.6830
45.1842,-3.6320,-3.6368,-3.6368,3.6368
45.6356,-3.6030,-3.5921,-3.5921,3.5921
46.0914,-3.5634,-3.5486,-3.5486,3.5486
46.5518,-3.4882,-3.5064,-3.5064,3.5064
47.0168,-3.4256,-3.4666,-3.4666,3.4666
47.4864,-3.4200,-3.4300,-3.4300,3.4300
47.9608,-3.4200,-3.3961,-3.3961,3.3961
48.4398,-3.3663,-3.3644,-3.3644,3.3644
48.9237,-3.2968,-3.3347,-3.3347,3.3347
49.4124,-3.2449,-3.3076,-3.3076,3.3076
49.9059,-3.1954,-3.2832,-3.2832,3.2832
50.4044,-3.1900,-3.2627,-3.2627,3.2627
50.9079,-3.1900,-3.2475,-3.2475,3.2475
51.4164,-3.1900,-3.2387,-3.2387,3.2387
51.9300,-3.1900,-3.2361,-3.2361,3.2361
52.4487,-3.1900,-3.2400,-3.2400,3.2400
52.9726,-3.1900,-3.2503,-3.2503,3.2503
53.5018,-3.1900,-3.2658,-3.2658,3.2658
54.0362,-3.1900,-3.2849,-3.2849,3.2849
54.5759,-3.1900,-3.3062,-3.3062,3.3062
55.1211,-3.1900,-3.3277,-3.3277,3.3277
55.6717,-3.1900,-3.3473,-3.3473,3.3473
56.2278,-3.3142,-3.3633,-3.3633,3.3633
56.7894,-3.5490,-3.3721,-3.3721,3.3721
57.3567,-3.6421,-3.3688,-3.3688,3.3688
57.9296,-3.6500,-3.3510,-3.3510,3.3510
58.5082,-3.7639,-3.3182,-3.3182,3.3182
59.0927,-3.7977,-3.2685,-3.2685,3.2685
59.6829,-3.5734,-3.2008,-3.2008,3.2008
60.2791,-3.3640,-3.1173,-3.1173,3.1173
60.8812,-3.2181,-3.0201,-3.0201,3.0201
61.4893,-2.9917,-2.9107,-2.9107,2.9107
62.1035,-2.7676,-2.7920,-2.7920,2.7920
62.7239,-2.5821,-2.6666,-2.6666,2.6666
63.3504,-2.3940,-2.5370,-2.5370,2.5370
63.9832,-2.1971,-2.4074,-2.4074,2.4074
64.6223,-2.1010,-2.2817,-2.2817,2.2817
65.2678,-2.0551,-2.1610,-2.1610,2.1610
65.9198,-2.0500,-2.0458,-2.0458,2.0458
66.5782,-1.9209,-1.9366,-1.9366,1.9366
67.2433,-1.7697,-1.8349,-1.8349,1.8349
67.9149,-1.6210,-1.7410,-1.7410,1.7410
68.5933,-1.5828,-1.6552,-1.6552,1.6552
69.2785,-1.5021,-1.5762,-1.5762,1.5762
69.9705,-1.3871,-1.5032,-1.5032,1.5032
70.6694,-1.3700,-1.4363,-1.4363,1.4363
71.3753,-1.3700,-1.3745,-1.3745,1.3745
72.0883,-1.3272,-1.3163,-1.3163,1.3163
72.8083,-1.1826,-1.2612,-1.2612,1.2612
73.5356,-1.1429,-1.2106,-1.2106,1.2106
74.2701,-1.1400,-1.1639,-1.1639,1.1639
75.0120,-1.1315,-1.1202,-1.1202,1.1202
75.7613,-1.0958,-1.0786,-1.0786,1.0786
76.5180,-0.9877,-1.0385,-1.0385,1.0385
77.2824,-0.9192,-1.0007,-1.0007,1.0007
78.0543,-0.9100,-0.9658,-0.9658,0.9658
78.8340,-0.9100,-0.9330,-0.9330,0.9330
79.6214,-0.9100,-0.9010,-0.9010,0.9010
80.4168,-0.9100,-0.8691,-0.8691,0.8691
81.2200,-0.9100,-0.8372,-0.8372,0.8372
82.0313,-0.8679,-0.8047,-0.8047,0.8047
82.8507,-0.7084,-0.7714,-0.7714,0.7714
83.6783,-0.6800,-0.7394,-0.7394,0.7394
84.5141,-0.6800,-0.7092,-0.7092,0.7092
85.3583,-0.6800,-0.6806,-0.6806,0.6806
86.2109,-0.6800,-0.6529,-0.6529,0.6529
87.0721,-0.6717,-0.6251,-0.6251,0.6251
87.9418,-0.6285,-0.5961,-0.5961,0.5961
88.8203,-0.4955,-0.5663,-0.5663,0.5663
89.7075,-0.4617,-0.5376,-0.5376,0.5376
90.6035,-0.4600,-0.5105,-0.5105,0.5105
91.5085,-0.4600,-0.4851,-0.4851,0.4851
92.4226,-0.4600,-0.4611,-0.4611,0.4611
93.3458,-0.4600,-0.4380,-0.4380,0.4380
94.2782,-0.4600,-0.4150,-0.4150,0.4150
95.2199,-0.4600,-0.3919,-0.3919,0.3919
96.1711,-0.4271,-0.3687,-0.3687,0.3687
97.1317,-0.3293,-0.3459,-0.3459,0.3459
98.1019,-0.2445,-0.3250,-0.3250,0.3250
99.0818,-0.2300,-0.3070,-0.3070,0.3070
100.0715,-0.2300,-0.2916,-0.2916,0.2916
101.0711,-0.2300,-0.2780,-0.2780,0.2780
102.0807,-0.2300,-0.2662,-0.2662,0.2662
103.1004,-0.2300,-0.2560,-0.2560,0.2560
104.1302,-0.2300,-0.2475,-0.2475,0.2475
105.1703,-0.2300,-0.2408,-0.2408,0.2408
106.2209,-0.2300,-0.2350,-0.2350,0.2350
107.2819,-0.2300,-0.2296,-0.2296,0.2296
108.3535,-0.2300,-0.2241,-0.2241,0.2241
109.4358,-0.2300,-0.2181,-0.2181,0.2181
110.5289,-0.2300,-0.2109,-0.2109,0.2109
111.6330,-0.2300,-0.2020,-0.2020,0.2020
112.7481,-0.2300,-0.1915,-0.1915,0.1915
113.8743,-0.2300,-0.1792,-0.1792,0.1792
115.0118,-0.2300,-0.1653,-0.1653,0.1653
116.1606,-0.2300,-0.1496,-0.1496,0.1496
117.3209,-0.2220,-0.1323,-0.1323,0.1323
118.4928,-0.0922,-0.1134,-0.1134,0.1134
119.6764,-0.0123,-0.0953,-0.0953,0.0953
120.8718,0.0000,-0.0800,-0.0800,0.0800
122.0792,0.0000,-0.0681,-0.0681,0.0681
123.2986,0.0000,-0.0595,-0.0595,0.0595
124.5302,0.0000,-0.0544,-0.0544,0.0544
