frequency,raw,smoothed,error,equalization
20.0000,-6.1500,-5.9498,-5.9498,5.9498
20.1998,-6.1200,-5.9239,-5.9239,5.9239
20.4015,-6.0594,-5.8940,-5.8940,5.8940
20.6053,-5.9818,-5.8609,-5.8609,5.8609
20.8112,-5.9296,-5.8253,-5.8253,5.8253
21.0190,-5.8603,-5.7872,-5.7872,5.7872
21.2290,-5.8003,-5.7468,-5.7468,5.7468
21.4410,-5.7198,-5.7040,-5.7040,5.7040
21.6552,-5.6711,-5.6589,-5.6589,5.6589
21.8715,-5.6293,-5.6110,-5.6110,5.6110
22.0900,-5.5300,-5.5597,-5.5597,5.5597
22.3106,-5.4899,-5.5050,-5.5050,5.5050
22.5335,-5.4414,-5.4480,-5.4480,5.4480
22.7586,-5.3903,-5.3915,-5.3915,5.3915
22.9859,-5.3311,-5.3355,-5.3355,5.3355
23.2155,-5.2712,-5.2803,-5.2803,5.2803
23.4474,-5.2107,-5.2257,-5.2257,5.2257
23.6816,-5.1617,-5.1718,-5.1718,5.1718
23.9182,-5.1203,-5.1186,-5.1186,5.1186
24.1571,-5.0706,-5.0658,-5.0658,5.0658
24.3984,-5.0104,-5.0133,-5.0133,5.0133
24.6421,-4.9616,-4.9612,-4.9612,4.9612
24.8882,-4.9004,-4.9094,-4.9094,4.9094
25.1368,-4.8605,-4.8579,-4.8579,4.8579
25.3879,-4.8005,-4.8066,-4.8066,4.8066
25.6415,-4.7420,-4.7556,-4.7556,4.7556
25.8976,-4.7019,-4.7052,-4.7052,4.7052
26.1563,-4.6507,-4.6551,-4.6551,4.6551
26.4176,-4.6023,-4.6053,-4.6053,4.6053
26.6815,-4.5516,-4.5558,-4.5558,4.5558
26.9480,-4.5118,-4.5067,-4.5067,4.5067
27.2172,-4.4624,-4.4579,-4.4579,4.4579
27.4890,-4.4024,-4.4097,-4.4097,4.4097
27.7636,-4.3512,-4.3621,-4.3621,4.3621
28.0409,-4.3016,-4.3153,-4.3153,4.3153
28.3210,-4.2613,-4.2692,-4.2692,4.2692
28.6039,-4.2128,-4.2239,-4.2239,4.2239
28.8896,-4.1618,-4.1795,-4.1795,4.1795
29.1782,-4.1312,-4.1362,-4.1362,4.1362
29.4697,-4.0721,-4.0940,-4.0940,4.0940
29.7640,-4.0416,-4.0529,-4.0529,4.0529
30.0613,-3.9931,-4.0129,-4.0129,4.0129
30.3616,-3.9618,-3.9742,-3.9742,3.9742
30.6649,-3.9315,-3.9367,-3.9367,3.9367
30.9712,-3.8830,-3.9004,-3.9004,3.9004
31.2806,-3.8425,-3.8653,-3.8653,3.8653
31.5930,-3.8116,-3.8315,-3.8315,3.8315
31.9086,-3.7913,-3.7990,-3.7990,3.7990
32.2273,-3.7516,-3.7675,-3.7675,3.7675
32.5492,-3.7406,-3.7371,-3.7371,3.7371
32.8744,-3.7020,-3.7075,-3.7075,3.7075
33.2027,-3.6526,-3.6788,-3.6788,3.6788
33.5344,-3.6500,-3.6514,-3.6514,3.6514
33.8694,-3.6030,-3.6250,-3.6250,3.6250
34.2077,-3.6000,-3.5997,-3.5997,3.5997
34.5494,-3.5624,-3.5753,-3.5753,3.5753
34.8945,-3.5415,-3.5521,-3.5521,3.5521
35.2430,-3.5123,-3.5300,-3.5300,3.5300
35.5951,-3.5100,-3.5092,-3.5092,3.5092
35.9506,-3.4628,-3.4894,-3.4894,3.4894
36.3097,-3.4600,-3.4710,-3.4710,3.4710
36.6724,-3.4230,-3.4536,-3.4536,3.4536
37.0387,-3.4200,-3.4378,-3.4378,3.4378
37.4087,-3.4200,-3.4231,-3.4231,3.4231
37.7824,-3.3922,-3.4094,-3.4094,3.4094
38.1598,-3.3716,-3.3970,-3.3970,3.3970
38.5409,-3.3700,-3.3858,-3.3858,3.3858
38.9259,-3.3700,-3.3759,-3.3759,3.3759
39.3147,-3.3700,-3.3670,-3.3670,3.3670
39.7074,-3.3700,-3.3589,-3.3589,3.3589
40.1041,-3.3427,-3.3515,-3.3515,3.3515
40.5046,-3.3218,-3.3450,-3.3450,3.3450
40.9092,-3.3200,-3.3395,-3.3395,3.3395
41.3179,-3.3200,-3.3348,-3.3348,3.3348
41.7306,-3.3200,-3.3305,-3.3305,3.3305
42.1474,-3.3200,-3.3266,-3.3266,3.3266
42.5684,-3.3200,-3.3231,-3.3231,3.3231
42.9936,-3.3200,-3.3196,-3.3196,3.3196
43.4231,-3.3200,-3.3158,-3.3158,3.3158
43.8568,-3.3200,-3.3116,-3.3116,3.3116
44.2949,-3.3200,-3.3067,-3.3067,3.3067
44.7374,-3.3200,-3.3010,-3.3010,3.3010
45.1842,-3.3200,-3.2944,-3.2944,3.2944
45.6356,-3.3110,-3.2863,-3.2863,3.2863
46.0914,-3.2826,-3.2765,-3.2765,3.2765
46.5518,-3.2800,-3.2653,-3.2653,3.2653
47.0168,-3.2800,-3.2524,-3.2524,3.2524
47.4864,-3.2800,-3.2376,-3.2376,3.2376
47.9608,-3.2351,-3.2209,-3.2209,3.2209
48.4398,-3.2300,-3.2026,-3.2026,3.2026
48.9237,-3.1939,-3.1826,-3.1826,3.1826
49.4124,-3.1810,-3.1615,-3.1615,3.1615
49.9059,-3.1532,-3.1393,-3.1393,3.1393
50.4044,-3.1411,-3.1165,-3.1165,3.1165
50.9079,-3.0952,-3.0932,-3.0932,3.0932
51.4164,-3.0542,-3.0701,-3.0701,3.0701
51.9300,-3.0412,-3.0477,-3.0477,3.0477
52.4487,-3.0047,-3.0265,-3.0265,3.0265
