frequency,raw,smoothed,error,equalization
20.0000,-3.6400,-3.5261,-3.5261,3.5261
20.1998,-3.6100,-3.5114,-3.5114,3.5114
20.4015,-3.5798,-3.4946,-3.4946,3.4946
20.6053,-3.5507,-3.4759,-3.4759,3.4759
20.8112,-3.5198,-3.4558,-3.4558,3.4558
21.0190,-3.4802,-3.4341,-3.4341,3.4341
21.2290,-3.4501,-3.4110,-3.4110,3.4110
21.4410,-3.4098,-3.3865,-3.3865,3.3865
21.6552,-3.3709,-3.3604,-3.3604,3.3604
21.8715,-3.3297,-3.3326,-3.3326,3.3326
22.0900,-3.2900,-3.3032,-3.3032,3.3032
22.3106,-3.2599,-3.2717,-3.2717,3.2717
22.5335,-3.2308,-3.2389,-3.2389,3.2389
22.7586,-3.1903,-3.2065,-3.2065,3.2065
22.9859,-3.1704,-3.1746,-3.1746,3.1746
23.2155,-3.1406,-3.1429,-3.1429,3.1429
23.4474,-3.1103,-3.1116,-3.1116,3.1116
23.6816,-3.0810,-3.0805,-3.0805,3.0805
23.9182,-3.0502,-3.0499,-3.0499,3.0499
24.1571,-3.0204,-3.0197,-3.0197,3.0197
24.3984,-2.9902,-2.9903,-2.9903,2.9903
24.6421,-2.9609,-2.9617,-2.9617,2.9617
24.8882,-2.9302,-2.9340,-2.9340,2.9340
25.1368,-2.9004,-2.9071,-2.9071,2.9071
25.3879,-2.8702,-2.8810,-2.8810,2.8810
25.6415,-2.8313,-2.8555,-2.8555,2.8555
25.8976,-2.8014,-2.8306,-2.8306,2.8306
26.1563,-2.7704,-2.8063,-2.8063,2.8063
26.4176,-2.7509,-2.7826,-2.7826,2.7826
26.6815,-2.7403,-2.7595,-2.7595,2.7595
26.9480,-2.7400,-2.7370,-2.7370,2.7370
27.2172,-2.7400,-2.7147,-2.7147,2.7147
27.4890,-2.7304,-2.6925,-2.6925,2.6925
27.7636,-2.7202,-2.6701,-2.6701,2.6701
28.0409,-2.6813,-2.6473,-2.6473,2.6473
28.3210,-2.6413,-2.6243,-2.6243,2.6243
28.6039,-2.5928,-2.6014,-2.6014,2.6014
28.8896,-2.5418,-2.5788,-2.5788,2.5788
29.1782,-2.5112,-2.5571,-2.5571,2.5571
29.4697,-2.4907,-2.5363,-2.5363,2.5363
29.7640,-2.4805,-2.5166,-2.5166,2.5166
30.0613,-2.4800,-2.4978,-2.4978,2.4978
30.3616,-2.4800,-2.4799,-2.4799,2.4799
30.6649,-2.4705,-2.4628,-2.4628,2.4628
30.9712,-2.4512,-2.4466,-2.4466,2.4466
31.2806,-2.4313,-2.4315,-2.4315,2.4315
31.5930,-2.4111,-2.4178,-2.4178,2.4178
31.9086,-2.3913,-2.4054,-2.4054,2.4054
32.2273,-2.3804,-2.3945,-2.3945,2.3945
32.5492,-2.3706,-2.3850,-2.3850,2.3850
32.8744,-2.3605,-2.3768,-2.3768,2.3768
33.2027,-2.3505,-2.3699,-2.3699,2.3699
33.5344,-2.3405,-2.3646,-2.3646,2.3646
33.8694,-2.3306,-2.3610,-2.3610,2.3610
34.2077,-2.3300,-2.3597,-2.3597,2.3597
34.5494,-2.3300,-2.3607,-2.3607,2.3607
34.8945,-2.3300,-2.3643,-2.3643,2.3643
35.2430,-2.3392,-2.3705,-2.3705,2.3705
35.5951,-2.3493,-2.3793,-2.3793,2.3793
35.9506,-2.3594,-2.3909,-2.3909,2.3909
36.3097,-2.3789,-2.4054,-2.4054,2.4054
36.6724,-2.3893,-2.4229,-2.4229,2.4229
37.0387,-2.4088,-2.4435,-2.4435,2.4435
37.4087,-2.4288,-2.4674,-2.4674,2.4674
37.7824,-2.4578,-2.4945,-2.4945,2.4945
38.1598,-2.4876,-2.5247,-2.5247,2.5247
38.5409,-2.5177,-2.5578,-2.5578,2.5578
38.9259,-2.5481,-2.5934,-2.5934,2.5934
39.3147,-2.5874,-2.6311,-2.6311,2.6311
39.7074,-2.6359,-2.6701,-2.6701,2.6701
40.1041,-2.6855,-2.7096,-2.7096,2.7096
40.5046,-2.7447,-2.7485,-2.7485,2.7485
40.9092,-2.8054,-2.7859,-2.7859,2.7859
