frequency,raw,smoothed,error,equalization
20.0000,3.9800,4.0818,4.0818,-4.0818
20.1998,4.0100,4.0946,4.0946,-4.0946
20.4015,4.0202,4.1093,4.1093,-4.1093
20.6053,4.0493,4.1257,4.1257,-4.1257
20.8112,4.1002,4.1437,4.1437,-4.1437
21.0190,4.1299,4.1626,4.1626,-4.1626
21.2290,4.1599,4.1825,4.1825,-4.1825
21.4410,4.1902,4.2034,4.2034,-4.2034
21.6552,4.2291,4.2255,4.2255,-4.2255
21.8715,4.2403,4.2487,4.2487,-4.2487
22.0900,4.2900,4.2736,4.2736,-4.2736
22.3106,4.3001,4.3000,4.3000,-4.3000
22.5335,4.3292,4.3275,4.3275,-4.3275
22.7586,4.3797,4.3546,4.3546,-4.3546
22.9859,4.3800,4.3810,4.3810,-4.3810
23.2155,4.4192,4.4068,4.4068,-4.4068
23.4474,4.4299,4.4320,4.4320,-4.4320
23.6816,4.4686,4.4569,4.4569,-4.4569
23.9182,4.4700,4.4811,4.4811,-4.4811
24.1571,4.5194,4.5051,4.5051,-4.5051
24.3984,4.5200,4.5285,4.5285,-4.5285
24.6421,4.5684,4.5514,4.5514,-4.5514
24.8882,4.5700,4.5736,4.5736,-4.5736
25.1368,4.6095,4.5954,4.5954,-4.5954
25.3879,4.6100,4.6164,4.6164,-4.6164
25.6415,4.6584,4.6369,4.6369,-4.6369
25.8976,4.6600,4.6566,4.6566,-4.6566
26.1563,4.6994,4.6757,4.6757,-4.6757
26.4176,4.7095,4.6939,4.6939,-4.6939
26.6815,4.7100,4.7112,4.7112,-4.7112
26.9480,4.7482,4.7279,4.7279,-4.7279
27.2172,4.7500,4.7437,4.7437,-4.7437
27.4890,4.7500,4.7589,4.7589,-4.7589
27.7636,4.7891,4.7738,4.7738,-4.7738
28.0409,4.7997,4.7883,4.7883,-4.7883
28.3210,4.8000,4.8025,4.8025,-4.8025
28.6039,4.8000,4.8168,4.8168,-4.8168
28.8896,4.8482,4.8315,4.8315,-4.8315
29.1782,4.8500,4.8462,4.8462,-4.8462
29.4697,4.8500,4.8613,4.8613,-4.8613
29.7640,4.8500,4.8770,4.8770,-4.8770
30.0613,4.8875,4.8935,4.8935,-4.8935
30.3616,4.8900,4.9107,4.9107,-4.9107
30.6649,4.8995,4.9287,4.9287,-4.9287
30.9712,4.9376,4.9477,4.9477,-4.9477
31.2806,4.9587,4.9670,4.9670,-4.9670
31.5930,4.9884,4.9869,4.9869,-4.9869
31.9086,5.0087,5.0071,5.0071,-5.0071
32.2273,5.0292,5.0273,5.0273,-5.0273
32.5492,5.0581,5.0473,5.0473,-5.0473
32.8744,5.0790,5.0670,5.0670,-5.0670
33.2027,5.0800,5.0860,5.0860,-5.0860
33.5344,5.1276,5.1044,5.1044,-5.1044
33.8694,5.1300,5.1215,5.1215,-5.1215
34.2077,5.1674,5.1374,5.1374,-5.1374
34.5494,5.1700,5.1516,5.1516,-5.1516
34.8945,5.1700,5.1640,5.1640,-5.1640
35.2430,5.2069,5.1747,5.1747,-5.1747
35.5951,5.2193,5.1834,5.1834,-5.1834
35.9506,5.2200,5.1901,5.1901,-5.1901
36.3097,5.2200,5.1949,5.1949,-5.1949
36.6724,5.2200,5.1977,5.1977,-5.1977
37.0387,5.2200,5.1987,5.1987,-5.1987
37.4087,5.2200,5.1980,5.1980,-5.1980
37.7824,5.2200,5.1957,5.1957,-5.1957
38.1598,5.2108,5.1921,5.1921,-5.1921
38.5409,5.2008,5.1875,5.1875,-5.1875
38.9259,5.1719,5.1820,5.1820,-5.1820
39.3147,5.1700,5.1762,5.1762,-5.1762
39.7074,5.1700,5.1703,5.1703,-5.1703
40.1041,5.1700,5.1643,5.1643,-5.1643
40.5046,5.1518,5.1584,5.1584,-5.1584
40.9092,5.1315,5.1529,5.1529,-5.1529
41.3179,5.1300,5.1479,5.1479,-5.1479
41.7306,5.1300,5.1433,5.1433,-5.1433
42.1474,5.1300,5.1390,5.1390,-5.1390
42.5684,5.1300,5.1351,5.1351,-5.1351
42.9936,5.1300,5.1311,5.1311,-5.1311
43.4231,5.1300,5.1271,5.1271,-5.1271
43.8568,5.1300,5.1225,5.1225,-5.1225
44.2949,5.1300,5.1171,5.1171,-5.1171
44.7374,5.1300,5.1107,5.1107,-5.1107
45.1842,5.1300,5.1028,5.1028,-5.1028
45.6356,5.1300,5.0931,5.0931,-5.0931
46.0914,5.1117,5.0810,5.0810,-5.0810
46.5518,5.0831,5.0663,5.0663,-5.0663
47.0168,5.0800,5.0490,5.0490,-5.0490
47.4864,5.0800,5.0286,5.0286,-5.0286
