frequency,raw,smoothed,error,equalization
20.0000,-5.2700,-4.9150,-4.9150,4.9150
20.1998,-5.1701,-4.8727,-4.8727,4.8727
20.4015,-5.0693,-4.8241,-4.8241,4.8241
20.6053,-4.9722,-4.7706,-4.7706,4.7706
20.8112,-4.8695,-4.7128,-4.7128,4.7128
21.0190,-4.7705,-4.6509,-4.6509,4.6509
21.2290,-4.6705,-4.5851,-4.5851,4.5851
21.4410,-4.5695,-4.5149,-4.5149,4.5149
21.6552,-4.4722,-4.4401,-4.4401,4.4401
21.8715,-4.3693,-4.3601,-4.3601,4.3601
22.0900,-4.2700,-4.2743,-4.2743,4.2743
22.3106,-4.1797,-4.1816,-4.1816,4.1816
22.5335,-4.0828,-4.0841,-4.0841,4.0841
22.7586,-3.9806,-3.9869,-3.9869,3.9869
22.9859,-3.8916,-3.8899,-3.8899,3.8899
23.2155,-3.7920,-3.7931,-3.7931,3.7931
23.4474,-3.7010,-3.6966,-3.6966,3.6966
23.6816,-3.6035,-3.6003,-3.6003,3.6003
23.9182,-3.5008,-3.5044,-3.5044,3.5044
24.1571,-3.4012,-3.4089,-3.4089,3.4089
24.3984,-3.3106,-3.3141,-3.3141,3.3141
24.6421,-3.2132,-3.2199,-3.2199,3.2199
24.8882,-3.1107,-3.1265,-3.1265,3.1265
25.1368,-3.0211,-3.0342,-3.0342,3.0342
25.3879,-2.9307,-2.9429,-2.9429,2.9429
25.6415,-2.8333,-2.8528,-2.8528,2.8528
25.8976,-2.7443,-2.7641,-2.7641,2.7641
26.1563,-2.6513,-2.6767,-2.6767,2.6767
26.4176,-2.5737,-2.5910,-2.5910,2.5910
26.6815,-2.4830,-2.5068,-2.5068,2.5068
26.9480,-2.4036,-2.4242,-2.4242,2.4242
27.2172,-2.3238,-2.3431,-2.3431,2.3431
27.4890,-2.2528,-2.2635,-2.2635,2.2635
27.7636,-2.1719,-2.1852,-2.1852,2.1852
28.0409,-2.0926,-2.1083,-2.1083,2.1083
28.3210,-2.0222,-2.0326,-2.0326,2.0326
28.6039,-1.9444,-1.9580,-1.9580,1.9580
28.8896,-1.8726,-1.8846,-1.8846,1.8846
29.1782,-1.8028,-1.8122,-1.8122,1.8122
