frequency,raw,smoothed,error,equalization
20.0000,-3.6800,-3.1739,-3.1739,3.1739
20.1998,-3.5302,-3.1177,-3.1177,3.1177
20.4015,-3.3889,-3.0543,-3.0543,3.0543
20.6053,-3.2433,-2.9857,-2.9857,2.9857
20.8112,-3.0892,-2.9131,-2.9131,2.9131
21.0190,-2.9506,-2.8370,-2.8370,2.8370
21.2290,-2.8206,-2.7578,-2.7578,2.7578
21.4410,-2.6994,-2.6751,-2.6751,2.6751
21.6552,-2.5728,-2.5887,-2.5887,2.5887
21.8715,-2.4393,-2.4981,-2.4981,2.4981
22.0900,-2.3400,-2.4028,-2.4028,2.4028
22.3106,-2.2498,-2.3019,-2.3019,2.3019
22.5335,-2.1723,-2.1980,-2.1980,2.1980
22.7586,-2.0905,-2.0971,-2.0971,2.0971
22.9859,-2.0016,-1.9989,-1.9989,1.9989
23.2155,-1.9020,-1.9033,-1.9033,1.9033
23.4474,-1.8011,-1.8100,-1.8100,1.8100
23.6816,-1.7035,-1.7191,-1.7191,1.7191
23.9182,-1.6008,-1.6306,-1.6306,1.6306
24.1571,-1.5111,-1.5447,-1.5447,1.5447
24.3984,-1.4305,-1.4616,-1.4616,1.4616
24.6421,-1.3428,-1.3816,-1.3816,1.3816
24.8882,-1.2606,-1.3049,-1.3049,1.3049
25.1368,-1.1810,-1.2320,-1.2320,1.2320
25.3879,-1.1106,-1.1635,-1.1635,1.1635
25.6415,-1.0423,-1.0994,-1.0994,1.0994
25.8976,-0.9829,-1.0400,-1.0400,1.0400
26.1563,-0.9209,-0.9855,-0.9855,0.9855
26.4176,-0.8628,-0.9362,-0.9362,0.9362
26.6815,-0.8116,-0.8925,-0.8925,0.8925
26.9480,-0.7622,-0.8546,-0.8546,0.8546
27.2172,-0.7505,-0.8228,-0.8228,0.8228
27.4890,-0.7404,-0.7969,-0.7969,0.7969
27.7636,-0.7400,-0.7765,-0.7765,0.7765
28.0409,-0.7303,-0.7614,-0.7614,0.7614
28.3210,-0.7106,-0.7516,-0.7516,0.7516
28.6039,-0.6817,-0.7473,-0.7473,0.7473
28.8896,-0.6511,-0.7487,-0.7487,0.7487
29.1782,-0.6596,-0.7560,-0.7560,0.7560
29.4697,-0.6986,-0.7688,-0.7688,0.7688
29.7640,-0.7284,-0.7865,-0.7865,0.7865
30.0613,-0.7675,-0.8088,-0.8088,0.8088
30.3616,-0.7888,-0.8355,-0.8355,0.8355
30.6649,-0.8185,-0.8664,-0.8664,0.8664
30.9712,-0.8482,-0.9010,-0.9010,0.9010
31.2806,-0.9062,-0.9386,-0.9386,0.9386
31.5930,-0.9667,-0.9783,-0.9783,0.9783
31.9086,-1.0353,-1.0195,-1.0195,1.0195
32.2273,-1.0688,-1.0611,-1.0611,1.0611
32.5492,-1.0887,-1.1028,-1.1028,1.1028
32.8744,-1.1090,-1.1446,-1.1446,1.1446
33.2027,-1.1858,-1.1869,-1.1869,1.1869
33.5344,-1.2757,-1.2293,-1.2293,1.2293
33.8694,-1.3739,-1.2712,-1.2712,1.2712
34.2077,-1.3987,-1.3116,-1.3116,1.3116
34.5494,-1.3812,-1.3505,-1.3505,1.3505
34.8945,-1.3522,-1.3882,-1.3882,1.3882
35.2430,-1.3777,-1.4256,-1.4256,1.4256
35.5951,-1.4079,-1.4631,-1.4631,1.4631
35.9506,-1.4478,-1.5014,-1.5014,1.5014
36.3097,-1.5066,-1.5404,-1.5404,1.5404
36.6724,-1.5655,-1.5795,-1.5795,1.5795
37.0387,-1.6265,-1.6182,-1.6182,1.6182
37.4087,-1.6960,-1.6563,-1.6563,1.6563
37.7824,-1.7649,-1.6940,-1.6940,1.6940
38.1598,-1.7976,-1.7309,-1.7309,1.7309
38.5409,-1.7815,-1.7675,-1.7675,1.7675
38.9259,-1.7519,-1.8047,-1.8047,1.8047
39.3147,-1.8155,-1.8440,-1.8440,1.8440
39.7074,-1.8843,-1.8848,-1.8848,1.8848
40.1041,-1.9355,-1.9260,-1.9260,1.9260
40.5046,-1.9491,-1.9666,-1.9666,1.9666
40.9092,-1.9500,-2.0066,-2.0066,2.0066
41.3179,-2.0053,-2.0465,-2.0465,2.0465
41.7306,-2.0657,-2.0861,-2.0861,2.0861
42.1474,-2.1161,-2.1256,-2.1256,2.1256
42.5684,-2.1385,-2.1650,-2.1650,2.1650
42.9936,-2.1675,-2.2048,-2.2048,2.2048
43.4231,-2.3163,-2.2454,-2.2454,2.2454
43.8568,-2.4743,-2.2850,-2.2850,2.2850
44.2949,-2.4716,-2.3213,-2.3213,2.3213
44.7374,-2.3976,-2.3539,-2.3539,2.3539
45.1842,-2.3541,-2.3850,-2.3850,2.3850
45.6356,-2.3500,-2.4175,-2.4175,2.4175
46.0914,-2.3591,-2.4519,-2.4519,2.4519
46.5518,-2.4138,-2.4877,-2.4877,2.4877
47.0168,-2.4653,-2.5233,-2.5233,2.5233
47.4864,-2.5244,-2.5578,-2.5578,2.5578
47.9608,-2.5838,-2.5916,-2.5916,2.5916
48.4398,-2.6795,-2.6265,-2.6265,2.6265
48.9237,-2.7713,-2.6620,-2.6620,2.6620
49.4124,-2.6807,-2.6970,-2.6970,2.6970
49.9059,-2.5630,-2.7324,-2.7324,2.7324
50.4044,-2.7722,-2.7697,-2.7697,2.7697
50.9079,-3.0508,-2.8068,-2.8068,2.8068
51.4164,-2.9995,-2.8408,-2.8408,2.8408
51.9300,-2.8750,-2.8727,-2.8727,2.8727
52.4487,-2.7453,-2.9043,-2.9043,2.9043
52.9726,-2.6321,-2.9376,-2.9376,2.9376
53.5018,-2.9761,-2.9748,-2.9748,2.9748
54.0362,-3.2757,-3.0119,-3.0119,3.0119
54.5759,-3.1778,-3.0452,-3.0452,3.0452
55.1211,-3.0353,-3.0771,-3.0771,3.0771
55.6717,-2.8971,-3.1100,-3.1100,3.1100
56.2278,-2.9687,-3.1451,-3.1451,3.1451
56.7894,-3.2516,-3.1817,-3.1817,3.1817
57.3567,-3.3610,-3.2177,-3.2177,3.2177
57.9296,-3.3612,-3.2531,-3.2531,3.2531
58.5082,-3.3074,-3.2875,-3.2875,3.2875
59.0927,-3.2823,-3.3210,-3.3210,3.3210
59.6829,-3.3323,-3.3530,-3.3530,3.3530
60.2791,-3.3928,-3.3833,-3.3833,3.3833
60.8812,-3.4522,-3.4138,-3.4138,3.4138
61.4893,-3.4600,-3.4453,-3.4453,3.4453
62.1035,-3.4600,-3.4771,-3.4771,3.4771
62.7239,-3.4688,-3.5083,-3.5083,3.5083
63.3504,-3.5049,-3.5386,-3.5386,3.5386
63.9832,-3.5705,-3.5689,-3.5689,3.5689
64.6223,-3.6231,-3.6002,-3.6002,3.6002
65.2678,-3.6561,-3.6325,-3.6325,3.6325
65.9198,-3.6600,-3.6655,-3.6655,3.6655
66.5782,-3.6600,-3.6987,-3.6987,3.6987
67.2433,-3.6861,-3.7323,-3.7323,3.7323
67.9149,-3.7502,-3.7665,-3.7665,3.7665
68.5933,-3.8200,-3.8015,-3.8015,3.8015
69.2785,-3.8560,-3.8368,-3.8368,3.8368
69.9705,-3.8600,-3.8721,-3.8721,3.8721
70.6694,-3.9028,-3.9075,-3.9075,3.9075
71.3753,-3.9526,-3.9428,-3.9428,3.9428
72.0883,-4.0028,-3.9780,-3.9780,3.9780
72.8083,-4.0444,-4.0133,-4.0133,4.0133
