frequency,raw,smoothed,error,equalization
20.0000,3.9000,4.0675,4.0675,-4.0675
20.1998,3.9499,4.0884,4.0884,-4.0884
20.4015,3.9904,4.1127,4.1127,-4.1127
20.6053,4.0389,4.1398,4.1398,-4.1398
20.8112,4.0902,4.1694,4.1694,-4.1694
21.0190,4.1298,4.2013,4.2013,-4.2013
21.2290,4.1798,4.2355,4.2355,-4.2355
21.4410,4.2302,4.2721,4.2721,-4.2721
21.6552,4.2789,4.3113,4.3113,-4.3113
21.8715,4.3304,4.3535,4.3535,-4.3535
22.0900,4.3900,4.3990,4.3990,-4.3990
22.3106,4.4502,4.4483,4.4483,-4.4483
22.5335,4.5083,4.5002,4.5002,-4.5002
22.7586,4.5696,4.5522,4.5522,-4.5522
22.9859,4.6289,4.6042,4.6042,-4.6042
23.2155,4.6692,4.6560,4.6560,-4.6560
23.4474,4.7095,4.7078,4.7078,-4.7078
23.6816,4.7486,4.7598,4.7598,-4.7598
23.9182,4.7996,4.8121,4.8121,-4.8121
24.1571,4.8494,4.8649,4.8649,-4.8649
24.3984,4.8997,4.9179,4.9179,-4.9179
24.6421,4.9581,4.9708,4.9708,-4.9708
24.8882,5.0196,5.0232,5.0232,-5.0232
25.1368,5.0694,5.0746,5.0746,-5.0746
25.3879,5.1295,5.1251,5.1251,-5.1251
25.6415,5.1880,5.1747,5.1747,-5.1747
25.8976,5.2471,5.2235,5.2235,-5.2235
26.1563,5.3091,5.2714,5.2714,-5.2714
26.4176,5.3577,5.3183,5.3183,-5.3183
26.6815,5.4180,5.3644,5.3644,-5.3644
26.9480,5.4773,5.4094,5.4094,-5.4094
27.2172,5.4895,5.4533,5.4533,-5.4533
27.4890,5.4900,5.4967,5.4967,-5.4967
27.7636,5.4900,5.5404,5.5404,-5.5404
28.0409,5.4997,5.5849,5.5849,-5.5849
28.3210,5.5678,5.6307,5.6307,-5.6307
28.6039,5.6267,5.6775,5.6775,-5.6775
28.8896,5.6974,5.7248,5.7248,-5.7248
29.1782,5.7576,5.7720,5.7720,-5.7720
29.4697,5.8275,5.8188,5.8188,-5.8188
