frequency,raw,smoothed,error,equalization
20.0000,12.6600,12.6941,12.6941,-12.6941
20.1998,12.6700,12.7006,12.7006,-12.7006
20.4015,12.6701,12.7083,12.7083,-12.7083
20.6053,12.6798,12.7175,12.7175,-12.7175
20.8112,12.6901,12.7281,12.7281,-12.7281
21.0190,12.7000,12.7402,12.7402,-12.7402
21.2290,12.7100,12.7539,12.7539,-12.7539
21.4410,12.7301,12.7694,12.7694,-12.7694
21.6552,12.7593,12.7866,12.7866,-12.7866
21.8715,12.7802,12.8056,12.8056,-12.8056
22.0900,12.8100,12.8265,12.8265,-12.8265
22.3106,12.8401,12.8494,12.8494,-12.8494
22.5335,12.8692,12.8739,12.8739,-12.8739
22.7586,12.8998,12.8990,12.8990,-12.8990
22.9859,12.9295,12.9243,12.9243,-12.9243
23.2155,12.9594,12.9496,12.9496,-12.9496
23.4474,12.9897,12.9745,12.9745,-12.9745
23.6816,13.0093,12.9987,12.9987,-12.9987
23.9182,13.0398,13.0221,13.0221,-13.0221
24.1571,13.0598,13.0445,13.0445,-13.0445
24.3984,13.0799,13.0657,13.0657,-13.0657
24.6421,13.0994,13.0858,13.0858,-13.0858
24.8882,13.1199,13.1045,13.1045,-13.1045
25.1368,13.1397,13.1220,13.1220,-13.1220
25.3879,13.1598,13.1380,13.1380,-13.1380
25.6415,13.1697,13.1524,13.1524,-13.1524
25.8976,13.1795,13.1654,13.1654,-13.1654
26.1563,13.1899,13.1768,13.1768,-13.1768
26.4176,13.1995,13.1868,13.1868,-13.1868
26.6815,13.2097,13.1951,13.1951,-13.1951
26.9480,13.2196,13.2018,13.2018,-13.2018
27.2172,13.2295,13.2066,13.2066,-13.2066
27.4890,13.2300,13.2095,13.2095,-13.2095
27.7636,13.2398,13.2105,13.2105,-13.2105
28.0409,13.2400,13.2093,13.2093,-13.2093
28.3210,13.2303,13.2059,13.2059,-13.2059
28.6039,13.2300,13.2003,13.2003,-13.2003
28.8896,13.2204,13.1924,13.1924,-13.1924
29.1782,13.2104,13.1820,13.1820,-13.1820
29.4697,13.2004,13.1691,13.1691,-13.1691
29.7640,13.1811,13.1536,13.1536,-13.1536
30.0613,13.1612,13.1354,13.1354,-13.1354
30.3616,13.1412,13.1146,13.1146,-13.1146
30.6649,13.1210,13.0912,13.0912,-13.0912
30.9712,13.1012,13.0649,13.0649,-13.0649
31.2806,13.0719,13.0357,13.0357,-13.0357
31.5930,13.0416,13.0035,13.0035,-13.0035
31.9086,13.0027,12.9682,12.9682,-12.9682
32.2273,12.9616,12.9298,12.9298,-12.9298
32.5492,12.9225,12.8881,12.8881,-12.8881
32.8744,12.8820,12.8429,12.8429,-12.8429
33.2027,12.8326,12.7941,12.7941,-12.7941
33.5344,12.7824,12.7416,12.7416,-12.7416
33.8694,12.7330,12.6849,12.6849,-12.6849
34.2077,12.6739,12.6239,12.6239,-12.6239
34.5494,12.6136,12.5583,12.5583,-12.5583
34.8945,12.5451,12.4878,12.4878,-12.4878
35.2430,12.4754,12.4122,12.4122,-12.4122
35.5951,12.3957,12.3312,12.3312,-12.3312
35.9506,12.3144,12.2447,12.2447,-12.2447
36.3097,12.2251,12.1526,12.1526,-12.1526
36.6724,12.1275,12.0548,12.0548,-12.0548
37.0387,12.0259,11.9515,11.9515,-11.9515
37.4087,11.9163,11.8427,11.8427,-11.8427
37.7824,11.7987,11.7290,11.7290,-11.7290
38.1598,11.6703,11.6109,11.6109,-11.6109
38.5409,11.5399,11.4891,11.4891,-11.4891
38.9259,11.3989,11.3645,11.3645,-11.3645
39.3147,11.2591,11.2380,11.2380,-11.2380
39.7074,11.1122,11.1104,11.1104,-11.1104
40.1041,10.9635,10.9829,10.9829,-10.9829
40.5046,10.8224,10.8563,10.8563,-10.8563
40.9092,10.6808,10.7314,10.7314,-10.7314
41.3179,10.5410,10.6091,10.6091,-10.6091
41.7306,10.4186,10.4900,10.4900,-10.4900
42.1474,10.2993,10.3744,10.3744,-10.3744
42.5684,10.1975,10.2626,10.2626,-10.2626
42.9936,10.0985,10.1548,10.1548,-10.1548
43.4231,10.0077,10.0511,10.0511,-10.0511
43.8568,9.9188,9.9520,9.9520,-9.9520
44.2949,9.8273,9.8580,9.8580,-9.8580
44.7374,9.7476,9.7703,9.7703,-9.7703
45.1842,9.6592,9.6906,9.6906,-9.6906
45.6356,9.5689,9.6215,9.6215,-9.6215
46.0914,9.4777,9.5660,9.5660,-9.5660
46.5518,9.3892,9.5278,9.5278,-9.5278
47.0168,9.2985,9.5108,9.5108,-9.5108
47.4864,9.2174,9.5194,9.5194,-9.5194
47.9608,9.1562,9.5576,9.5576,-9.5576
48.4398,9.1231,9.6287,9.6287,-9.6287
48.9237,9.1471,9.7354,9.7354,-9.7354
49.4124,9.2132,9.8786,9.8786,-9.8786
49.9059,9.3627,10.0581,10.0581,-10.0581
50.4044,9.6289,10.2710,10.2710,-10.2710
50.9079,9.9556,10.5121,10.5121,-10.5121
51.4164,10.3659,10.7743,10.7743,-10.7743
51.9300,10.8435,11.0487,11.0487,-11.0487
52.4487,11.3587,11.3244,11.3244,-11.3244
52.9726,11.8737,11.5898,11.5898,-11.5898
53.5018,12.3573,11.8326,11.8326,-11.8326
54.0362,12.7715,12.0415,12.0415,-12.0415
54.5759,13.1197,12.2060,12.2060,-12.2060
55.1211,13.3738,12.3173,12.3173,-12.3173
55.6717,13.4702,12.3685,12.3685,-12.3685
56.2278,13.4445,12.3559,12.3559,-12.3559
56.7894,13.3173,12.2787,12.2787,-12.2787
57.3567,13.0428,12.1386,12.1386,-12.1386
57.9296,12.7113,11.9404,11.9404,-11.9404
58.5082,12.2581,11.6909,11.6909,-11.6909
59.0927,11.7669,11.3992,11.3992,-11.3992
59.6829,11.2481,11.0755,11.0755,-11.0755
60.2791,10.7137,10.7308,10.7308,-10.7308
60.8812,10.2059,10.3762,10.3762,-10.3762
61.4893,9.7235,10.0219,10.0219,-10.0219
62.1035,9.2752,9.6780,9.6780,-9.6780
62.7239,8.8867,9.3531,9.3531,-9.3531
63.3504,8.5604,9.0542,9.0542,-9.0542
63.9832,8.2607,8.7867,8.7867,-8.7867
64.6223,8.0388,8.5551,8.5551,-8.5551
65.2678,7.8531,8.3621,8.3621,-8.3621
65.9198,7.7091,8.2092,8.2092,-8.2092
66.5782,7.6297,8.0969,8.0969,-8.0969
67.2433,7.5766,8.0247,8.0247,-8.0247
67.9149,7.5528,7.9911,7.9911,-7.9911
68.5933,7.5843,7.9947,7.9947,-7.9947
69.2785,7.6506,8.0330,8.0330,-8.0330
69.9705,7.7458,8.1037,8.1037,-8.1037
70.6694,7.8799,8.2040,8.2040,-8.2040
71.3753,8.0449,8.3311,8.3311,-8.3311
72.0883,8.2328,8.4824,8.4824,-8.4824
72.8083,8.4575,8.6549,8.6549,-8.6549
73.5356,8.6957,8.8460,8.8460,-8.8460
74.2701,8.9344,9.0529,9.0529,-9.0529
75.0120,9.1921,9.2732,9.2732,-9.2732
75.7613,9.4438,9.5047,9.5047,-9.5047
76.5180,9.7017,9.7451,9.7451,-9.7451
77.2824,9.9518,9.9926,9.9926,-9.9926
78.0543,10.2109,10.2454,10.2454,-10.2454
78.8340,10.4713,10.5018,10.5018,-10.5018
79.6214,10.7310,10.7600,10.7600,-10.7600
80.4168,11.0069,11.0185,11.0185,-11.0185
81.2200,11.2767,11.2753,11.2753,-11.2753
82.0313,11.5555,11.5286,11.5286,-11.5286
82.8507,11.8358,11.7762,11.7762,-11.7762
83.6783,12.1156,12.0157,12.0157,-12.0157
84.5141,12.3779,12.2447,12.2447,-12.2447
85.3583,12.6367,12.4606,12.4606,-12.4606
86.2109,12.8807,12.6609,12.6609,-12.6609
87.0721,13.0943,12.8432,12.8432,-12.8432
87.9418,13.2959,13.0056,13.0056,-13.0056
88.8203,13.4628,13.1465,13.1465,-13.1465
89.7075,13.6060,13.2652,13.2652,-13.2652
90.6035,13.7126,13.3614,13.3614,-13.3614
91.5085,13.7799,13.4357,13.4357,-13.4357
92.4226,13.8066,13.4896,13.4896,-13.4896
93.3458,13.7935,13.5250,13.5250,-13.5250
94.2782,13.7487,13.5447,13.5447,-13.5447
95.2199,13.6743,13.5519,13.5519,-13.5519
96.1711,13.5860,13.5503,13.5503,-13.5503
97.1317,13.4958,13.5436,13.5436,-13.5436
98.1019,13.4145,13.5355,13.5355,-13.5355
99.0818,13.3591,13.5294,13.5294,-13.5294
100.0715,13.3336,13.5281,13.5281,-13.5281
101.0711,13.3382,13.5340,13.5340,-13.5340
102.0807,13.3726,13.5484,13.5484,-13.5484
103.1004,13.4207,13.5721,13.5721,-13.5721
104.1302,13.4789,13.6053,13.6053,-13.6053
105.1703,13.5467,13.6475,13.6475,-13.6475
106.2209,13.6248,13.6978,13.6978,-13.6978
107.2819,13.7050,13.7547,13.7547,-13.7547
108.3535,13.7847,13.8164,13.8164,-13.8164
109.4358,13.8730,13.8812,13.8812,-13.8812
110.5289,13.9627,13.9469,13.9469,-13.9469
111.6330,14.0524,14.0114,14.0114,-14.0114
112.7481,14.1422,14.0728,14.0728,-14.0728
113.8743,14.2240,14.1291,14.1291,-14.1291
115.0118,14.2960,14.1788,14.1788,-14.1788
116.1606,14.3500,14.2204,14.2204,-14.2204
117.3209,14.3921,14.2529,14.2529,-14.2529
118.4928,14.4160,14.2754,14.2754,-14.2754
119.6764,14.4280,14.2872,14.2872,-14.2872
120.8718,14.4300,14.2880,14.2880,-14.2880
122.0792,14.4221,14.2773,14.2773,-14.2773
123.2986,14.3962,14.2549,14.2549,-14.2549
124.5302,14.3584,14.2208,14.2208,-14.2208
125.7741,14.3103,14.1754,14.1754,-14.1754
127.0304,14.2444,14.1188,14.1188,-14.1188
128.2993,14.1669,14.0517,14.0517,-14.0517
129.5808,14.0789,13.9748,13.9748,-13.9748
130.8752,13.9890,13.8888,13.8888,-13.8888
132.1825,13.8833,13.7944,13.7944,-13.7944
133.5028,13.7738,13.6924,13.6924,-13.6924
134.8363,13.6556,13.5835,13.5835,-13.5835
136.1832,13.5284,13.4682,13.4682,-13.4682
137.5435,13.3905,13.3472,13.3472,-13.3472
138.9174,13.2585,13.2212,13.2212,-13.2212
140.3050,13.1207,13.0906,13.0906,-13.0906
141.7065,12.9811,12.9556,12.9556,-12.9556
143.1220,12.8414,12.8164,12.8164,-12.8164
144.5516,12.7012,12.6730,12.6730,-12.6730
145.9955,12.5613,12.5253,12.5253,-12.5253
147.4538,12.4213,12.3731,12.3731,-12.3731
148.9267,12.2815,12.2165,12.2165,-12.2165
150.4143,12.1261,12.0551,12.0551,-12.0551
151.9167,11.9664,11.8894,11.8894,-11.8894
153.4342,11.7987,11.7195,11.7195,-11.7195
154.9668,11.6213,11.5461,11.5461,-11.5461
156.5147,11.4345,11.3699,11.3699,-11.3699
158.0781,11.2364,11.1918,11.1918,-11.1918
159.6571,11.0292,11.0131,11.0131,-11.0131
161.2519,10.8196,10.8349,10.8349,-10.8349
