frequency,raw,smoothed,error,equalization
20.0000,-6.1800,-5.8104,-5.8104,5.8104
20.1998,-6.0901,-5.7595,-5.7595,5.7595
20.4015,-5.9893,-5.7010,-5.7010,5.7010
20.6053,-5.9020,-5.6364,-5.6364,5.6364
20.8112,-5.7995,-5.5658,-5.5658,5.5658
21.0190,-5.7104,-5.4888,-5.4888,5.4888
21.2290,-5.5607,-5.4050,-5.4050,5.4050
21.4410,-5.4093,-5.3145,-5.3145,5.3145
21.6552,-5.2633,-5.2172,-5.2172,5.2172
21.8715,-5.1090,-5.1129,-5.1129,5.1129
22.0900,-4.9700,-5.0013,-5.0013,5.0013
22.3106,-4.8597,-4.8813,-4.8813,4.8813
22.5335,-4.7531,-4.7553,-4.7553,4.7553
22.7586,-4.6407,-4.6291,-4.6291,4.6291
22.9859,-4.5418,-4.5026,-4.5026,4.5026
23.2155,-4.3929,-4.3760,-4.3760,4.3760
23.4474,-4.2417,-4.2496,-4.2496,4.2496
23.6816,-4.0952,-4.1243,-4.1243,4.1243
23.9182,-3.9511,-4.0007,-4.0007,4.0007
24.1571,-3.8315,-3.8789,-3.8789,3.8789
24.3984,-3.7307,-3.7590,-3.7590,3.7590
24.6421,-3.6332,-3.6408,-3.6408,3.6408
24.8882,-3.5208,-3.5240,-3.5240,3.5240
25.1368,-3.4114,-3.4089,-3.4089,3.4089
25.3879,-3.2811,-3.2958,-3.2958,3.2958
25.6415,-3.1639,-3.1853,-3.1853,3.1853
25.8976,-3.0457,-3.0777,-3.0777,3.0777
26.1563,-2.9218,-2.9732,-2.9732,2.9732
26.4176,-2.8246,-2.8717,-2.8717,2.8717
26.6815,-2.7136,-2.7727,-2.7727,2.7727
26.9480,-2.6144,-2.6757,-2.6757,2.6757
27.2172,-2.5338,-2.5808,-2.5808,2.5808
27.4890,-2.4532,-2.4878,-2.4878,2.4878
27.7636,-2.3817,-2.3969,-2.3969,2.3969
28.0409,-2.3123,-2.3077,-2.3077,2.3077
28.3210,-2.2422,-2.2198,-2.2198,2.2198
28.6039,-2.1739,-2.1327,-2.1327,2.1327
28.8896,-2.0930,-2.0458,-2.0458,2.0458
29.1782,-1.9941,-1.9589,-1.9589,1.9589
29.4697,-1.8646,-1.8721,-1.8721,1.8721
29.7640,-1.7369,-1.7861,-1.7861,1.7861
30.0613,-1.6362,-1.7020,-1.7020,1.7020
30.3616,-1.5737,-1.6204,-1.6204,1.6204
30.6649,-1.5225,-1.5413,-1.5413,1.5413
30.9712,-1.4636,-1.4644,-1.4644,1.4644
31.2806,-1.3756,-1.3894,-1.3894,1.3894
31.5930,-1.2849,-1.3165,-1.3165,1.3165
31.9086,-1.1867,-1.2460,-1.2460,1.2460
32.2273,-1.1129,-1.1783,-1.1783,1.1783
32.5492,-1.0444,-1.1137,-1.1137,1.1137
32.8744,-0.9734,-1.0523,-1.0523,1.0523
33.2027,-0.9510,-0.9945,-0.9945,0.9945
33.5344,-0.9405,-0.9397,-0.9397,0.9397
33.8694,-0.9306,-0.8870,-0.8870,0.8870
34.2077,-0.8833,-0.8358,-0.8358,0.8358
34.5494,-0.8049,-0.7860,-0.7860,0.7860
34.8945,-0.7351,-0.7376,-0.7376,0.7376
35.2430,-0.6562,-0.6908,-0.6908,0.6908
35.5951,-0.5757,-0.6460,-0.6460,0.6460
35.9506,-0.5039,-0.6038,-0.6038,0.6038
36.3097,-0.4906,-0.5646,-0.5646,0.5646
36.6724,-0.4807,-0.5280,-0.5280,0.5280
37.0387,-0.4800,-0.4937,-0.4937,0.4937
37.4087,-0.4800,-0.4612,-0.4612,0.4612
37.7824,-0.4800,-0.4305,-0.4305,0.4305
38.1598,-0.4432,-0.4015,-0.4015,0.4015
38.5409,-0.3569,-0.3745,-0.3745,0.3745
38.9259,-0.2657,-0.3498,-0.3498,0.3498
39.3147,-0.2506,-0.3277,-0.3277,0.3277
39.7074,-0.2500,-0.3073,-0.3073,0.3073
40.1041,-0.2500,-0.2879,-0.2879,0.2879
40.5046,-0.2500,-0.2691,-0.2691,0.2691
40.9092,-0.2500,-0.2504,-0.2504,0.2504
41.3179,-0.2500,-0.2316,-0.2316,0.2316
41.7306,-0.2500,-0.2122,-0.2122,0.2122
42.1474,-0.2500,-0.1914,-0.1914,0.1914
42.5684,-0.2500,-0.1689,-0.1689,0.1689
42.9936,-0.2408,-0.1446,-0.1446,0.1446
43.4231,-0.1486,-0.1182,-0.1182,0.1182
43.8568,-0.0498,-0.0905,-0.0905,0.0905
44.2949,-0.0216,-0.0624,-0.0624,0.0624
44.7374,-0.0200,-0.0343,-0.0343,0.0343
45.1842,-0.0200,-0.0062,-0.0062,0.0062
45.6356,-0.0200,0.0219,0.0219,-0.0219
46.0914,0.0074,0.0501,0.0501,-0.0501
46.5518,0.1087,0.0778,0.0778,-0.0778
47.0168,0.2015,0.1036,0.1036,-0.1036
47.4864,0.2100,0.1261,0.1261,-0.1261
47.9608,0.2100,0.1453,0.1453,-0.1453
48.4398,0.2100,0.1610,0.1610,-0.1610
48.9237,0.2100,0.1737,0.1737,-0.1737
49.4124,0.2100,0.1840,0.1840,-0.1840
49.9059,0.2100,0.1925,0.1925,-0.1925
50.4044,0.2100,0.1993,0.1993,-0.1993
50.9079,0.2100,0.2043,0.2043,-0.2043
51.4164,0.2100,0.2077,0.2077,-0.2077
51.9300,0.2100,0.2094,0.2094,-0.2094
52.4487,0.2100,0.2100,0.2100,-0.2100
52.9726,0.2100,0.2100,0.2100,-0.2100
53.5018,0.2100,0.2100,0.2100,-0.2100
54.0362,0.2100,0.2100,0.2100,-0.2100
54.5759,0.2100,0.2100,0.2100,-0.2100
55.1211,0.2100,0.2095,0.2095,-0.2095
55.6717,0.2100,0.2076,0.2076,-0.2076
56.2278,0.2100,0.2041,0.2041,-0.2041
56.7894,0.2100,0.1989,0.1989,-0.1989
57.3567,0.2100,0.1920,0.1920,-0.1920
57.9296,0.2100,0.1835,0.1835,-0.1835
58.5082,0.2100,0.1732,0.1732,-0.1732
59.0927,0.2100,0.1612,0.1612,-0.1612
59.6829,0.2100,0.1475,0.1475,-0.1475
60.2791,0.2100,0.1321,0.1321,-0.1321
60.8812,0.2100,0.1150,0.1150,-0.1150
61.4893,0.0972,0.0961,0.0961,-0.0961
62.1035,-0.0075,0.0767,0.0767,-0.0767
62.7239,-0.0200,0.0575,0.0575,-0.0575
63.3504,-0.0200,0.0384,0.0384,-0.0384
63.9832,-0.0200,0.0194,0.0194,-0.0194
64.6223,-0.0200,0.0003,0.0003,-0.0003
65.2678,-0.0200,-0.0188,-0.0188,0.0188
65.9198,-0.0200,-0.0379,-0.0379,0.0379
66.5782,-0.0200,-0.0570,-0.0570,0.0570
67.2433,-0.0200,-0.0761,-0.0761,0.0761
67.9149,-0.0200,-0.0952,-0.0952,0.0952
68.5933,-0.0372,-0.1143,-0.1143,0.1143
69.2785,-0.1179,-0.1335,-0.1335,0.1335
69.9705,-0.2329,-0.1523,-0.1523,0.1523
70.6694,-0.2500,-0.1696,-0.1696,0.1696
71.3753,-0.2500,-0.1846,-0.1846,0.1846
72.0883,-0.2500,-0.1965,-0.1965,0.1965
72.8083,-0.2500,-0.2049,-0.2049,0.2049
73.5356,-0.2500,-0.2100,-0.2100,0.2100
74.2701,-0.2500,-0.2117,-0.2117,0.2117
75.0120,-0.2500,-0.2100,-0.2100,0.2100
75.7613,-0.2500,-0.2048,-0.2048,0.2048
76.5180,-0.2500,-0.1963,-0.1963,0.1963
77.2824,-0.2500,-0.1844,-0.1844,0.1844
78.0543,-0.2500,-0.1693,-0.1693,0.1693
78.8340,-0.2500,-0.1508,-0.1508,0.1508
79.6214,-0.1055,-0.1289,-0.1289,0.1289
80.4168,-0.0292,-0.1058,-0.1058,0.1058
81.2200,-0.0200,-0.0825,-0.0825,0.0825
82.0313,-0.0200,-0.0592,-0.0592,0.0592
82.8507,-0.0200,-0.0359,-0.0359,0.0359
83.6783,-0.0200,-0.0126,-0.0126,0.0126
84.5141,-0.0200,0.0107,0.0107,-0.0107
85.3583,-0.0200,0.0340,0.0340,-0.0340
