frequency,raw,smoothed,error,equalization
20.0000,1.4400,1.7093,1.7093,-1.7093
20.1998,1.5099,1.7419,1.7419,-1.7419
20.4015,1.5905,1.7793,1.7793,-1.7793
20.6053,1.6584,1.8203,1.8203,-1.8203
20.8112,1.7404,1.8645,1.8645,-1.8645
21.0190,1.8196,1.9116,1.9116,-1.9116
21.2290,1.8996,1.9613,1.9613,-1.9613
21.4410,1.9804,2.0138,2.0138,-2.0138
21.6552,2.0583,2.0692,2.0692,-2.0692
21.8715,2.1306,2.1278,2.1278,-2.1278
22.0900,2.2100,2.1901,2.1901,-2.1901
22.3106,2.2802,2.2567,2.2567,-2.2567
22.5335,2.3480,2.3259,2.3259,-2.3259
22.7586,2.4096,2.3940,2.3940,-2.3940
22.9859,2.4788,2.4609,2.4609,-2.4609
23.2155,2.5388,2.5268,2.5268,-2.5268
23.4474,2.5993,2.5915,2.5915,-2.5915
23.6816,2.6579,2.6552,2.6552,-2.6552
23.9182,2.7195,2.7180,2.7180,-2.7180
24.1571,2.7793,2.7798,2.7798,-2.7798
24.3984,2.8396,2.8409,2.8409,-2.8409
24.6421,2.9078,2.9012,2.9012,-2.9012
24.8882,2.9696,2.9607,2.9607,-2.9607
25.1368,3.0391,3.0194,3.0194,-3.0194
25.3879,3.0995,3.0774,3.0774,-3.0774
25.6415,3.1484,3.1346,3.1346,-3.1346
25.8976,3.2071,3.1913,3.1913,-3.1913
26.1563,3.2593,3.2474,3.2474,-3.2474
26.4176,3.3077,3.3030,3.3030,-3.3030
26.6815,3.3584,3.3584,3.3584,-3.3584
26.9480,3.4078,3.4134,3.4134,-3.4134
27.2172,3.4576,3.4684,3.4684,-3.4684
27.4890,3.5080,3.5234,3.5234,-3.5234
27.7636,3.5686,3.5785,3.5785,-3.5785
28.0409,3.6281,3.6339,3.6339,-3.6339
28.3210,3.6881,3.6895,3.6895,-3.6895
28.6039,3.7467,3.7454,3.7454,-3.7454
28.8896,3.8078,3.8016,3.8016,-3.8016
29.1782,3.8580,3.8581,3.8581,-3.8581
29.4697,3.9179,3.9151,3.9151,-3.9151
29.7640,3.9673,3.9724,3.9724,-3.9724
30.0613,4.0263,4.0303,4.0303,-4.0303
30.3616,4.0769,4.0886,4.0886,-4.0886
30.6649,4.1370,4.1475,4.1475,-4.1475
30.9712,4.1964,4.2069,4.2069,-4.2069
31.2806,4.2562,4.2668,4.2668,-4.2668
31.5930,4.3167,4.3271,4.3271,-4.3271
