frequency,raw,smoothed,error,equalization
20.0000,3.2700,3.5562,3.5562,-3.5562
20.1998,3.3399,3.5989,3.5989,-3.5989
20.4015,3.4005,3.6476,3.6476,-3.6476
20.6053,3.4684,3.7018,3.7018,-3.7018
20.8112,3.5404,3.7613,3.7613,-3.7613
21.0190,3.6097,3.8261,3.8261,-3.8261
21.2290,3.7493,3.8965,3.8965,-3.8965
21.4410,3.8907,3.9720,3.9720,-3.9720
21.6552,4.0270,4.0523,4.0523,-4.0523
21.8715,4.1708,4.1377,4.1377,-4.1377
22.0900,4.2900,4.2284,4.2284,-4.2284
22.3106,4.3703,4.3254,4.3254,-4.3254
22.5335,4.4575,4.4270,4.4270,-4.4270
22.7586,4.5494,4.5283,4.5283,-4.5283
22.9859,4.6384,4.6291,4.6291,-4.6291
23.2155,4.7282,4.7290,4.7290,-4.7290
23.4474,4.8190,4.8278,4.8278,-4.8278
23.6816,4.9069,4.9253,4.9253,-4.9253
23.9182,4.9993,5.0214,5.0214,-5.0214
24.1571,5.1087,5.1164,5.1164,-5.1164
24.3984,5.2193,5.2101,5.2101,-5.2101
24.6421,5.3265,5.3025,5.3025,-5.3025
24.8882,5.4392,5.3935,5.3935,-5.3935
25.1368,5.5387,5.4827,5.4827,-5.4827
25.3879,5.6094,5.5699,5.5699,-5.5699
25.6415,5.6874,5.6554,5.6554,-5.6554
25.8976,5.7662,5.7395,5.7395,-5.7395
26.1563,5.8488,5.8224,5.8224,-5.8224
26.4176,5.9168,5.9042,5.9042,-5.9042
26.6815,5.9877,5.9852,5.9852,-5.9852
26.9480,6.0664,6.0659,6.0659,-6.0659
27.2172,6.1367,6.1463,6.1463,-6.1463
27.4890,6.2072,6.2269,6.2269,-6.2269
27.7636,6.2686,6.3078,6.3078,-6.3078
28.0409,6.3474,6.3897,6.3897,-6.3897
28.3210,6.4371,6.4724,6.4724,-6.4724
28.6039,6.5345,6.5559,6.5559,-6.5559
28.8896,6.6363,6.6398,6.6398,-6.6398
29.1782,6.7263,6.7236,6.7236,-6.7236
29.4697,6.8264,6.8073,6.8073,-6.8073
29.7640,6.9247,6.8905,6.8905,-6.8905
30.0613,7.0144,6.9727,6.9727,-6.9727
30.3616,7.0857,7.0539,7.0539,-7.0539
30.6649,7.1660,7.1342,7.1342,-7.1342
30.9712,7.2451,7.2136,7.2136,-7.2136
31.2806,7.3062,7.2923,7.2923,-7.2923
31.5930,7.3667,7.3704,7.3704,-7.3704
31.9086,7.4353,7.4481,7.4481,-7.4481
32.2273,7.5071,7.5257,7.5257,-7.5257
32.5492,7.5850,7.6031,7.6031,-7.6031
32.8744,7.6566,7.6806,7.6806,-7.6806
33.2027,7.7358,7.7582,7.7582,-7.7582
33.5344,7.8162,7.8361,7.8361,-7.8361
33.8694,7.8951,7.9142,7.9142,-7.9142
34.2077,7.9934,7.9926,7.9926,-7.9926
34.5494,8.0939,8.0708,8.0708,-8.0708
34.8945,8.1927,8.1487,8.1487,-8.1487
35.2430,8.2646,8.2255,8.2255,-8.2255
35.5951,8.3257,8.3010,8.3010,-8.3010
35.9506,8.3961,8.3750,8.3750,-8.3750
36.3097,8.4566,8.4473,8.4473,-8.4473
36.6724,8.5248,8.5179,8.5179,-8.5179
37.0387,8.5959,8.5868,8.5868,-8.5868
37.4087,8.6660,8.6541,8.6541,-8.6541
37.7824,8.7349,8.7200,8.7200,-8.7200
38.1598,8.8136,8.7845,8.7845,-8.7845
38.5409,8.8846,8.8478,8.8478,-8.8478
38.9259,8.9556,8.9097,8.9097,-8.9097
39.3147,8.9974,8.9705,8.9705,-8.9705
39.7074,9.0367,9.0305,9.0305,-9.0305
40.1041,9.0764,9.0903,9.0903,-9.0903
