frequency,raw,smoothed,error,equalization
20.0000,-0.5000,-0.3298,-0.3298,0.3298
20.1998,-0.4501,-0.3103,-0.3103,0.3103
20.4015,-0.3996,-0.2881,-0.2881,0.2881
20.6053,-0.3511,-0.2638,-0.2638,0.2638
20.8112,-0.3097,-0.2378,-0.2378,0.2378
21.0190,-0.2602,-0.2101,-0.2101,0.2101
21.2290,-0.2102,-0.1809,-0.1809,0.1809
21.4410,-0.1698,-0.1500,-0.1500,0.1500
21.6552,-0.1211,-0.1173,-0.1173,0.1173
21.8715,-0.0797,-0.0826,-0.0826,0.0826
22.0900,-0.0400,-0.0456,-0.0456,0.0456
22.3106,0.0001,-0.0057,-0.0057,0.0057
22.5335,0.0389,0.0359,0.0359,-0.0359
22.7586,0.0797,0.0771,0.0771,-0.0771
22.9859,0.1193,0.1180,0.1180,-0.1180
23.2155,0.1592,0.1586,0.1586,-0.1586
23.4474,0.1995,0.1990,0.1990,-0.1990
23.6816,0.2386,0.2392,0.2392,-0.2392
23.9182,0.2797,0.2793,0.2793,-0.2793
24.1571,0.3195,0.3193,0.3193,-0.3193
24.3984,0.3597,0.3593,0.3593,-0.3593
24.6421,0.3987,0.3992,0.3992,-0.3992
24.8882,0.4397,0.4391,0.4391,-0.4391
25.1368,0.4795,0.4791,0.4791,-0.4791
25.3879,0.5197,0.5192,0.5192,-0.5192
25.6415,0.5587,0.5593,0.5593,-0.5593
25.8976,0.5981,0.5995,0.5995,-0.5995
26.1563,0.6394,0.6399,0.6399,-0.6399
26.4176,0.6782,0.6805,0.6805,-0.6805
26.6815,0.7187,0.7213,0.7213,-0.7213
26.9480,0.7582,0.7624,0.7624,-0.7624
27.2172,0.7981,0.8038,0.8038,-0.8038
27.4890,0.8384,0.8455,0.8455,-0.8455
27.7636,0.8791,0.8876,0.8876,-0.8876
28.0409,0.9284,0.9302,0.9302,-0.9302
28.3210,0.9687,0.9731,0.9731,-0.9731
28.6039,1.0078,1.0163,1.0163,-1.0163
28.8896,1.0582,1.0600,1.0600,-1.0600
29.1782,1.0984,1.1040,1.1040,-1.1040
29.4697,1.1482,1.1483,1.1483,-1.1483
29.7640,1.1879,1.1929,1.1929,-1.1929
30.0613,1.2369,1.2378,1.2378,-1.2378
30.3616,1.2775,1.2829,1.2829,-1.2829
30.6649,1.3275,1.3283,1.3283,-1.3283
30.9712,1.3770,1.3737,1.3737,-1.3737
31.2806,1.4175,1.4192,1.4192,-1.4192
31.5930,1.4673,1.4647,1.4647,-1.4647
31.9086,1.5073,1.5102,1.5102,-1.5102
32.2273,1.5580,1.5558,1.5558,-1.5558
32.5492,1.5975,1.6014,1.6014,-1.6014
32.8744,1.6476,1.6469,1.6469,-1.6469
33.2027,1.6974,1.6924,1.6924,-1.6924
33.5344,1.7381,1.7378,1.7378,-1.7378
33.8694,1.7870,1.7830,1.7830,-1.7830
34.2077,1.8274,1.8279,1.8279,-1.8279
34.5494,1.8770,1.8727,1.8727,-1.8727
34.8945,1.9171,1.9173,1.9173,-1.9173
35.2430,1.9661,1.9615,1.9615,-1.9615
35.5951,2.0071,2.0054,2.0054,-2.0054
35.9506,2.0572,2.0489,2.0489,-2.0489
36.3097,2.0977,2.0918,2.0918,-2.0918
36.6724,2.1370,2.1343,2.1343,-2.1343
37.0387,2.1870,2.1762,2.1762,-2.1762
37.4087,2.2277,2.2174,2.2174,-2.2174
37.7824,2.2671,2.2579,2.2579,-2.2579
38.1598,2.3068,2.2977,2.2977,-2.2977
38.5409,2.3469,2.3367,2.3367,-2.3367
38.9259,2.3875,2.3749,2.3749,-2.3749
39.3147,2.4181,2.4122,2.4122,-2.4122
39.7074,2.4567,2.4487,2.4487,-2.4487
40.1041,2.4964,2.4843,2.4843,-2.4843
40.5046,2.5273,2.5190,2.5190,-2.5190
40.9092,2.5669,2.5528,2.5528,-2.5528
41.3179,2.5976,2.5856,2.5856,-2.5856
41.7306,2.6278,2.6173,2.6173,-2.6173
42.1474,2.6577,2.6481,2.6481,-2.6481
42.5684,2.6877,2.6779,2.6779,-2.6779
42.9936,2.7175,2.7067,2.7067,-2.7067
43.4231,2.7474,2.7344,2.7344,-2.7344
43.8568,2.7771,2.7612,2.7612,-2.7612
44.2949,2.7984,2.7868,2.7868,-2.7868
44.7374,2.8272,2.8113,2.8113,-2.8113
45.1842,2.8480,2.8347,2.8347,-2.8347
45.6356,2.8680,2.8569,2.8569,-2.8569
46.0914,2.8883,2.8780,2.8780,-2.8780
46.5518,2.9079,2.8981,2.8981,-2.8981
47.0168,2.9281,2.9171,2.9171,-2.9171
47.4864,2.9481,2.9350,2.9350,-2.9350
47.9608,2.9679,2.9518,2.9518,-2.9518
48.4398,2.9790,2.9675,2.9675,-2.9675
48.9237,2.9981,2.9822,2.9822,-2.9822
49.4124,3.0090,2.9958,2.9958,-2.9958
49.9059,3.0189,3.0083,3.0083,-3.0083
50.4044,3.0289,3.0199,3.0199,-3.0199
50.9079,3.0390,3.0306,3.0306,-3.0306
51.4164,3.0489,3.0404,3.0404,-3.0404
51.9300,3.0588,3.0493,3.0493,-3.0493
52.4487,3.0688,3.0573,3.0573,-3.0573
52.9726,3.0700,3.0643,3.0643,-3.0643
53.5018,3.0789,3.0706,3.0706,-3.0706
54.0362,3.0888,3.0762,3.0762,-3.0762
54.5759,3.0900,3.0810,3.0810,-3.0810
55.1211,3.0900,3.0850,3.0850,-3.0850
55.6717,3.0988,3.0885,3.0885,-3.0885
56.2278,3.1000,3.0913,3.0913,-3.0913
56.7894,3.1000,3.0934,3.0934,-3.0934
57.3567,3.1000,3.0950,3.0950,-3.0950
57.9296,3.1000,3.0960,3.0960,-3.0960
58.5082,3.1000,3.0965,3.0965,-3.0965
59.0927,3.1000,3.0966,3.0966,-3.0966
59.6829,3.1000,3.0963,3.0963,-3.0963
60.2791,3.1000,3.0958,3.0958,-3.0958
60.8812,3.1000,3.0951,3.0951,-3.0951
61.4893,3.1000,3.0943,3.0943,-3.0943
62.1035,3.0913,3.0932,3.0932,-3.0932
62.7239,3.0900,3.0923,3.0923,-3.0923
63.3504,3.0900,3.0914,3.0914,-3.0914
63.9832,3.0900,3.0907,3.0907,-3.0907
64.6223,3.0814,3.0902,3.0902,-3.0902
65.2678,3.0800,3.0901,3.0901,-3.0901
65.9198,3.0800,3.0904,3.0904,-3.0904
66.5782,3.0886,3.0910,3.0910,-3.0910
67.2433,3.0900,3.0921,3.0921,-3.0921
67.9149,3.0900,3.0935,3.0935,-3.0935
68.5933,3.0900,3.0953,3.0953,-3.0953
69.2785,3.0900,3.0976,3.0976,-3.0976
69.9705,3.0986,3.1004,3.1004,-3.1004
70.6694,3.1000,3.1036,3.1036,-3.1036
71.3753,3.1000,3.1071,3.1071,-3.1071
72.0883,3.1086,3.1110,3.1110,-3.1110
72.8083,3.1100,3.1151,3.1151,-3.1151
73.5356,3.1186,3.1195,3.1195,-3.1195
74.2701,3.1200,3.1240,3.1240,-3.1240
75.0120,3.1285,3.1286,3.1286,-3.1286
75.7613,3.1300,3.1333,3.1333,-3.1333
76.5180,3.1385,3.1380,3.1380,-3.1380
77.2824,3.1485,3.1427,3.1427,-3.1427
78.0543,3.1500,3.1472,3.1472,-3.1472
78.8340,3.1585,3.1516,3.1516,-3.1516
79.6214,3.1600,3.1556,3.1556,-3.1556
80.4168,3.1600,3.1593,3.1593,-3.1593
81.2200,3.1684,3.1626,3.1626,-3.1626
82.0313,3.1700,3.1655,3.1655,-3.1655
82.8507,3.1700,3.1679,3.1679,-3.1679
83.6783,3.1784,3.1698,3.1698,-3.1698
84.5141,3.1800,3.1711,3.1711,-3.1711
85.3583,3.1800,3.1717,3.1717,-3.1717
86.2109,3.1800,3.1716,3.1716,-3.1716
87.0721,3.1800,3.1709,3.1709,-3.1709
87.9418,3.1800,3.1694,3.1694,-3.1694
88.8203,3.1800,3.1670,3.1670,-3.1670
89.7075,3.1717,3.1639,3.1639,-3.1639
90.6035,3.1700,3.1598,3.1598,-3.1598
91.5085,3.1617,3.1549,3.1549,-3.1549
92.4226,3.1600,3.1492,3.1492,-3.1492
93.3458,3.1518,3.1425,3.1425,-3.1425
94.2782,3.1417,3.1349,3.1349,-3.1349
95.2199,3.1400,3.1263,3.1263,-3.1263
96.1711,3.1318,3.1167,3.1167,-3.1167
97.1317,3.1218,3.1061,3.1061,-3.1061
98.1019,3.1036,3.0943,3.0943,-3.0943
99.0818,3.0918,3.0814,3.0814,-3.0814
100.0715,3.0818,3.0675,3.0675,-3.0675
101.0711,3.0636,3.0524,3.0524,-3.0524
102.0807,3.0519,3.0362,3.0362,-3.0362
103.1004,3.0337,3.0187,3.0187,-3.0187
104.1302,3.0137,2.9999,2.9999,-2.9999
105.1703,2.9938,2.9801,2.9801,-2.9801
106.2209,2.9738,2.9591,2.9591,-2.9591
107.2819,2.9537,2.9370,2.9370,-2.9370
108.3535,2.9257,2.9138,2.9138,-2.9138
109.4358,2.9038,2.8897,2.8897,-2.8897
110.5289,2.8758,2.8647,2.8647,-2.8647
111.6330,2.8459,2.8389,2.8389,-2.8389
112.7481,2.8159,2.8123,2.8123,-2.8123
113.8743,2.7860,2.7853,2.7853,-2.7853
115.0118,2.7560,2.7578,2.7578,-2.7578
116.1606,2.7340,2.7301,2.7301,-2.7301
117.3209,2.7059,2.7021,2.7021,-2.7021
118.4928,2.6760,2.6740,2.6740,-2.6740
119.6764,2.6461,2.6458,2.6458,-2.6458
120.8718,2.6162,2.6178,2.6178,-2.6178
122.0792,2.5862,2.5900,2.5900,-2.5900
123.2986,2.5562,2.5625,2.5625,-2.5625
124.5302,2.5263,2.5355,2.5355,-2.5355
125.7741,2.5041,2.5090,2.5090,-2.5090
127.0304,2.4762,2.4831,2.4831,-2.4831
128.2993,2.4463,2.4577,2.4577,-2.4577
129.5808,2.4242,2.4331,2.4331,-2.4331
130.8752,2.3963,2.4090,2.4090,-2.4090
132.1825,2.3742,2.3858,2.3858,-2.3858
133.5028,2.3543,2.3633,2.3633,-2.3633
134.8363,2.3343,2.3415,2.3415,-2.3415
136.1832,2.3144,2.3203,2.3203,-2.3203
137.5435,2.2944,2.2997,2.2997,-2.2997
138.9174,2.2744,2.2796,2.2796,-2.2796
140.3050,2.2544,2.2600,2.2600,-2.2600
141.7065,2.2344,2.2409,2.2409,-2.2409
143.1220,2.2222,2.2224,2.2224,-2.2224
144.5516,2.2045,2.2041,2.2041,-2.2041
145.9955,2.1845,2.1862,2.1862,-2.1862
147.4538,2.1645,2.1685,2.1685,-2.1685
148.9267,2.1445,2.1512,2.1512,-2.1512
150.4143,2.1323,2.1342,2.1342,-2.1342
151.9167,2.1145,2.1173,2.1173,-2.1173
153.4342,2.0946,2.1006,2.1006,-2.1006
154.9668,2.0823,2.0840,2.0840,-2.0840
156.5147,2.0647,2.0675,2.0675,-2.0675
158.0781,2.0523,2.0510,2.0510,-2.0510
159.6571,2.0347,2.0343,2.0343,-2.0343
161.2519,2.0224,2.0175,2.0175,-2.0175
162.8626,2.0047,2.0003,2.0003,-2.0003
164.4894,1.9924,1.9827,1.9827,-1.9827
166.1324,1.9748,1.9646,1.9646,-1.9646
167.7919,1.9548,1.9457,1.9457,-1.9457
169.4679,1.9348,1.9261,1.9261,-1.9261
171.1607,1.9148,1.9056,1.9056,-1.9056
172.8704,1.8949,1.8841,1.8841,-1.8841
174.5972,1.8749,1.8614,1.8614,-1.8614
176.3412,1.8549,1.8375,1.8375,-1.8375
178.1026,1.8274,1.8122,1.8122,-1.8122
179.8816,1.8049,1.7855,1.7855,-1.7855
181.6784,1.7775,1.7572,1.7572,-1.7572
183.4932,1.7475,1.7274,1.7274,-1.7274
185.3261,1.7176,1.6960,1.6960,-1.6960
187.1772,1.6876,1.6632,1.6632,-1.6632
189.0469,1.6501,1.6291,1.6291,-1.6291
190.9352,1.6102,1.5938,1.5938,-1.5938
192.8425,1.5702,1.5578,1.5578,-1.5578
194.7687,1.5303,1.5214,1.5214,-1.5214
196.7142,1.4904,1.4850,1.4850,-1.4850
198.6792,1.4430,1.4491,1.4491,-1.4491
200.6637,1.4004,1.4143,1.4143,-1.4143
202.6681,1.3530,1.3809,1.3809,-1.3809
204.6925,1.3105,1.3496,1.3496,-1.3496
206.7371,1.2779,1.3208,1.3208,-1.3208
208.8022,1.2406,1.2947,1.2947,-1.2947
210.8879,1.2153,1.2715,1.2715,-1.2715
212.9944,1.1953,1.2515,1.2515,-1.2515
215.1219,1.1827,1.2345,1.2345,-1.2345
217.2707,1.1800,1.2204,1.2204,-1.2204
219.4410,1.1800,1.2087,1.2087,-1.2087
221.6329,1.1800,1.1992,1.1992,-1.1992
223.8468,1.1800,1.1915,1.1915,-1.1915
226.0827,1.1873,1.1849,1.1849,-1.1849
228.3410,1.1900,1.1792,1.1792,-1.1792
230.6219,1.1900,1.1738,1.1738,-1.1738
232.9255,1.1828,1.1683,1.1683,-1.1683
235.2521,1.1800,1.1627,1.1627,-1.1627
237.6020,1.1728,1.1565,1.1565,-1.1565
239.9754,1.1628,1.1498,1.1498,-1.1498
242.3724,1.1528,1.1424,1.1424,-1.1424
244.7934,1.1428,1.1343,1.1343,-1.1343
247.2386,1.1256,1.1257,1.1257,-1.1257
249.7082,1.1128,1.1168,1.1168,-1.1168
252.2025,1.1029,1.1077,1.1077,-1.1077
254.7217,1.0929,1.0984,1.0984,-1.0984
257.2661,1.0829,1.0892,1.0892,-1.0892
259.8358,1.0729,1.0801,1.0801,-1.0801
262.4313,1.0700,1.0712,1.0712,-1.0712
265.0527,1.0629,1.0624,1.0624,-1.0624
267.7002,1.0529,1.0538,1.0538,-1.0538
270.3742,1.0429,1.0454,1.0454,-1.0454
273.0749,1.0329,1.0372,1.0372,-1.0372
275.8026,1.0300,1.0292,1.0292,-1.0292
278.5575,1.0230,1.0213,1.0213,-1.0213
281.3400,1.0130,1.0134,1.0134,-1.0134
284.1502,1.0030,1.0055,1.0055,-1.0055
286.9885,1.0000,0.9976,0.9976,-0.9976
289.8552,0.9930,0.9896,0.9896,-0.9896
292.7505,0.9830,0.9815,0.9815,-0.9815
295.6747,0.9730,0.9731,0.9731,-0.9731
298.6281,0.9630,0.9646,0.9646,-0.9646
301.6111,0.9600,0.9559,0.9559,-0.9559
304.6238,0.9531,0.9470,0.9470,-0.9470
307.6666,0.9431,0.9378,0.9378,-0.9378
310.7398,0.9331,0.9282,0.9282,-0.9282
313.8437,0.9231,0.9183,0.9183,-0.9183
316.9786,0.9131,0.9081,0.9081,-0.9081
320.1449,0.9031,0.8976,0.8976,-0.8976
323.3427,0.8931,0.8867,0.8867,-0.8867
326.5725,0.8763,0.8755,0.8755,-0.8755
329.8346,0.8632,0.8640,0.8640,-0.8640
333.1292,0.8532,0.8524,0.8524,-0.8524
336.4568,0.8432,0.8405,0.8405,-0.8405
339.8176,0.8332,0.8284,0.8284,-0.8284
343.2119,0.8164,0.8161,0.8161,-0.8161
346.6402,0.8032,0.8038,0.8038,-0.8038
350.1027,0.7932,0.7915,0.7915,-0.7915
353.5998,0.7832,0.7792,0.7792,-0.7792
357.1318,0.7665,0.7670,0.7670,-0.7670
360.6991,0.7533,0.7549,0.7549,-0.7549
364.3021,0.7366,0.7432,0.7432,-0.7432
367.9410,0.7233,0.7319,0.7319,-0.7319
371.6163,0.7133,0.7210,0.7210,-0.7210
375.3283,0.7033,0.7106,0.7106,-0.7106
379.0774,0.6933,0.7007,0.7007,-0.7007
382.8639,0.6833,0.6914,0.6914,-0.6914
386.6882,0.6733,0.6826,0.6826,-0.6826
390.5508,0.6633,0.6745,0.6745,-0.6745
394.4519,0.6600,0.6669,0.6669,-0.6669
398.3920,0.6534,0.6599,0.6599,-0.6599
402.3714,0.6500,0.6535,0.6535,-0.6535
406.3906,0.6434,0.6475,0.6475,-0.6475
410.4500,0.6400,0.6418,0.6418,-0.6418
414.5498,0.6334,0.6363,0.6363,-0.6363
418.6907,0.6300,0.6311,0.6311,-0.6311
422.8729,0.6234,0.6259,0.6259,-0.6259
427.0969,0.6200,0.6208,0.6208,-0.6208
431.3631,0.6200,0.6157,0.6157,-0.6157
435.6718,0.6135,0.6104,0.6104,-0.6104
440.0237,0.6100,0.6049,0.6049,-0.6049
444.4190,0.6035,0.5991,0.5991,-0.5991
448.8582,0.6000,0.5929,0.5929,-0.5929
453.3417,0.5935,0.5863,0.5863,-0.5863
