frequency,raw,smoothed,error,equalization
20.0000,2.6200,2.8670,2.8670,-2.8670
20.1998,2.6899,2.8958,2.8958,-2.8958
20.4015,2.7605,2.9288,2.9288,-2.9288
20.6053,2.8284,2.9649,2.9649,-2.9649
20.8112,2.9004,3.0037,3.0037,-3.0037
21.0190,2.9697,3.0450,3.0450,-3.0450
21.2290,3.0397,3.0886,3.0886,-3.0886
21.4410,3.1103,3.1347,3.1347,-3.1347
21.6552,3.1687,3.1834,3.1834,-3.1834
21.8715,3.2404,3.2351,3.2351,-3.2351
22.0900,3.3000,3.2901,3.2901,-3.2901
22.3106,3.3602,3.3492,3.3492,-3.3492
22.5335,3.4183,3.4107,3.4107,-3.4107
22.7586,3.4796,3.4713,3.4713,-3.4713
22.9859,3.5389,3.5311,3.5311,-3.5311
23.2155,3.5988,3.5899,3.5899,-3.5899
23.4474,3.6593,3.6478,3.6478,-3.6478
23.6816,3.7083,3.7050,3.7050,-3.7050
23.9182,3.7695,3.7614,3.7614,-3.7614
24.1571,3.8293,3.8172,3.8172,-3.8172
24.3984,3.8797,3.8724,3.8724,-3.8724
24.6421,3.9381,3.9270,3.9270,-3.9270
24.8882,3.9896,3.9809,3.9809,-3.9809
25.1368,4.0394,4.0341,4.0341,-4.0341
25.3879,4.0896,4.0866,4.0866,-4.0866
25.6415,4.1384,4.1385,4.1385,-4.1385
25.8976,4.1876,4.1896,4.1896,-4.1896
26.1563,4.2491,4.2402,4.2402,-4.2402
26.4176,4.2977,4.2900,4.2900,-4.2900
26.6815,4.3484,4.3391,4.3391,-4.3391
26.9480,4.4073,4.3876,4.3876,-4.3876
27.2172,4.4576,4.4353,4.4353,-4.4353
27.4890,4.4984,4.4821,4.4821,-4.4821
27.7636,4.5391,4.5281,4.5281,-4.5281
28.0409,4.5787,4.5734,4.5734,-4.5734
28.3210,4.6187,4.6180,4.6180,-4.6180
28.6039,4.6578,4.6619,4.6619,-4.6619
28.8896,4.6985,4.7052,4.7052,-4.7052
29.1782,4.7480,4.7479,4.7479,-4.7479
29.4697,4.7982,4.7898,4.7898,-4.7898
29.7640,4.8473,4.8310,4.8310,-4.8310
30.0613,4.8875,4.8711,4.8711,-4.8711
30.3616,4.9275,4.9104,4.9104,-4.9104
30.6649,4.9680,4.9487,4.9487,-4.9487
30.9712,4.9982,4.9861,4.9861,-4.9861
31.2806,5.0375,5.0226,5.0226,-5.0226
31.5930,5.0684,5.0582,5.0582,-5.0582
31.9086,5.0980,5.0930,5.0930,-5.0930
32.2273,5.1384,5.1269,5.1269,-5.1269
32.5492,5.1681,5.1599,5.1599,-5.1599
32.8744,5.1985,5.1920,5.1920,-5.1920
33.2027,5.2284,5.2234,5.2234,-5.2234
33.5344,5.2586,5.2541,5.2541,-5.2541
33.8694,5.2882,5.2842,5.2842,-5.2842
34.2077,5.3180,5.3137,5.3137,-5.3137
34.5494,5.3482,5.3425,5.3425,-5.3425
34.8945,5.3778,5.3707,5.3707,-5.3707
35.2430,5.4077,5.3981,5.3981,-5.3981
35.5951,5.4379,5.4247,5.4247,-5.4247
35.9506,5.4589,5.4502,5.4502,-5.4502
36.3097,5.4883,5.4749,5.4749,-5.4749
36.6724,5.5085,5.4984,5.4984,-5.4984
37.0387,5.5382,5.5210,5.5210,-5.5210
37.4087,5.5588,5.5425,5.5425,-5.5425
37.7824,5.5785,5.5628,5.5628,-5.5628
38.1598,5.5984,5.5820,5.5820,-5.5820
38.5409,5.6185,5.6001,5.6001,-5.6001
38.9259,5.6294,5.6170,5.6170,-5.6170
39.3147,5.6394,5.6328,5.6328,-5.6328
39.7074,5.6584,5.6477,5.6477,-5.6477
40.1041,5.6691,5.6616,5.6616,-5.6616
40.5046,5.6791,5.6746,5.6746,-5.6746
40.9092,5.6892,5.6868,5.6868,-5.6868
41.3179,5.7084,5.6982,5.6982,-5.6982
41.7306,5.7193,5.7087,5.7087,-5.7087
42.1474,5.7292,5.7183,5.7183,-5.7183
42.5684,5.7392,5.7270,5.7270,-5.7270
42.9936,5.7492,5.7347,5.7347,-5.7347
43.4231,5.7500,5.7413,5.7413,-5.7413
43.8568,5.7590,5.7471,5.7471,-5.7471
44.2949,5.7600,5.7517,5.7517,-5.7517
44.7374,5.7691,5.7554,5.7554,-5.7554
45.1842,5.7700,5.7579,5.7579,-5.7579
45.6356,5.7790,5.7594,5.7594,-5.7594
46.0914,5.7800,5.7595,5.7595,-5.7595
46.5518,5.7710,5.7584,5.7584,-5.7584
