frequency,raw,smoothed,error,equalization
20.0000,-25.9800,-25.4412,-25.4412,18.0000
20.1998,-25.8102,-25.3873,-25.3873,18.0000
20.4015,-25.6387,-25.3240,-25.3240,18.0000
20.6053,-25.4738,-25.2534,-25.2534,18.0000
20.8112,-25.2891,-25.1771,-25.1771,18.0000
21.0190,-25.1307,-25.0963,-25.0963,18.0000
21.2290,-25.0703,-25.0112,-25.0112,18.0000
21.4410,-24.9997,-24.9205,-24.9205,18.0000
21.6552,-24.9315,-24.8225,-24.8225,18.0000
21.8715,-24.8692,-24.7151,-24.7151,18.0000
22.0900,-24.7500,-24.5959,-24.5959,18.0000
22.3106,-24.5595,-24.4630,-24.4630,18.0000
22.5335,-24.3754,-24.3198,-24.3198,18.0000
22.7586,-24.1812,-24.1744,-24.1744,18.0000
22.9859,-23.9934,-24.0280,-24.0280,18.0000
23.2155,-23.8625,-23.8816,-23.8816,18.0000
23.4474,-23.7414,-23.7349,-23.7349,18.0000
23.6816,-23.6145,-23.5870,-23.5870,18.0000
23.9182,-23.4910,-23.4371,-23.4371,18.0000
24.1571,-23.3122,-23.2849,-23.2849,18.0000
24.3984,-23.1014,-23.1310,-23.1310,18.0000
24.6421,-22.9063,-22.9769,-22.9769,18.0000
24.8882,-22.6915,-22.8236,-22.8236,18.0000
25.1368,-22.5715,-22.6718,-22.6718,18.0000
25.3879,-22.5105,-22.5209,-22.5209,18.0000
25.6415,-22.4520,-22.3690,-22.3690,18.0000
25.8976,-22.3929,-22.2143,-22.2143,18.0000
26.1563,-22.2225,-22.0554,-22.0554,18.0000
26.4176,-22.0006,-21.8927,-21.8927,18.0000
26.6815,-21.7675,-21.7277,-21.7277,18.0000
26.9480,-21.5402,-21.5619,-21.5619,18.0000
27.2172,-21.3586,-21.3967,-21.3967,18.0000
27.4890,-21.1965,-21.2325,-21.2325,18.0000
27.7636,-21.0240,-21.0694,-21.0694,18.0000
28.0409,-20.8652,-20.9073,-20.9073,18.0000
28.3210,-20.6954,-20.7460,-20.7460,18.0000
28.6039,-20.5294,-20.5862,-20.5862,18.0000
28.8896,-20.3563,-20.4284,-20.4284,18.0000
29.1782,-20.2061,-20.2732,-20.2732,18.0000
29.4697,-20.0746,-20.1205,-20.1205,18.0000
29.7640,-19.9374,-19.9696,-19.9696,18.0000
30.0613,-19.8081,-19.8201,-19.8201,18.0000
30.3616,-19.6967,-19.6717,-19.6717,18.0000
30.6649,-19.5760,-19.5234,-19.5234,18.0000
30.9712,-19.4667,-19.3744,-19.3744,18.0000
31.2806,-19.3007,-19.2233,-19.2233,18.0000
31.5930,-19.1388,-19.0700,-19.0700,18.0000
31.9086,-18.9714,-18.9144,-18.9144,18.0000
32.2273,-18.7682,-18.7562,-18.7562,18.0000
32.5492,-18.5538,-18.5962,-18.5962,18.0000
32.8744,-18.3403,-18.4357,-18.4357,18.0000
33.2027,-18.2068,-18.2760,-18.2760,18.0000
33.5344,-18.1238,-18.1169,-18.1169,18.0000
33.8694,-18.0449,-17.9574,-17.9574,17.9574
34.2077,-17.8812,-17.7964,-17.7964,17.7964
34.5494,-17.6634,-17.6337,-17.6337,17.6337
34.8945,-17.4553,-17.4698,-17.4698,17.4698
35.2430,-17.2646,-17.3056,-17.3056,17.3056
35.5951,-17.0828,-17.1420,-17.1420,17.1420
35.9506,-16.9000,-16.9794,-16.9794,16.9794
36.3097,-16.7956,-16.8182,-16.8182,16.8182
36.6724,-16.6975,-16.6571,-16.6571,16.6571
37.0387,-16.5865,-16.4947,-16.4947,16.4947
37.4087,-16.4104,-16.3300,-16.3300,16.3300
37.7824,-16.2424,-16.1638,-16.1638,16.1638
38.1598,-16.0367,-15.9969,-15.9969,15.9969
38.5409,-15.7891,-15.8306,-15.8306,15.8306
38.9259,-15.5452,-15.6660,-15.6660,15.6660
39.3147,-15.4178,-15.5037,-15.5037,15.5037
39.7074,-15.3181,-15.3433,-15.3433,15.3433
40.1041,-15.1917,-15.1847,-15.1847,15.1847
40.5046,-15.0250,-15.0279,-15.0279,15.0279
40.9092,-14.8531,-14.8729,-14.8729,14.8729
41.3179,-14.6833,-14.7197,-14.7197,14.7197
41.7306,-14.5215,-14.5683,-14.5683,14.5683
42.1474,-14.3716,-14.4181,-14.4181,14.4181
42.5684,-14.2490,-14.2692,-14.2692,14.2692
42.9936,-14.1302,-14.1214,-14.1214,14.1214
43.4231,-13.9372,-13.9732,-13.9732,13.9732
43.8568,-13.7486,-13.8230,-13.8230,13.8230
44.2949,-13.6841,-13.6704,-13.6704,13.6704
44.7374,-13.6800,-13.5140,-13.5140,13.5140
45.1842,-13.5722,-13.3525,-13.3525,13.3525
45.6356,-13.3527,-13.1862,-13.1862,13.1862
46.0914,-13.1014,-13.0160,-13.0160,13.0160
46.5518,-12.8467,-12.8426,-12.8426,12.8426
