frequency,raw,smoothed,error,equalization
20.0000,-10.7100,-10.3462,-10.3462,10.3462
20.1998,-10.6201,-10.2957,-10.2957,10.2957
20.4015,-10.5293,-10.2378,-10.2378,10.2378
20.6053,-10.4322,-10.1735,-10.1735,10.1735
20.8112,-10.3395,-10.1033,-10.1033,10.1033
21.0190,-10.2504,-10.0268,-10.0268,10.0268
21.2290,-10.1007,-9.9433,-9.9433,9.9433
21.4410,-9.9493,-9.8531,-9.8531,9.8531
21.6552,-9.8033,-9.7559,-9.7559,9.7559
21.8715,-9.6490,-9.6517,-9.6517,9.6517
22.0900,-9.5100,-9.5400,-9.5400,9.5400
22.3106,-9.3997,-9.4199,-9.4199,9.4199
22.5335,-9.2931,-9.2938,-9.2938,9.2938
22.7586,-9.1807,-9.1676,-9.1676,9.1676
22.9859,-9.0818,-9.0417,-9.0417,9.0417
23.2155,-8.9329,-8.9162,-8.9162,8.9162
23.4474,-8.7817,-8.7920,-8.7920,8.7920
23.6816,-8.6352,-8.6701,-8.6701,8.6701
23.9182,-8.4812,-8.5511,-8.5511,8.5511
24.1571,-8.3615,-8.4356,-8.4356,8.4356
24.3984,-8.2607,-8.3238,-8.3238,8.3238
24.6421,-8.1632,-8.2154,-8.2154,8.2154
24.8882,-8.0508,-8.1102,-8.1102,8.1102
25.1368,-7.9611,-8.0083,-8.0083,8.0083
25.3879,-7.8707,-7.9095,-7.9095,7.9095
25.6415,-7.7829,-7.8132,-7.8132,7.8132
25.8976,-7.6943,-7.7191,-7.7191,7.7191
26.1563,-7.6112,-7.6264,-7.6264,7.6264
26.4176,-7.5337,-7.5339,-7.5339,7.5339
26.6815,-7.4430,-7.4401,-7.4401,7.4401
26.9480,-7.3636,-7.3441,-7.3441,7.3441
27.2172,-7.2933,-7.2452,-7.2452,7.2452
27.4890,-7.2132,-7.1429,-7.1429,7.1429
27.7636,-7.1319,-7.0372,-7.0372,7.0372
28.0409,-7.0526,-6.9279,-6.9279,6.9279
28.3210,-6.9242,-6.8150,-6.8150,6.8150
28.6039,-6.7972,-6.6991,-6.6991,6.6991
28.8896,-6.6552,-6.5806,-6.5806,6.5806
29.1782,-6.4869,-6.4601,-6.4601,6.4601
29.4697,-6.2968,-6.3381,-6.3381,6.3381
29.7640,-6.1101,-6.2159,-6.2159,6.2159
30.0613,-5.9406,-6.0945,-6.0945,6.0945
30.3616,-5.8643,-5.9746,-5.9746,5.9746
30.6649,-5.7840,-5.8559,-5.8559,5.8559
30.9712,-5.7049,-5.7383,-5.7383,5.7383
31.2806,-5.6344,-5.6220,-5.6220,5.6220
31.5930,-5.5638,-5.5064,-5.5064,5.5064
31.9086,-5.4947,-5.3908,-5.3908,5.3908
32.2273,-5.3653,-5.2741,-5.2741,5.2741
32.5492,-5.2194,-5.1566,-5.1566,5.1566
32.8744,-5.0673,-5.0392,-5.0392,5.0392
33.2027,-4.9178,-4.9227,-4.9227,4.9227
33.5344,-4.7671,-4.8071,-4.8071,4.8071
33.8694,-4.6191,-4.6921,-4.6921,4.6921
34.2077,-4.5166,-4.5779,-4.5779,4.5779
34.5494,-4.4349,-4.4646,-4.4646,4.4646
34.8945,-4.3558,-4.3523,-4.3523,4.3523
35.2430,-4.2208,-4.2412,-4.2412,4.2412
35.5951,-4.0614,-4.1325,-4.1325,4.1325
35.9506,-3.8989,-4.0281,-4.0281,4.0281
36.3097,-3.8711,-3.9290,-3.9290,3.9290
36.6724,-3.8607,-3.8342,-3.8342,3.8342
37.0387,-3.8224,-3.7418,-3.7418,3.7418
37.4087,-3.6692,-3.6501,-3.6501,3.6501
37.7824,-3.5116,-3.5593,-3.5593,3.5593
38.1598,-3.3896,-3.4702,-3.4702,3.4702
38.5409,-3.2969,-3.3834,-3.3834,3.3834
38.9259,-3.2057,-3.2991,-3.2991,3.2991
39.3147,-3.1813,-3.2173,-3.2173,3.2173
39.7074,-3.1708,-3.1369,-3.1369,3.1369
40.1041,-3.1336,-3.0562,-3.0562,3.0562
40.5046,-3.0571,-2.9741,-2.9741,2.9741
