frequency,raw,smoothed,error,equalization
20.0000,2.3500,2.5833,2.5833,-2.5833
20.1998,2.3900,2.6267,2.6267,-2.6267
20.4015,2.4303,2.6756,2.6756,-2.6756
20.6053,2.4691,2.7296,2.7296,-2.7296
20.8112,2.5003,2.7889,2.7889,-2.7889
21.0190,2.5597,2.8539,2.8539,-2.8539
21.2290,2.7391,2.9250,2.9250,-2.9250
21.4410,2.9208,3.0008,3.0008,-3.0008
21.6552,3.0961,3.0803,3.0803,-3.0803
21.8715,3.2809,3.1626,3.1626,-3.1626
22.0900,3.4100,3.2472,3.2472,-3.2472
22.3106,3.4601,3.3343,3.3343,-3.3343
22.5335,3.5086,3.4226,3.4226,-3.4226
22.7586,3.5696,3.5083,3.5083,-3.5083
22.9859,3.6191,3.5915,3.5915,-3.5915
23.2155,3.6886,3.6728,3.6728,-3.6728
23.4474,3.7592,3.7523,3.7523,-3.7523
23.6816,3.8276,3.8299,3.8299,-3.8299
23.9182,3.9094,3.9062,3.9062,-3.9062
24.1571,3.9594,3.9820,3.9820,-3.9820
24.3984,4.0196,4.0586,4.0586,-4.0586
24.6421,4.0684,4.1371,4.1371,-4.1371
24.8882,4.1196,4.2188,4.2188,-4.2188
25.1368,4.2089,4.3045,4.3045,-4.3045
25.3879,4.3389,4.3942,4.3942,-4.3942
25.6415,4.4561,4.4874,4.4874,-4.4874
25.8976,4.5743,4.5841,4.5841,-4.5841
26.1563,4.6884,4.6840,4.6840,-4.6840
26.4176,4.7854,4.7864,4.7864,-4.7864
26.6815,4.8867,4.8912,4.8912,-4.8912
26.9480,4.9760,4.9980,4.9980,-4.9980
27.2172,5.0752,5.1070,5.1070,-5.1070
27.4890,5.1759,5.2179,5.2179,-5.2179
27.7636,5.2776,5.3308,5.3308,-5.3308
28.0409,5.3864,5.4454,5.4454,-5.4454
28.3210,5.5352,5.5612,5.5612,-5.5612
28.6039,5.6911,5.6777,5.6777,-5.6777
28.8896,5.8541,5.7939,5.7939,-5.7939
29.1782,5.9655,5.9084,5.9084,-5.9084
29.4697,6.0472,6.0208,6.0208,-6.0208
29.7640,6.1352,6.1309,6.1309,-6.1309
30.0613,6.2244,6.2389,6.2389,-6.2389
30.3616,6.3614,6.3451,6.3451,-6.3451
30.6649,6.4935,6.4486,6.4486,-6.4486
30.9712,6.6221,6.5486,6.5486,-6.5486
31.2806,6.7331,6.6442,6.6442,-6.6442
31.5930,6.8345,6.7350,6.7350,-6.7350
31.9086,6.9333,6.8205,6.8205,-6.8205
32.2273,6.9784,6.9007,6.9007,-6.9007
32.5492,6.9987,6.9760,6.9760,-6.9760
32.8744,7.0190,7.0471,7.0471,-7.0471
33.2027,7.0958,7.1140,7.1140,-7.1140
33.5344,7.2048,7.1762,7.1762,-7.1762
33.8694,7.3133,7.2326,7.2326,-7.2326
34.2077,7.3761,7.2827,7.2827,-7.2827
34.5494,7.4176,7.3264,7.3264,-7.3264
34.8945,7.4571,7.3642,7.3642,-7.3642
35.2430,7.4969,7.3972,7.3972,-7.3972
35.5951,7.5279,7.4264,7.4264,-7.4264
35.9506,7.5678,7.4530,7.4530,-7.4530
36.3097,7.5417,7.4779,7.4779,-7.4779
36.6724,7.5030,7.5020,7.5020,-7.5020
37.0387,7.4718,7.5265,7.5265,-7.5265
37.4087,7.4700,7.5521,7.5521,-7.5521
37.7824,7.4700,7.5798,7.5798,-7.5798
38.1598,7.4792,7.6103,7.6103,-7.6103
38.5409,7.4892,7.6442,7.6442,-7.6442
38.9259,7.5087,7.6818,7.6818,-7.6818
39.3147,7.6316,7.7230,7.7230,-7.7230
39.7074,7.7686,7.7663,7.7663,-7.7663
40.1041,7.8892,7.8100,7.8100,-7.8100
40.5046,7.9638,7.8526,7.8526,-7.8526
40.9092,8.0254,7.8930,7.8930,-7.8930
41.3179,8.0484,7.9302,7.9302,-7.9302
41.7306,8.0686,7.9635,7.9635,-7.9635
42.1474,8.0792,7.9925,7.9925,-7.9925
42.5684,8.0800,8.0174,8.0174,-8.0174
42.9936,8.0800,8.0391,8.0391,-8.0391
43.4231,8.0800,8.0578,8.0578,-8.0578
43.8568,8.0800,8.0736,8.0736,-8.0736
44.2949,8.0800,8.0872,8.0872,-8.0872
44.7374,8.0800,8.0997,8.0997,-8.0997
45.1842,8.0800,8.1125,8.1125,-8.1125
45.6356,8.0800,8.1267,8.1267,-8.1267
46.0914,8.0800,8.1435,8.1435,-8.1435
46.5518,8.0800,8.1636,8.1636,-8.1636
47.0168,8.0891,8.1879,8.1879,-8.1879
47.4864,8.1807,8.2168,8.2168,-8.2168
47.9608,8.2708,8.2498,8.2498,-8.2498
48.4398,8.2800,8.2861,8.2861,-8.2861
48.9237,8.2800,8.3261,8.3261,-8.3261
49.4124,8.3071,8.3704,8.3704,-8.3704
49.9059,8.3457,8.4188,8.4188,-8.4188
50.4044,8.4033,8.4709,8.4709,-8.4709
50.9079,8.4638,8.5261,8.5261,-8.5261
51.4164,8.5416,8.5841,8.5841,-8.5841
51.9300,8.6119,8.6440,8.6440,-8.6440
52.4487,8.6906,8.7051,8.7051,-8.7051
52.9726,8.7712,8.7667,8.7667,-8.7667
53.5018,8.8601,8.8279,8.8279,-8.8279
54.0362,8.9405,8.8883,8.8883,-8.8883
54.5759,9.0205,8.9469,8.9469,-8.9469
55.1211,9.0745,9.0028,9.0028,-9.0028
55.6717,9.0888,9.0552,9.0552,-9.0552
56.2278,9.1255,9.1044,9.1044,-9.1044
56.7894,9.1826,9.1506,9.1506,-9.1506
57.3567,9.2343,9.1934,9.1934,-9.1934
57.9296,9.2751,9.2325,9.2325,-9.2325
58.5082,9.3326,9.2681,9.2681,-9.2681
59.0927,9.3754,9.3002,9.3002,-9.3002
59.6829,9.3800,9.3289,9.3289,-9.3289
60.2791,9.3800,9.3549,9.3549,-9.3549
60.8812,9.3800,9.3787,9.3787,-9.3787
61.4893,9.3800,9.4009,9.4009,-9.4009
62.1035,9.3975,9.4222,9.4222,-9.4222
62.7239,9.4526,9.4424,9.4424,-9.4424
63.3504,9.4775,9.4610,9.4610,-9.4610
63.9832,9.4800,9.4780,9.4780,-9.4780
64.6223,9.4800,9.4936,9.4936,-9.4936
65.2678,9.5149,9.5082,9.5082,-9.5082
65.9198,9.5718,9.5217,9.5217,-9.5217
66.5782,9.5800,9.5336,9.5336,-9.5336
67.2433,9.5800,9.5440,9.5440,-9.5440
67.9149,9.5800,9.5530,9.5530,-9.5530
68.5933,9.5800,9.5605,9.5605,-9.5605
69.2785,9.5800,9.5664,9.5664,-9.5664
69.9705,9.5800,9.5710,9.5710,-9.5710
70.6694,9.5800,9.5744,9.5744,-9.5744
71.3753,9.5800,9.5769,9.5769,-9.5769
72.0883,9.5800,9.5786,9.5786,-9.5786
72.8083,9.5800,9.5797,9.5797,-9.5797
73.5356,9.5800,9.5807,9.5807,-9.5807
74.2701,9.5800,9.5820,9.5820,-9.5820
75.0120,9.5800,9.5841,9.5841,-9.5841
75.7613,9.5800,9.5868,9.5868,-9.5868
76.5180,9.5800,9.5904,9.5904,-9.5904
77.2824,9.5800,9.5947,9.5947,-9.5947
78.0543,9.5800,9.5998,9.5998,-9.5998
78.8340,9.5800,9.6057,9.6057,-9.6057
79.6214,9.5800,9.6124,9.6124,-9.6124
80.4168,9.5800,9.6200,9.6200,-9.6200
81.2200,9.6052,9.6283,9.6283,-9.6283
82.0313,9.6689,9.6371,9.6371,-9.6371
82.8507,9.6800,9.6454,9.6454,-9.6454
83.6783,9.6800,9.6530,9.6530,-9.6530
84.5141,9.6800,9.6600,9.6600,-9.6600
85.3583,9.6800,9.6663,9.6663,-9.6663
86.2109,9.6884,9.6719,9.6719,-9.6719
87.0721,9.6900,9.6768,9.6768,-9.6768
87.9418,9.6900,9.6806,9.6806,-9.6806
