frequency,raw,smoothed,error,equalization
20.0000,-5.0700,-4.7319,-4.7319,4.7319
20.1998,-4.9801,-4.6894,-4.6894,4.6894
20.4015,-4.8893,-4.6403,-4.6403,4.6403
20.6053,-4.8020,-4.5859,-4.5859,4.5859
20.8112,-4.6995,-4.5264,-4.5264,4.5264
21.0190,-4.6005,-4.4623,-4.4623,4.4623
21.2290,-4.4905,-4.3933,-4.3933,4.3933
21.4410,-4.3895,-4.3193,-4.3193,4.3193
21.6552,-4.2824,-4.2400,-4.2400,4.2400
21.8715,-4.1792,-4.1546,-4.1546,4.1546
22.0900,-4.0700,-4.0625,-4.0625,4.0625
22.3106,-3.9697,-3.9625,-3.9625,3.9625
22.5335,-3.8631,-3.8567,-3.8567,3.8567
22.7586,-3.7606,-3.7501,-3.7501,3.7501
22.9859,-3.6520,-3.6429,-3.6429,3.6429
23.2155,-3.5421,-3.5351,-3.5351,3.5351
23.4474,-3.4312,-3.4269,-3.4269,3.4269
23.6816,-3.3238,-3.3183,-3.3183,3.3183
23.9182,-3.2109,-3.2092,-3.2092,3.2092
24.1571,-3.1013,-3.0999,-3.0999,3.0999
24.3984,-2.9907,-2.9903,-2.9903,2.9903
24.6421,-2.8835,-2.8804,-2.8804,2.8804
24.8882,-2.7708,-2.7702,-2.7702,2.7702
25.1368,-2.6614,-2.6596,-2.6596,2.6596
25.3879,-2.5509,-2.5488,-2.5488,2.5488
25.6415,-2.4436,-2.4378,-2.4378,2.4378
25.8976,-2.3352,-2.3264,-2.3264,2.3264
26.1563,-2.2118,-2.2146,-2.2146,2.2146
26.4176,-2.1051,-2.1027,-2.1027,2.1027
26.6815,-1.9936,-1.9904,-1.9904,1.9904
26.9480,-1.8849,-1.8779,-1.8779,1.8779
27.2172,-1.7752,-1.7651,-1.7651,1.7651
27.4890,-1.6549,-1.6519,-1.6519,1.6519
27.7636,-1.5426,-1.5385,-1.5385,1.5385
28.0409,-1.4239,-1.4251,-1.4251,1.4251
28.3210,-1.3135,-1.3117,-1.3117,1.3117
28.6039,-1.1967,-1.1986,-1.1986,1.1986
28.8896,-1.0841,-1.0858,-1.0858,1.0858
29.1782,-0.9649,-0.9735,-0.9735,0.9735
29.4697,-0.8539,-0.8621,-0.8621,0.8621
29.7640,-0.7364,-0.7514,-0.7514,0.7514
30.0613,-0.6268,-0.6419,-0.6419,0.6419
30.3616,-0.5167,-0.5335,-0.5335,0.5335
30.6649,-0.3960,-0.4266,-0.4266,0.4266
30.9712,-0.2961,-0.3214,-0.3214,0.3214
31.2806,-0.1963,-0.2178,-0.2178,0.2178
31.5930,-0.0955,-0.1160,-0.1160,0.1160
31.9086,0.0033,-0.0157,-0.0157,0.0157
32.2273,0.1059,0.0829,0.0829,-0.0829
32.5492,0.1943,0.1799,0.1799,-0.1799
32.8744,0.2951,0.2753,0.2753,-0.2753
33.2027,0.3853,0.3693,0.3693,-0.3693
33.5344,0.4757,0.4619,0.4619,-0.4619
33.8694,0.5645,0.5532,0.5532,-0.5532
34.2077,0.6541,0.6434,0.6434,-0.6434
34.5494,0.7445,0.7327,0.7327,-0.7327
34.8945,0.8242,0.8210,0.8210,-0.8210
35.2430,0.9131,0.9086,0.9086,-0.9086
35.5951,1.0036,0.9954,0.9954,-0.9954
35.9506,1.0856,1.0813,1.0813,-1.0813
36.3097,1.1749,1.1664,1.1664,-1.1664
36.6724,1.2540,1.2507,1.2507,-1.2507
37.0387,1.3447,1.3342,1.3342,-1.3342
37.4087,1.4254,1.4168,1.4168,-1.4168
37.7824,1.5135,1.4985,1.4985,-1.4985
38.1598,1.5936,1.5792,1.5792,-1.5792
38.5409,1.6739,1.6587,1.6587,-1.6587
38.9259,1.7549,1.7372,1.7372,-1.7372
39.3147,1.8348,1.8144,1.8144,-1.8144
39.7074,1.9043,1.8904,1.8904,-1.8904
40.1041,1.9737,1.9650,1.9650,-1.9650
40.5046,2.0529,2.0383,2.0383,-2.0383
40.9092,2.1246,2.1103,2.1103,-2.1103
41.3179,2.1945,2.1808,2.1808,-2.1808
41.7306,2.2650,2.2499,2.2499,-2.2499
42.1474,2.3346,2.3175,2.3175,-2.3175
42.5684,2.4047,2.3836,2.3836,-2.3836
42.9936,2.4649,2.4481,2.4481,-2.4481
43.4231,2.5340,2.5109,2.5109,-2.5109
43.8568,2.5941,2.5721,2.5721,-2.5721
44.2949,2.6551,2.6316,2.6316,-2.6316
44.7374,2.7053,2.6895,2.6895,-2.6895
45.1842,2.7639,2.7457,2.7457,-2.7457
45.6356,2.8151,2.8003,2.8003,-2.8003
46.0914,2.8749,2.8533,2.8533,-2.8533
46.5518,2.9249,2.9046,2.9046,-2.9046
47.0168,2.9753,2.9542,2.9542,-2.9542
47.4864,3.0163,3.0022,3.0022,-3.0022
47.9608,3.0649,3.0487,3.0487,-3.0487
48.4398,3.1058,3.0936,3.0936,-3.0936
48.9237,3.1552,3.1371,3.1371,-3.1371
49.4124,3.1961,3.1790,3.1790,-3.1790
49.9059,3.2357,3.2193,3.2193,-3.2193
50.4044,3.2756,3.2581,3.2581,-3.2581
50.9079,3.3158,3.2953,3.2953,-3.2953
51.4164,3.3468,3.3308,3.3308,-3.3308
51.9300,3.3854,3.3648,3.3648,-3.3648
52.4487,3.4165,3.3972,3.3972,-3.3972
52.9726,3.4467,3.4280,3.4280,-3.4280
53.5018,3.4767,3.4573,3.4573,-3.4573
54.0362,3.5065,3.4851,3.4851,-3.4851
54.5759,3.5276,3.5114,3.5114,-3.5114
55.1211,3.5478,3.5364,3.5364,-3.5364
55.6717,3.5763,3.5601,3.5601,-3.5601
56.2278,3.5977,3.5825,3.5825,-3.5825
56.7894,3.6175,3.6037,3.6037,-3.6037
57.3567,3.6289,3.6238,3.6238,-3.6238
57.9296,3.6476,3.6429,3.6429,-3.6429
58.5082,3.6675,3.6610,3.6610,-3.6610
59.0927,3.6877,3.6782,3.6782,-3.6782
59.6829,3.7074,3.6944,3.6944,-3.6944
60.2791,3.7188,3.7095,3.7095,-3.7095
60.8812,3.7374,3.7236,3.7236,-3.7236
61.4893,3.7487,3.7365,3.7365,-3.7365
62.1035,3.7587,3.7483,3.7483,-3.7483
62.7239,3.7775,3.7590,3.7590,-3.7590
63.3504,3.7887,3.7684,3.7684,-3.7684
63.9832,3.7900,3.7765,3.7765,-3.7765
64.6223,3.7986,3.7832,3.7832,-3.7832
65.2678,3.8087,3.7886,3.7886,-3.7886
65.9198,3.8100,3.7925,3.7925,-3.7925
66.5782,3.8100,3.7949,3.7949,-3.7949
67.2433,3.8100,3.7959,3.7959,-3.7959
67.9149,3.8100,3.7954,3.7954,-3.7954
68.5933,3.8100,3.7934,3.7934,-3.7934
69.2785,3.8100,3.7899,3.7899,-3.7899
69.9705,3.8014,3.7848,3.7848,-3.7848
70.6694,3.7914,3.7781,3.7781,-3.7781
71.3753,3.7900,3.7699,3.7699,-3.7699
72.0883,3.7814,3.7601,3.7601,-3.7601
72.8083,3.7714,3.7487,3.7487,-3.7487
73.5356,3.7529,3.7357,3.7357,-3.7357
74.2701,3.7415,3.7210,3.7210,-3.7210
75.0120,3.7229,3.7048,3.7048,-3.7048
75.7613,3.7029,3.6870,3.6870,-3.6870
76.5180,3.6829,3.6678,3.6678,-3.6678
77.2824,3.6631,3.6471,3.6471,-3.6471
78.0543,3.6430,3.6249,3.6249,-3.6249
78.8340,3.6145,3.6014,3.6014,-3.6014
79.6214,3.5930,3.5764,3.5764,-3.5764
80.4168,3.5646,3.5500,3.5500,-3.5500
81.2200,3.5348,3.5222,3.5222,-3.5222
82.0313,3.5048,3.4932,3.4932,-3.4932
82.8507,3.4747,3.4630,3.4630,-3.4630
83.6783,3.4448,3.4315,3.4315,-3.4315
84.5141,3.4149,3.3987,3.3987,-3.3987
85.3583,3.3850,3.3647,3.3647,-3.3647
86.2109,3.3465,3.3293,3.3293,-3.3293
87.0721,3.3068,3.2925,3.2925,-3.2925
87.9418,3.2668,3.2545,3.2545,-3.2545
88.8203,3.2268,3.2153,3.2153,-3.2153
89.7075,3.1869,3.1749,3.1749,-3.1749
90.6035,3.1470,3.1333,3.1333,-3.1333
91.5085,3.1067,3.0906,3.0906,-3.0906
92.4226,3.0586,3.0466,3.0466,-3.0466
93.3458,3.0171,3.0014,3.0014,-3.0014
94.2782,2.9687,2.9550,2.9550,-2.9550
