frequency,raw,smoothed,error,equalization
20.0000,2.3700,2.7528,2.7528,-2.7528
20.1998,2.4899,2.7894,2.7894,-2.7894
20.4015,2.6110,2.8317,2.8317,-2.8317
20.6053,2.7371,2.8776,2.8776,-2.8776
20.8112,2.8606,2.9262,2.9262,-2.9262
21.0190,2.9695,2.9767,2.9767,-2.9767
21.2290,3.0198,3.0288,3.0288,-3.0288
21.4410,3.0702,3.0835,3.0835,-3.0835
21.6552,3.1189,3.1417,3.1417,-3.1417
21.8715,3.1605,3.2044,3.2044,-3.2044
22.0900,3.2300,3.2729,3.2729,-3.2729
22.3106,3.3103,3.3482,3.3482,-3.3482
22.5335,3.3975,3.4284,3.4284,-3.4284
22.7586,3.4894,3.5087,3.5087,-3.5087
22.9859,3.5784,3.5889,3.5889,-3.5889
23.2155,3.6584,3.6690,3.6690,-3.6690
23.4474,3.7391,3.7491,3.7491,-3.7491
23.6816,3.8172,3.8294,3.8294,-3.8294
23.9182,3.8994,3.9099,3.9099,-3.9099
24.1571,3.9988,3.9902,3.9902,-3.9902
24.3984,4.0993,4.0698,4.0698,-4.0698
24.6421,4.1968,4.1480,4.1480,-4.1480
24.8882,4.3092,4.2243,4.2243,-4.2243
25.1368,4.3692,4.2981,4.2981,-4.2981
25.3879,4.4097,4.3697,4.3697,-4.3697
25.6415,4.4487,4.4398,4.4398,-4.4398
25.8976,4.4976,4.5091,4.5091,-4.5091
26.1563,4.5591,4.5780,4.5780,-4.5780
26.4176,4.6268,4.6467,4.6467,-4.6467
26.6815,4.6977,4.7152,4.7152,-4.7152
26.9480,4.7669,4.7835,4.7835,-4.7835
27.2172,4.8367,4.8517,4.8517,-4.8517
27.4890,4.9072,4.9204,4.9204,-4.9204
27.7636,4.9686,4.9898,4.9898,-4.9898
28.0409,5.0474,5.0605,5.0605,-5.0605
28.3210,5.1274,5.1324,5.1324,-5.1324
28.6039,5.2150,5.2052,5.2052,-5.2052
28.8896,5.2970,5.2784,5.2784,-5.2784
29.1782,5.3672,5.3517,5.3517,-5.3517
29.4697,5.4182,5.4249,5.4249,-5.4249
29.7640,5.4768,5.4983,5.4983,-5.4983
30.0613,5.5363,5.5720,5.5720,-5.5720
30.3616,5.6339,5.6461,5.6461,-5.6461
30.6649,5.7255,5.7202,5.7202,-5.7202
30.9712,5.8239,5.7937,5.7937,-5.7937
31.2806,5.8862,5.8663,5.8663,-5.8663
31.5930,5.9562,5.9378,5.9378,-5.9378
31.9086,6.0160,6.0082,6.0082,-6.0082
32.2273,6.0871,6.0775,6.0775,-6.0775
32.5492,6.1650,6.1457,6.1457,-6.1457
32.8744,6.2366,6.2129,6.2129,-6.2129
33.2027,6.2969,6.2789,6.2789,-6.2789
33.5344,6.3667,6.3437,6.3437,-6.3437
33.8694,6.4264,6.4069,6.4069,-6.4069
34.2077,6.4861,6.4686,6.4686,-6.4686
34.5494,6.5464,6.5288,6.5288,-6.5288
34.8945,6.6056,6.5876,6.5876,-6.5876
35.2430,6.6469,6.6451,6.6451,-6.6451
35.5951,6.6964,6.7016,6.7016,-6.7016
35.9506,6.7472,6.7574,6.7574,-6.7574
36.3097,6.8161,6.8128,6.8128,-6.8128
36.6724,6.8848,6.8680,6.8680,-6.8680
37.0387,6.9559,6.9232,6.9232,-6.9232
37.4087,6.9977,6.9782,6.9782,-6.9782
37.7824,7.0464,7.0333,7.0333,-7.0333
38.1598,7.0868,7.0885,7.0885,-7.0885
38.5409,7.1177,7.1439,7.1439,-7.1439
38.9259,7.1481,7.1998,7.1998,-7.1998
39.3147,7.2061,7.2567,7.2567,-7.2567
39.7074,7.2743,7.3145,7.3145,-7.3145
40.1041,7.3437,7.3731,7.3731,-7.3731
40.5046,7.4320,7.4321,7.4321,-7.4321
40.9092,7.5323,7.4907,7.4907,-7.4907
41.3179,7.5953,7.5482,7.5482,-7.5482
41.7306,7.6557,7.6045,7.6045,-7.6045
42.1474,7.6969,7.6596,7.6596,-7.6596
42.5684,7.7277,7.7136,7.7136,-7.7136
42.9936,7.7575,7.7665,7.7665,-7.7665
43.4231,7.8240,7.8185,7.8185,-7.8185
43.8568,7.8841,7.8691,7.8691,-7.8691
44.2949,7.9451,7.9181,7.9181,-7.9181
44.7374,8.0043,7.9656,7.9656,-7.9656
45.1842,8.0369,8.0111,8.0111,-8.0111
45.6356,8.0490,8.0549,8.0549,-8.0549
46.0914,8.0774,8.0978,8.0978,-8.0978
46.5518,8.1428,8.1402,8.1402,-8.1402
47.0168,8.2044,8.1822,8.1822,-8.1822
47.4864,8.2372,8.2234,8.2234,-8.2234
47.9608,8.2579,8.2639,8.2639,-8.2639
48.4398,8.3048,8.3035,8.3035,-8.3035
48.9237,8.3552,8.3421,8.3421,-8.3421
49.4124,8.4051,8.3800,8.3800,-8.3800
49.9059,8.4546,8.4171,8.4171,-8.4171
50.4044,8.4600,8.4534,8.4534,-8.4534
50.9079,8.4600,8.4895,8.4895,-8.4895
51.4164,8.5137,8.5254,8.5254,-8.5254
51.9300,8.5731,8.5605,8.5605,-8.5605
52.4487,8.6153,8.5944,8.5944,-8.5944
52.9726,8.6556,8.6273,8.6273,-8.6273
53.5018,8.6600,8.6595,8.6595,-8.6595
54.0362,8.6688,8.6914,8.6914,-8.6914
54.5759,8.7141,8.7232,8.7232,-8.7232
55.1211,8.7735,8.7548,8.7548,-8.7548
