frequency,raw,smoothed,error,equalization
20.0000,-18.3700,-17.4441,-17.4441,17.4441
20.1998,-18.0603,-17.3512,-17.3512,17.3512
20.4015,-17.7580,-17.2464,-17.2464,17.2464
20.6053,-17.4960,-17.1346,-17.1346,17.1346
20.8112,-17.2488,-17.0185,-17.0185,17.0185
21.0190,-17.0410,-16.8992,-16.8992,16.8992
21.2290,-16.8410,-16.7770,-16.7770,16.7770
21.4410,-16.6492,-16.6518,-16.6518,16.6518
21.6552,-16.4739,-16.5232,-16.5232,16.5232
21.8715,-16.2989,-16.3904,-16.3904,16.3904
22.0900,-16.1400,-16.2526,-16.2526,16.2526
22.3106,-15.9796,-16.1087,-16.1087,16.1087
22.5335,-15.8537,-15.9640,-15.9640,15.9640
22.7586,-15.7208,-15.8285,-15.8285,15.8285
22.9859,-15.6120,-15.7010,-15.7010,15.7010
23.2155,-15.5218,-15.5802,-15.5802,15.5802
23.4474,-15.4211,-15.4644,-15.4644,15.4644
23.6816,-15.3331,-15.3522,-15.3522,15.3522
23.9182,-15.2308,-15.2422,-15.2422,15.2422
24.1571,-15.1312,-15.1331,-15.1331,15.1331
24.3984,-15.0307,-15.0237,-15.0237,15.0237
24.6421,-14.9428,-14.9131,-14.9131,14.9131
24.8882,-14.8507,-14.7998,-14.7998,14.7998
25.1368,-14.7611,-14.6829,-14.6829,14.6829
25.3879,-14.6608,-14.5613,-14.5613,14.5613
25.6415,-14.5439,-14.4344,-14.4344,14.4344
25.8976,-14.4162,-14.3015,-14.3015,14.3015
26.1563,-14.2622,-14.1624,-14.1624,14.1624
26.4176,-14.0978,-14.0171,-14.0171,14.0171
26.6815,-13.9256,-13.8658,-13.8658,13.8658
26.9480,-13.7576,-13.7088,-13.7088,13.7088
27.2172,-13.5786,-13.5461,-13.5461,13.5461
27.4890,-13.4069,-13.3783,-13.3783,13.3783
27.7636,-13.2340,-13.2062,-13.2062,13.2062
28.0409,-13.0655,-13.0307,-13.0307,13.0307
28.3210,-12.8954,-12.8525,-12.8525,12.8525
28.6039,-12.7200,-12.6724,-12.6724,12.6724
28.8896,-12.5367,-12.4908,-12.4908,12.4908
29.1782,-12.3381,-12.3081,-12.3081,12.3081
29.4697,-12.1275,-12.1251,-12.1251,12.1251
29.7640,-11.9117,-11.9426,-11.9426,11.9426
30.0613,-11.6937,-11.7620,-11.7620,11.7620
30.3616,-11.4829,-11.5843,-11.5843,11.5843
30.6649,-11.3086,-11.4106,-11.4106,11.4106
30.9712,-11.1779,-11.2406,-11.2406,11.2406
31.2806,-11.0481,-11.0737,-11.0737,11.0737
31.5930,-10.9077,-10.9092,-10.9092,10.9092
31.9086,-10.7414,-10.7469,-10.7469,10.7469
32.2273,-10.5478,-10.5873,-10.5873,10.5873
32.5492,-10.3620,-10.4308,-10.4308,10.4308
32.8744,-10.2073,-10.2777,-10.2777,10.2777
33.2027,-10.0958,-10.1269,-10.1269,10.1269
33.5344,-9.9947,-9.9771,-9.9771,9.9771
33.8694,-9.8961,-9.8269,-9.8269,9.8269
34.2077,-9.7405,-9.6757,-9.6757,9.6757
34.5494,-9.5515,-9.5236,-9.5236,9.5236
34.8945,-9.3453,-9.3716,-9.3716,9.3716
35.2430,-9.1916,-9.2206,-9.2206,9.2206
35.5951,-9.0686,-9.0703,-9.0703,9.0703
35.9506,-8.9750,-8.9201,-8.9201,8.9201
36.3097,-8.8285,-8.7687,-8.7687,8.7687
36.6724,-8.6257,-8.6158,-8.6158,8.6158
37.0387,-8.3936,-8.4618,-8.4618,8.4618
37.4087,-8.1915,-8.3081,-8.3081,8.3081
