frequency,raw,smoothed,error,equalization
20.0000,3.5800,3.4818,3.4818,-3.4818
20.1998,3.5500,3.4694,3.4694,-3.4694
20.4015,3.5199,3.4552,3.4552,-3.4552
20.6053,3.5004,3.4394,3.4394,-3.4394
20.8112,3.4699,3.4222,3.4222,-3.4222
21.0190,3.4501,3.4035,3.4035,-3.4035
21.2290,3.4201,3.3834,3.3834,-3.3834
21.4410,3.3899,3.3617,3.3617,-3.3617
21.6552,3.3607,3.3383,3.3383,-3.3383
21.8715,3.3198,3.3129,3.3129,-3.3129
22.0900,3.2900,3.2855,3.2855,-3.2855
22.3106,3.2499,3.2558,3.2558,-3.2558
22.5335,3.2208,3.2242,3.2242,-3.2242
22.7586,3.1902,3.1923,3.1923,-3.1923
22.9859,3.1605,3.1600,3.1600,-3.1600
23.2155,3.1306,3.1274,3.1274,-3.1274
23.4474,3.1003,3.0944,3.0944,-3.0944
23.6816,3.0710,3.0611,3.0611,-3.0611
23.9182,3.0402,3.0275,3.0275,-3.0275
24.1571,3.0005,2.9938,2.9938,-2.9938
24.3984,2.9702,2.9601,2.9601,-2.9601
24.6421,2.9313,2.9266,2.9266,-2.9266
24.8882,2.8903,2.8933,2.8933,-2.8933
25.1368,2.8505,2.8604,2.8604,-2.8604
25.3879,2.8103,2.8282,2.8282,-2.8282
25.6415,2.7810,2.7968,2.7968,-2.7968
25.8976,2.7419,2.7664,2.7664,-2.7664
26.1563,2.7104,2.7372,2.7372,-2.7372
26.4176,2.6909,2.7093,2.7093,-2.7093
26.6815,2.6610,2.6827,2.6827,-2.6827
26.9480,2.6409,2.6577,2.6577,-2.6577
27.2172,2.6210,2.6342,2.6342,-2.6342
27.4890,2.6008,2.6124,2.6124,-2.6124
27.7636,2.5805,2.5922,2.5922,-2.5922
28.0409,2.5606,2.5735,2.5735,-2.5735
28.3210,2.5406,2.5563,2.5563,-2.5563
28.6039,2.5211,2.5404,2.5404,-2.5404
28.8896,2.5007,2.5258,2.5258,-2.5258
29.1782,2.4904,2.5122,2.5122,-2.5122
29.4697,2.4804,2.4994,2.4994,-2.4994
29.7640,2.4705,2.4872,2.4872,-2.4872
30.0613,2.4700,2.4752,2.4752,-2.4752
30.3616,2.4700,2.4631,2.4631,-2.4631
30.6649,2.4700,2.4506,2.4506,-2.4506
30.9712,2.4606,2.4372,2.4372,-2.4372
31.2806,2.4506,2.4228,2.4228,-2.4228
31.5930,2.4405,2.4071,2.4071,-2.4071
31.9086,2.4213,2.3900,2.3900,-2.3900
32.2273,2.4008,2.3715,2.3715,-2.3715
32.5492,2.3719,2.3516,2.3516,-2.3516
32.8744,2.3415,2.3305,2.3305,-2.3305
33.2027,2.3210,2.3085,2.3085,-2.3085
33.5344,2.2914,2.2858,2.2858,-2.2858
33.8694,2.2618,2.2626,2.2626,-2.2626
34.2077,2.2320,2.2395,2.2395,-2.2395
34.5494,2.2018,2.2169,2.2169,-2.2169
34.8945,2.1722,2.1953,2.1953,-2.1953
35.2430,2.1515,2.1748,2.1748,-2.1748
35.5951,2.1314,2.1560,2.1560,-2.1560
35.9506,2.1111,2.1389,2.1389,-2.1389
36.3097,2.0911,2.1238,2.1238,-2.1238
36.6724,2.0807,2.1108,2.1108,-2.1108
37.0387,2.0706,2.1001,2.1001,-2.1001
37.4087,2.0606,2.0916,2.0916,-2.0916
37.7824,2.0600,2.0855,2.0855,-2.0855
38.1598,2.0600,2.0817,2.0817,-2.0817
