frequency,raw,smoothed,error,equalization
20.0000,-0.7100,-0.5751,-0.5751,0.5751
20.1998,-0.6700,-0.5599,-0.5599,0.5599
20.4015,-0.6297,-0.5425,-0.5425,0.5425
20.6053,-0.5909,-0.5232,-0.5232,0.5232
20.8112,-0.5498,-0.5022,-0.5022,0.5022
21.0190,-0.5201,-0.4796,-0.4796,0.4796
21.2290,-0.4802,-0.4551,-0.4551,0.4551
21.4410,-0.4499,-0.4288,-0.4288,0.4288
21.6552,-0.4207,-0.4002,-0.4002,0.4002
21.8715,-0.3897,-0.3691,-0.3691,0.3691
22.0900,-0.3500,-0.3351,-0.3351,0.3351
22.3106,-0.3199,-0.2981,-0.2981,0.2981
22.5335,-0.2811,-0.2588,-0.2588,0.2588
22.7586,-0.2403,-0.2191,-0.2191,0.2191
22.9859,-0.1909,-0.1794,-0.1794,0.1794
23.2155,-0.1410,-0.1399,-0.1399,0.1399
23.4474,-0.0906,-0.1011,-0.1011,0.1011
23.6816,-0.0417,-0.0634,-0.0634,0.0634
23.9182,0.0096,-0.0272,-0.0272,0.0272
24.1571,0.0495,0.0070,0.0070,-0.0070
24.3984,0.0897,0.0387,0.0387,-0.0387
24.6421,0.1094,0.0677,0.0677,-0.0677
24.8882,0.1398,0.0937,0.0937,-0.0937
25.1368,0.1597,0.1167,0.1167,-0.1167
25.3879,0.1798,0.1364,0.1364,-0.1364
25.6415,0.1897,0.1529,0.1529,-0.1529
25.8976,0.1995,0.1662,0.1662,-0.1662
26.1563,0.2099,0.1766,0.1766,-0.1766
26.4176,0.2100,0.1843,0.1843,-0.1843
26.6815,0.2197,0.1896,0.1896,-0.1896
26.9480,0.2104,0.1928,0.1928,-0.1928
27.2172,0.2100,0.1944,0.1944,-0.1944
27.4890,0.2100,0.1947,0.1947,-0.1947
27.7636,0.2002,0.1939,0.1939,-0.1939
28.0409,0.1903,0.1924,0.1924,-0.1924
28.3210,0.1900,0.1905,0.1905,-0.1905
28.6039,0.1806,0.1882,0.1882,-0.1882
28.8896,0.1800,0.1859,0.1859,-0.1859
29.1782,0.1704,0.1836,0.1836,-0.1836
29.4697,0.1700,0.1816,0.1816,-0.1816
29.7640,0.1700,0.1798,0.1798,-0.1798
30.0613,0.1794,0.1785,0.1785,-0.1785
30.3616,0.1800,0.1774,0.1774,-0.1774
30.6649,0.1800,0.1767,0.1767,-0.1767
30.9712,0.1800,0.1766,0.1766,-0.1766
31.2806,0.1800,0.1772,0.1772,-0.1772
31.5930,0.1705,0.1788,0.1788,-0.1788
31.9086,0.1700,0.1816,0.1816,-0.1816
32.2273,0.1700,0.1860,0.1860,-0.1860
