frequency,raw,smoothed,error,equalization
20.0000,-4.0900,-3.9179,-3.9179,3.9179
20.1998,-4.0800,-3.8947,-3.8947,3.8947
20.4015,-4.0294,-3.8673,-3.8673,3.8673
20.6053,-3.9518,-3.8366,-3.8366,3.8366
20.8112,-3.8897,-3.8035,-3.8035,3.8035
21.0190,-3.8402,-3.7684,-3.7684,3.7684
21.2290,-3.7703,-3.7310,-3.7310,3.7310
21.4410,-3.7098,-3.6915,-3.6915,3.6915
21.6552,-3.6611,-3.6498,-3.6498,3.6498
21.8715,-3.6097,-3.6054,-3.6054,3.6054
22.0900,-3.5700,-3.5579,-3.5579,3.5579
22.3106,-3.4998,-3.5067,-3.5067,3.5067
22.5335,-3.4417,-3.4529,-3.4529,3.4529
22.7586,-3.3804,-3.3996,-3.3996,3.3996
22.9859,-3.3407,-3.3471,-3.3471,3.3471
23.2155,-3.2910,-3.2952,-3.2952,3.2952
23.4474,-3.2406,-3.2438,-3.2438,3.2438
23.6816,-3.1917,-3.1927,-3.1927,3.1927
23.9182,-3.1305,-3.1420,-3.1420,3.1420
24.1571,-3.1004,-3.0917,-3.0917,3.0917
24.3984,-3.0404,-3.0415,-3.0415,3.0415
24.6421,-2.9916,-2.9915,-2.9915,2.9915
24.8882,-2.9404,-2.9419,-2.9419,2.9419
25.1368,-2.8808,-2.8925,-2.8925,2.8925
25.3879,-2.8403,-2.8435,-2.8435,2.8435
25.6415,-2.8013,-2.7946,-2.7946,2.7946
25.8976,-2.7429,-2.7457,-2.7457,2.7457
26.1563,-2.6907,-2.6970,-2.6970,2.6970
26.4176,-2.6423,-2.6486,-2.6486,2.6486
26.6815,-2.6013,-2.6005,-2.6005,2.6005
26.9480,-2.5522,-2.5525,-2.5525,2.5525
27.2172,-2.5024,-2.5049,-2.5049,2.5049
27.4890,-2.4520,-2.4576,-2.4576,2.4576
27.7636,-2.4109,-2.4108,-2.4108,2.4108
28.0409,-2.3616,-2.3644,-2.3644,2.3644
28.3210,-2.3116,-2.3184,-2.3184,2.3184
28.6039,-2.2628,-2.2729,-2.2729,2.2729
28.8896,-2.2215,-2.2279,-2.2279,2.2279
29.1782,-2.1720,-2.1835,-2.1835,2.1835
29.4697,-2.1314,-2.1398,-2.1398,2.1398
29.7640,-2.0827,-2.0965,-2.0965,2.0965
30.0613,-2.0425,-2.0538,-2.0538,2.0538
30.3616,-2.0118,-2.0119,-2.0119,2.0119
30.6649,-1.9625,-1.9705,-1.9705,1.9705
30.9712,-1.9318,-1.9298,-1.9298,1.9298
31.2806,-1.8925,-1.8897,-1.8897,1.8897
31.5930,-1.8427,-1.8502,-1.8502,1.8502
31.9086,-1.8027,-1.8114,-1.8114,1.8114
32.2273,-1.7616,-1.7732,-1.7732,1.7732
32.5492,-1.7319,-1.7355,-1.7355,1.7355
32.8744,-1.6824,-1.6982,-1.6982,1.6982
33.2027,-1.6421,-1.6612,-1.6612,1.6612
33.5344,-1.6114,-1.6243,-1.6243,1.6243
33.8694,-1.5912,-1.5875,-1.5875,1.5875
34.2077,-1.5526,-1.5504,-1.5504,1.5504
