frequency,raw,smoothed,error,equalization
20.0000,2.2900,2.4740,2.4740,-2.4740
20.1998,2.3000,2.5007,2.5007,-2.5007
20.4015,2.3505,2.5322,2.5322,-2.5322
20.6053,2.4184,2.5676,2.5676,-2.5676
20.8112,2.4904,2.6064,2.6064,-2.6064
21.0190,2.5597,2.6483,2.6483,-2.6483
21.2290,2.6396,2.6933,2.6933,-2.6933
21.4410,2.6904,2.7412,2.7412,-2.7412
21.6552,2.7683,2.7927,2.7927,-2.7927
21.8715,2.8404,2.8477,2.8477,-2.8477
22.0900,2.9000,2.9067,2.9067,-2.9067
22.3106,2.9702,2.9706,2.9706,-2.9706
22.5335,3.0380,3.0380,3.0380,-3.0380
22.7586,3.1095,3.1055,3.1055,-3.1055
22.9859,3.1689,3.1727,3.1727,-3.1727
23.2155,3.2484,3.2396,3.2396,-3.2396
23.4474,3.3192,3.3060,3.3060,-3.3060
23.6816,3.3779,3.3719,3.3719,-3.3719
23.9182,3.4494,3.4373,3.4373,-3.4373
24.1571,3.5093,3.5022,3.5022,-3.5022
24.3984,3.5696,3.5666,3.5666,-3.5666
24.6421,3.6378,3.6307,3.6307,-3.6307
24.8882,3.6996,3.6943,3.6943,-3.6943
25.1368,3.7592,3.7575,3.7575,-3.7575
25.3879,3.8294,3.8204,3.8204,-3.8204
25.6415,3.8784,3.8830,3.8830,-3.8830
25.8976,3.9467,3.9454,3.9454,-3.9454
26.1563,4.0091,4.0075,4.0075,-4.0075
26.4176,4.0672,4.0693,4.0693,-4.0693
26.6815,4.1280,4.1311,4.1311,-4.1311
26.9480,4.1969,4.1928,4.1928,-4.1928
27.2172,4.2571,4.2542,4.2542,-4.2542
27.4890,4.3176,4.3152,4.3152,-4.3152
27.7636,4.3786,4.3759,4.3759,-4.3759
28.0409,4.4381,4.4362,4.4362,-4.4362
28.3210,4.5078,4.4963,4.4963,-4.4963
28.6039,4.5667,4.5559,4.5559,-4.5559
28.8896,4.6278,4.6149,4.6149,-4.6149
29.1782,4.6684,4.6732,4.6732,-4.6732
29.4697,4.7375,4.7311,4.7311,-4.7311
29.7640,4.8063,4.7884,4.7884,-4.7884
30.0613,4.8569,4.8449,4.8449,-4.8449
30.3616,4.8975,4.9008,4.9008,-4.9008
30.6649,4.9570,4.9562,4.9562,-4.9562
30.9712,5.0164,5.0112,5.0112,-5.0112
31.2806,5.0762,5.0656,5.0656,-5.0656
31.5930,5.1367,5.1194,5.1194,-5.1194
31.9086,5.1773,5.1725,5.1725,-5.1725
32.2273,5.2280,5.2251,5.2251,-5.2251
32.5492,5.2769,5.2773,5.2773,-5.2773
32.8744,5.3276,5.3290,5.3290,-5.3290
33.2027,5.3869,5.3803,5.3803,-5.3803
33.5344,5.4376,5.4310,5.4310,-5.4310
33.8694,5.4870,5.4811,5.4811,-5.4811
34.2077,5.5461,5.5307,5.5307,-5.5307
34.5494,5.5782,5.5793,5.5793,-5.5793
34.8945,5.6356,5.6274,5.6274,-5.6274
35.2430,5.6861,5.6747,5.6747,-5.6747
35.5951,5.7364,5.7213,5.7213,-5.7213
35.9506,5.7778,5.7671,5.7671,-5.7671
36.3097,5.8272,5.8121,5.8121,-5.8121
36.6724,5.8578,5.8562,5.8562,-5.8562
37.0387,5.9165,5.8996,5.8996,-5.8996
37.4087,5.9483,5.9419,5.9419,-5.9419
37.7824,5.9964,5.9835,5.9835,-5.9835
38.1598,6.0276,6.0241,6.0241,-6.0241
38.5409,6.0669,6.0639,6.0639,-6.0639
38.9259,6.1168,6.1029,6.1029,-6.1029
39.3147,6.1481,6.1407,6.1407,-6.1407
39.7074,6.1867,6.1777,6.1777,-6.1777
40.1041,6.2264,6.2137,6.2137,-6.2137
40.5046,6.2665,6.2487,6.2487,-6.2487
40.9092,6.2977,6.2826,6.2826,-6.2826
41.3179,6.3276,6.3153,6.3153,-6.3153
41.7306,6.3671,6.3469,6.3469,-6.3469
42.1474,6.3884,6.3774,6.3774,-6.3774
42.5684,6.4177,6.4067,6.4067,-6.4067
42.9936,6.4566,6.4347,6.4347,-6.4347
43.4231,6.4600,6.4613,6.4613,-6.4613
43.8568,6.5051,6.4869,6.4869,-6.4869
44.2949,6.5192,6.5112,6.5112,-6.5112
44.7374,6.5562,6.5342,6.5342,-6.5342
45.1842,6.5690,6.5556,6.5556,-6.5556
45.6356,6.5970,6.5756,6.5756,-6.5756
46.0914,6.6000,6.5939,6.5939,-6.5939
46.5518,6.6449,6.6105,6.6105,-6.6105
47.0168,6.6500,6.6249,6.6249,-6.6249
47.4864,6.6500,6.6373,6.6373,-6.6373
47.9608,6.6590,6.6477,6.6477,-6.6477
48.4398,6.6958,6.6560,6.6560,-6.6560
48.9237,6.7000,6.6618,6.6618,-6.6618
49.4124,6.7000,6.6651,6.6651,-6.6651
49.9059,6.7000,6.6657,6.6657,-6.6657
50.4044,6.7000,6.6639,6.6639,-6.6639
50.9079,6.7000,6.6594,6.6594,-6.6594
51.4164,6.6821,6.6523,6.6523,-6.6523
51.9300,6.6535,6.6428,6.6428,-6.6428
52.4487,6.6500,6.6313,6.6313,-6.6313
52.9726,6.6500,6.6177,6.6177,-6.6177
53.5018,6.6144,6.6019,6.6019,-6.6019
54.0362,6.6012,6.5842,6.5842,-6.5842
