frequency,raw,smoothed,error,equalization
20.0000,-2.0100,-1.9179,-1.9179,1.9179
20.1998,-1.9800,-1.9069,-1.9069,1.9069
20.4015,-1.9797,-1.8945,-1.8945,1.8945
20.6053,-1.9409,-1.8806,-1.8806,1.8806
20.8112,-1.8899,-1.8656,-1.8656,1.8656
21.0190,-1.8800,-1.8499,-1.8499,1.8499
21.2290,-1.8402,-1.8334,-1.8334,1.8334
21.4410,-1.8199,-1.8162,-1.8162,1.8162
21.6552,-1.8004,-1.7981,-1.7981,1.7981
21.8715,-1.7798,-1.7788,-1.7788,1.7788
22.0900,-1.7500,-1.7582,-1.7582,1.7582
22.3106,-1.7399,-1.7360,-1.7360,1.7360
22.5335,-1.7011,-1.7127,-1.7127,1.7127
22.7586,-1.7000,-1.6897,-1.6897,1.6897
22.9859,-1.6607,-1.6666,-1.6666,1.6666
23.2155,-1.6600,-1.6439,-1.6439,1.6439
23.4474,-1.6106,-1.6210,-1.6210,1.6210
23.6816,-1.6100,-1.5983,-1.5983,1.5983
23.9182,-1.5703,-1.5755,-1.5755,1.5755
24.1571,-1.5601,-1.5529,-1.5529,1.5529
24.3984,-1.5203,-1.5302,-1.5302,1.5302
24.6421,-1.5200,-1.5078,-1.5078,1.5078
24.8882,-1.4704,-1.4852,-1.4852,1.4852
25.1368,-1.4700,-1.4631,-1.4631,1.4631
25.3879,-1.4204,-1.4411,-1.4411,1.4411
25.6415,-1.4200,-1.4198,-1.4198,1.4198
25.8976,-1.3819,-1.3989,-1.3989,1.3989
26.1563,-1.3800,-1.3786,-1.3786,1.3786
26.4176,-1.3514,-1.3588,-1.3588,1.3588
26.6815,-1.3307,-1.3397,-1.3397,1.3397
26.9480,-1.3300,-1.3216,-1.3216,1.3216
27.2172,-1.2824,-1.3041,-1.3041,1.3041
27.4890,-1.2800,-1.2879,-1.2879,1.2879
27.7636,-1.2507,-1.2729,-1.2729,1.2729
28.0409,-1.2403,-1.2592,-1.2592,1.2592
28.3210,-1.2400,-1.2469,-1.2469,1.2469
28.6039,-1.2211,-1.2357,-1.2357,1.2357
28.8896,-1.1911,-1.2260,-1.2260,1.2260
29.1782,-1.1900,-1.2182,-1.2182,1.2182
29.4697,-1.1900,-1.2121,-1.2121,1.2121
29.7640,-1.1900,-1.2080,-1.2080,1.2080
30.0613,-1.1900,-1.2056,-1.2056,1.2056
30.3616,-1.1900,-1.2051,-1.2051,1.2051
30.6649,-1.1900,-1.2067,-1.2067,1.2067
30.9712,-1.1900,-1.2102,-1.2102,1.2102
31.2806,-1.1900,-1.2159,-1.2159,1.2159
31.5930,-1.1900,-1.2237,-1.2237,1.2237
31.9086,-1.1900,-1.2338,-1.2338,1.2338
32.2273,-1.2284,-1.2466,-1.2466,1.2466
32.5492,-1.2394,-1.2615,-1.2615,1.2615
32.8744,-1.2400,-1.2786,-1.2786,1.2786
33.2027,-1.2779,-1.2981,-1.2981,1.2981
33.5344,-1.2800,-1.3197,-1.3197,1.3197
33.8694,-1.3270,-1.3437,-1.3437,1.3437
