frequency,raw,smoothed,error,equalization
20.0000,2.9500,3.2960,3.2960,-3.2960
20.1998,3.0599,3.3291,3.3291,-3.3291
20.4015,3.1708,3.3671,3.3671,-3.3671
20.6053,3.2776,3.4083,3.4083,-3.4083
20.8112,3.3905,3.4517,3.4517,-3.4517
21.0190,3.4895,3.4969,3.4969,-3.4969
21.2290,3.5398,3.5436,3.5436,-3.5436
21.4410,3.5802,3.5926,3.5926,-3.5926
21.6552,3.6289,3.6447,3.6447,-3.6447
21.8715,3.6704,3.7010,3.7010,-3.7010
22.0900,3.7300,3.7626,3.7626,-3.7626
22.3106,3.8002,3.8306,3.8306,-3.8306
22.5335,3.8680,3.9034,3.9034,-3.9034
22.7586,3.9495,3.9771,3.9771,-3.9771
22.9859,4.0188,4.0521,4.0521,-4.0521
23.2155,4.0984,4.1286,4.1286,-4.1286
23.4474,4.1791,4.2067,4.2067,-4.2067
23.6816,4.2476,4.2864,4.2864,-4.2864
23.9182,4.3294,4.3674,4.3674,-4.3674
24.1571,4.4288,4.4491,4.4491,-4.4491
24.3984,4.5293,4.5307,4.5307,-4.5307
24.6421,4.6268,4.6115,4.6115,-4.6115
24.8882,4.7392,4.6911,4.6911,-4.6911
25.1368,4.8289,4.7686,4.7686,-4.7686
25.3879,4.9093,4.8438,4.8438,-4.8438
25.6415,4.9874,4.9166,4.9166,-4.9166
25.8976,5.0662,4.9869,4.9869,-4.9869
26.1563,5.1193,5.0545,5.0545,-5.0545
26.4176,5.1486,5.1200,5.1200,-5.1200
26.6815,5.1790,5.1839,5.1839,-5.1839
26.9480,5.2087,5.2469,5.2469,-5.2469
27.2172,5.2671,5.3098,5.3098,-5.3098
27.4890,5.3372,5.3727,5.3727,-5.3727
27.7636,5.4083,5.4359,5.4359,-5.4359
28.0409,5.4777,5.4996,5.4996,-5.4996
28.3210,5.5478,5.5639,5.5639,-5.5639
28.6039,5.6161,5.6290,5.6290,-5.6290
28.8896,5.6874,5.6950,5.6950,-5.6950
29.1782,5.7572,5.7616,5.7616,-5.7616
29.4697,5.8372,5.8289,5.8289,-5.8289
29.7640,5.9157,5.8964,5.8964,-5.8964
30.0613,5.9856,5.9636,5.9636,-5.9636
30.3616,6.0463,6.0304,6.0304,-6.0304
30.6649,6.1070,6.0966,6.0966,-6.0966
30.9712,6.1664,6.1621,6.1621,-6.1621
31.2806,6.2356,6.2267,6.2267,-6.2267
31.5930,6.2967,6.2904,6.2904,-6.2904
31.9086,6.3653,6.3532,6.3532,-6.3532
32.2273,6.4275,6.4150,6.4150,-6.4150
32.5492,6.4769,6.4760,6.4760,-6.4760
32.8744,6.5276,6.5363,6.5363,-6.5363
33.2027,6.5963,6.5958,6.5958,-6.5958
33.5344,6.6762,6.6545,6.6545,-6.6545
33.8694,6.7458,6.7121,6.7121,-6.7121
34.2077,6.7967,6.7686,6.7686,-6.7686
34.5494,6.8376,6.8237,6.8237,-6.8237
34.8945,6.8678,6.8777,6.8777,-6.8777
35.2430,6.9254,6.9310,6.9310,-6.9310
35.5951,6.9950,6.9835,6.9835,-6.9835
35.9506,7.0661,7.0353,7.0353,-7.0353
36.3097,7.1077,7.0864,7.0864,-7.0864
36.6724,7.1470,7.1373,7.1373,-7.1373
37.0387,7.1876,7.1880,7.1880,-7.1880
37.4087,7.2371,7.2384,7.2384,-7.2384
37.7824,7.2864,7.2884,7.2884,-7.2884
38.1598,7.3360,7.3380,7.3380,-7.3380
38.5409,7.3677,7.3873,7.3873,-7.3873
38.9259,7.3981,7.4364,7.4364,-7.4364
39.3147,7.4561,7.4856,7.4856,-7.4856
39.7074,7.5243,7.5346,7.5346,-7.5346
40.1041,7.6028,7.5830,7.5830,-7.5830
40.5046,7.6829,7.6305,7.6305,-7.6305
40.9092,7.7638,7.6763,7.6763,-7.6763
41.3179,7.7792,7.7198,7.7198,-7.7198
41.7306,7.7800,7.7614,7.7614,-7.7614
42.1474,7.7984,7.8019,7.8019,-7.8019
42.5684,7.8370,7.8418,7.8418,-7.8418
42.9936,7.8766,7.8811,7.8811,-7.8811
43.4231,7.9257,7.9195,7.9195,-7.9195
43.8568,7.9661,7.9565,7.9565,-7.9565
44.2949,8.0067,7.9923,7.9923,-7.9923
44.7374,8.0372,8.0273,8.0273,-8.0273
45.1842,8.0580,8.0620,8.0620,-8.0620
45.6356,8.0690,8.0967,8.0967,-8.0967
46.0914,8.0974,8.1320,8.1320,-8.1320
46.5518,8.1718,8.1684,8.1684,-8.1684
47.0168,8.2344,8.2051,8.2051,-8.2051
47.4864,8.2672,8.2414,8.2414,-8.2414
47.9608,8.2879,8.2774,8.2774,-8.2774
48.4398,8.2900,8.3135,8.3135,-8.3135
48.9237,8.2900,8.3502,8.3502,-8.3502
49.4124,8.3713,8.3881,8.3881,-8.3881
49.9059,8.4603,8.4261,8.4261,-8.4261
50.4044,8.4789,8.4634,8.4634,-8.4634
50.9079,8.4890,8.5003,8.5003,-8.5003
51.4164,8.5347,8.5370,8.5370,-8.5370
51.9300,8.5842,8.5729,8.5729,-8.5729
52.4487,8.6165,8.6079,8.6079,-8.6079
