frequency,raw,smoothed,error,equalization
20.0000,-3.0100,-3.0556,-3.0556,3.0556
20.1998,-3.0200,-3.0617,-3.0617,3.0617
20.4015,-3.0301,-3.0690,-3.0690,3.0690
20.6053,-3.0496,-3.0771,-3.0771,3.0771
20.8112,-3.0601,-3.0861,-3.0861,3.0861
21.0190,-3.0700,-3.0959,-3.0959,3.0959
21.2290,-3.0899,-3.1068,-3.1068,3.1068
21.4410,-3.1001,-3.1187,-3.1187,3.1187
21.6552,-3.1196,-3.1319,-3.1319,3.1319
21.8715,-3.1401,-3.1465,-3.1465,3.1465
22.0900,-3.1500,-3.1627,-3.1627,3.1627
22.3106,-3.1701,-3.1808,-3.1808,3.1808
22.5335,-3.1894,-3.2007,-3.2007,3.2007
22.7586,-3.2099,-3.2215,-3.2215,3.2215
22.9859,-3.2296,-3.2434,-3.2434,3.2434
23.2155,-3.2496,-3.2662,-3.2662,3.2662
23.4474,-3.2698,-3.2901,-3.2901,3.2901
23.6816,-3.2990,-3.3150,-3.3150,3.3150
23.9182,-3.3298,-3.3408,-3.3408,3.3408
24.1571,-3.3596,-3.3674,-3.3674,3.3674
24.3984,-3.3898,-3.3946,-3.3946,3.3946
24.6421,-3.4191,-3.4222,-3.4222,3.4222
24.8882,-3.4498,-3.4500,-3.4500,3.4500
25.1368,-3.4796,-3.4780,-3.4780,3.4780
25.3879,-3.5098,-3.5059,-3.5059,3.5059
25.6415,-3.5390,-3.5335,-3.5335,3.5335
25.8976,-3.5686,-3.5606,-3.5606,3.5606
26.1563,-3.5996,-3.5870,-3.5870,3.5870
26.4176,-3.6286,-3.6125,-3.6125,3.6125
26.6815,-3.6493,-3.6369,-3.6369,3.6369
26.9480,-3.6787,-3.6602,-3.6602,3.6602
27.2172,-3.6990,-3.6821,-3.6821,3.6821
27.4890,-3.7192,-3.7027,-3.7027,3.7027
27.7636,-3.7395,-3.7220,-3.7220,3.7220
28.0409,-3.7594,-3.7397,-3.7397,3.7397
28.3210,-3.7794,-3.7559,-3.7559,3.7559
28.6039,-3.7894,-3.7704,-3.7704,3.7704
28.8896,-3.7996,-3.7831,-3.7831,3.7831
29.1782,-3.8096,-3.7941,-3.7941,3.7941
29.4697,-3.8196,-3.8034,-3.8034,3.8034
29.7640,-3.8295,-3.8109,-3.8109,3.8109
30.0613,-3.8394,-3.8166,-3.8166,3.8166
30.3616,-3.8400,-3.8204,-3.8204,3.8204
30.6649,-3.8495,-3.8224,-3.8224,3.8224
30.9712,-3.8500,-3.8223,-3.8223,3.8223
31.2806,-3.8500,-3.8201,-3.8201,3.8201
31.5930,-3.8405,-3.8160,-3.8160,3.8160
31.9086,-3.8307,-3.8098,-3.8098,3.8098
32.2273,-3.8204,-3.8016,-3.8016,3.8016
32.5492,-3.8106,-3.7915,-3.7915,3.7915
32.8744,-3.8005,-3.7793,-3.7793,3.7793
33.2027,-3.7905,-3.7650,-3.7650,3.7650
33.5344,-3.7709,-3.7487,-3.7487,3.7487
33.8694,-3.7512,-3.7301,-3.7301,3.7301
34.2077,-3.7313,-3.7095,-3.7095,3.7095
34.5494,-3.7112,-3.6868,-3.6868,3.6868
34.8945,-3.6915,-3.6619,-3.6619,3.6619
35.2430,-3.6623,-3.6348,-3.6348,3.6348
35.5951,-3.6321,-3.6055,-3.6055,3.6055
35.9506,-3.6017,-3.5739,-3.5739,3.5739
36.3097,-3.5623,-3.5401,-3.5401,3.5401
36.6724,-3.5322,-3.5040,-3.5040,3.5040
37.0387,-3.4924,-3.4657,-3.4657,3.4657
37.4087,-3.4523,-3.4251,-3.4251,3.4251
37.7824,-3.4036,-3.3823,-3.3823,3.3823
38.1598,-3.3632,-3.3375,-3.3375,3.3375
38.5409,-3.3138,-3.2907,-3.2907,3.2907
38.9259,-3.2632,-3.2419,-3.2419,3.2419
39.3147,-3.2132,-3.1915,-3.1915,3.1915
39.7074,-3.1549,-3.1394,-3.1394,3.1394
40.1041,-3.1045,-3.0861,-3.0861,3.0861
40.5046,-3.0453,-3.0314,-3.0314,3.0314
40.9092,-2.9846,-2.9758,-2.9758,2.9758
41.3179,-2.9247,-2.9193,-2.9193,2.9193
41.7306,-2.8643,-2.8624,-2.8624,2.8624
42.1474,-2.8047,-2.8051,-2.8051,2.8051
42.5684,-2.7445,-2.7477,-2.7477,2.7477
42.9936,-2.6851,-2.6904,-2.6904,2.6904
43.4231,-2.6252,-2.6334,-2.6334,2.6334
43.8568,-2.5659,-2.5770,-2.5770,2.5770
44.2949,-2.5141,-2.5214,-2.5214,2.5214
44.7374,-2.4557,-2.4665,-2.4665,2.4665
45.1842,-2.3961,-2.4127,-2.4127,2.4127
45.6356,-2.3449,-2.3600,-2.3600,2.3600
46.0914,-2.2943,-2.3086,-2.3086,2.3086
46.5518,-2.2362,-2.2585,-2.2585,2.2585
47.0168,-2.1938,-2.2098,-2.2098,2.2098
47.4864,-2.1446,-2.1626,-2.1626,2.1626
47.9608,-2.0951,-2.1168,-2.1168,2.1168
48.4398,-2.0542,-2.0726,-2.0726,2.0726
48.9237,-2.0139,-2.0298,-2.0298,2.0298
49.4124,-1.9739,-1.9884,-1.9884,1.9884
49.9059,-1.9343,-1.9483,-1.9483,1.9483
50.4044,-1.8944,-1.9096,-1.9096,1.9096
50.9079,-1.8542,-1.8722,-1.8722,1.8722
51.4164,-1.8232,-1.8361,-1.8361,1.8361
51.9300,-1.7935,-1.8011,-1.8011,1.8011
52.4487,-1.7547,-1.7670,-1.7670,1.7670
52.9726,-1.7233,-1.7340,-1.7340,1.7340
53.5018,-1.6933,-1.7018,-1.7018,1.7018
54.0362,-1.6635,-1.6704,-1.6704,1.6704
54.5759,-1.6336,-1.6398,-1.6398,1.6398
55.1211,-1.6033,-1.6099,-1.6099,1.6099
55.6717,-1.5737,-1.5806,-1.5806,1.5806
56.2278,-1.5434,-1.5520,-1.5520,1.5520
56.7894,-1.5225,-1.5240,-1.5240,1.5240
57.3567,-1.4934,-1.4964,-1.4964,1.4964
57.9296,-1.4636,-1.4693,-1.4693,1.4693
58.5082,-1.4337,-1.4427,-1.4427,1.4427
59.0927,-1.4123,-1.4166,-1.4166,1.4166
59.6829,-1.3839,-1.3910,-1.3910,1.3910
60.2791,-1.3624,-1.3657,-1.3657,1.3657
60.8812,-1.3339,-1.3408,-1.3408,1.3408
61.4893,-1.3126,-1.3162,-1.3162,1.3162
62.1035,-1.2925,-1.2920,-1.2920,1.2920
62.7239,-1.2637,-1.2680,-1.2680,1.2680
63.3504,-1.2425,-1.2443,-1.2443,1.2443
63.9832,-1.2227,-1.2207,-1.2207,1.2207
64.6223,-1.1941,-1.1974,-1.1974,1.1974
65.2678,-1.1726,-1.1742,-1.1742,1.1742
65.9198,-1.1527,-1.1512,-1.1512,1.1512
66.5782,-1.1242,-1.1282,-1.1282,1.1282
67.2433,-1.1026,-1.1053,-1.1053,1.1053
67.9149,-1.0828,-1.0824,-1.0824,1.0824
68.5933,-1.0628,-1.0595,-1.0595,1.0595
69.2785,-1.0340,-1.0364,-1.0364,1.0364
69.9705,-1.0128,-1.0133,-1.0133,1.0133
70.6694,-0.9929,-0.9900,-0.9900,0.9900
71.3753,-0.9729,-0.9665,-0.9665,0.9665
72.0883,-0.9443,-0.9427,-0.9427,0.9427
72.8083,-0.9228,-0.9186,-0.9186,0.9186
73.5356,-0.9029,-0.8940,-0.8940,0.8940
74.2701,-0.8745,-0.8690,-0.8690,0.8690
75.0120,-0.8529,-0.8434,-0.8434,0.8434
75.7613,-0.8243,-0.8172,-0.8172,0.8172
76.5180,-0.7944,-0.7905,-0.7905,0.7905
77.2824,-0.7731,-0.7632,-0.7632,0.7632
78.0543,-0.7445,-0.7352,-0.7352,0.7352
78.8340,-0.7145,-0.7067,-0.7067,0.7067
79.6214,-0.6845,-0.6775,-0.6775,0.6775
80.4168,-0.6546,-0.6479,-0.6479,0.6479
81.2200,-0.6248,-0.6178,-0.6178,0.6178
82.0313,-0.5948,-0.5873,-0.5873,0.5873
82.8507,-0.5563,-0.5564,-0.5564,0.5564
83.6783,-0.5248,-0.5254,-0.5254,0.5254
84.5141,-0.4949,-0.4942,-0.4942,0.4942
85.3583,-0.4650,-0.4631,-0.4631,0.4631
86.2109,-0.4265,-0.4320,-0.4320,0.4320
87.0721,-0.3951,-0.4011,-0.4011,0.4011
87.9418,-0.3651,-0.3705,-0.3705,0.3705
88.8203,-0.3351,-0.3404,-0.3404,0.3404
89.7075,-0.3051,-0.3107,-0.3107,0.3107
90.6035,-0.2752,-0.2815,-0.2815,0.2815
91.5085,-0.2450,-0.2530,-0.2530,0.2530
92.4226,-0.2151,-0.2252,-0.2252,0.2252
