frequency,raw,smoothed,error,equalization
20.0000,-0.4300,-0.1560,-0.1560,0.1560
20.1998,-0.3501,-0.1256,-0.1256,0.1256
20.4015,-0.2694,-0.0908,-0.0908,0.0908
20.6053,-0.1918,-0.0530,-0.0530,0.0530
20.8112,-0.1096,-0.0123,-0.0123,0.0123
21.0190,-0.0304,0.0309,0.0309,-0.0309
21.2290,0.0297,0.0768,0.0768,-0.0768
21.4410,0.1003,0.1260,0.1260,-0.1260
21.6552,0.1685,0.1786,0.1786,-0.1786
21.8715,0.2304,0.2351,0.2351,-0.2351
22.0900,0.2900,0.2958,0.2958,-0.2958
22.3106,0.3502,0.3615,0.3615,-0.3615
22.5335,0.4083,0.4306,0.4306,-0.4306
22.7586,0.4696,0.4997,0.4997,-0.4997
22.9859,0.5289,0.5688,0.5688,-0.5688
23.2155,0.6182,0.6383,0.6383,-0.6383
23.4474,0.7090,0.7078,0.7078,-0.7078
23.6816,0.8065,0.7769,0.7769,-0.7769
23.9182,0.8993,0.8450,0.8450,-0.8450
24.1571,0.9593,0.9116,0.9116,-0.9116
24.3984,1.0097,0.9766,0.9766,-0.9766
24.6421,1.0584,1.0405,1.0405,-1.0405
24.8882,1.1096,1.1035,1.1035,-1.1035
25.1368,1.1692,1.1658,1.1658,-1.1658
25.3879,1.2295,1.2270,1.2270,-1.2270
25.6415,1.2977,1.2869,1.2869,-1.2869
25.8976,1.3667,1.3449,1.3449,-1.3449
26.1563,1.4193,1.4007,1.4007,-1.4007
26.4176,1.4582,1.4546,1.4546,-1.4546
26.6815,1.5084,1.5072,1.5072,-1.5072
26.9480,1.5482,1.5588,1.5588,-1.5588
27.2172,1.6167,1.6097,1.6097,-1.6097
27.4890,1.6968,1.6592,1.6592,-1.6592
27.7636,1.7683,1.7066,1.7066,-1.7066
28.0409,1.8281,1.7510,1.7510,-1.7510
28.3210,1.8397,1.7921,1.7921,-1.7921
28.6039,1.8400,1.8302,1.8302,-1.8302
28.8896,1.8496,1.8658,1.8658,-1.8658
29.1782,1.8884,1.9000,1.9000,-1.9000
29.4697,1.9575,1.9330,1.9330,-1.9330
29.7640,2.0168,1.9649,1.9649,-1.9649
30.0613,2.0669,1.9956,1.9956,-1.9956
30.3616,2.0700,2.0253,2.0253,-2.0253
30.6649,2.0700,2.0548,2.0548,-2.0548
30.9712,2.0700,2.0852,2.0852,-2.0852
31.2806,2.0700,2.1178,2.1178,-2.1178
31.5930,2.0700,2.1534,2.1534,-2.1534
31.9086,2.0700,2.1923,2.1923,-2.1923
32.2273,2.1275,2.2346,2.2346,-2.2346
32.5492,2.1956,2.2798,2.2798,-2.2798
32.8744,2.2761,2.3277,2.3277,-2.3277
33.2027,2.3463,2.3779,2.3779,-2.3779
33.5344,2.4262,2.4302,2.4302,-2.4302
33.8694,2.4958,2.4837,2.4837,-2.4837
34.2077,2.5747,2.5378,2.5378,-2.5378
34.5494,2.6551,2.5912,2.5912,-2.5912
34.8945,2.7342,2.6427,2.6427,-2.6427
35.2430,2.7585,2.6912,2.6912,-2.6912
35.5951,2.7600,2.7363,2.7363,-2.7363
35.9506,2.7600,2.7780,2.7780,-2.7780
36.3097,2.8355,2.8157,2.8157,-2.8157
36.6724,2.9140,2.8483,2.8483,-2.8483
37.0387,2.9859,2.8748,2.8748,-2.8748
37.4087,2.9900,2.8945,2.8945,-2.8945
37.7824,2.9900,2.9078,2.9078,-2.9078
38.1598,2.9900,2.9147,2.9147,-2.9147
38.5409,2.9900,2.9150,2.9150,-2.9150
38.9259,2.9900,2.9087,2.9087,-2.9087
39.3147,2.9900,2.8955,2.8955,-2.8955
39.7074,2.9900,2.8754,2.8754,-2.8754
40.1041,2.9627,2.8486,2.8486,-2.8486
40.5046,2.8780,2.8153,2.8153,-2.8153
40.9092,2.7777,2.7769,2.7769,-2.7769
41.3179,2.7608,2.7351,2.7351,-2.7351
41.7306,2.7600,2.6904,2.6904,-2.6904
42.1474,2.7231,2.6423,2.6423,-2.6423
42.5684,2.6275,2.5902,2.5902,-2.5902
42.9936,2.5285,2.5336,2.5336,-2.5336
43.4231,2.4286,2.4714,2.4714,-2.4714
43.8568,2.3298,2.4021,2.4021,-2.4021
44.2949,2.3016,2.3237,2.3237,-2.3237
44.7374,2.3000,2.2333,2.2333,-2.2333
45.1842,2.2910,2.1283,2.1283,-2.1283
45.6356,2.2630,2.0068,2.0068,-2.0068
46.0914,2.2234,1.8669,1.8669,-1.8669
46.5518,2.1482,1.7071,1.7071,-1.7071
47.0168,2.0494,1.5279,1.5279,-1.5279
47.4864,1.8132,1.3304,1.3304,-1.3304
