frequency,raw,smoothed,error,equalization
20.0000,0.6500,0.9708,0.9708,-0.9708
20.1998,0.7099,1.0148,1.0148,-1.0148
20.4015,0.7808,1.0658,1.0658,-1.0658
20.6053,0.8876,1.1230,1.1230,-1.1230
20.8112,1.0005,1.1852,1.1852,-1.1852
21.0190,1.0995,1.2522,1.2522,-1.2522
21.2290,1.2095,1.3242,1.3242,-1.3242
21.4410,1.3405,1.4012,1.4012,-1.4012
21.6552,1.4476,1.4833,1.4833,-1.4833
21.8715,1.5608,1.5712,1.5712,-1.5712
22.0900,1.6700,1.6656,1.6656,-1.6656
22.3106,1.7803,1.7676,1.7676,-1.7676
22.5335,1.8869,1.8749,1.8749,-1.8749
22.7586,1.9993,1.9822,1.9822,-1.9822
22.9859,2.0786,2.0891,2.0891,-2.0891
23.2155,2.1879,2.1956,2.1956,-2.1956
23.4474,2.2988,2.3016,2.3016,-2.3016
23.6816,2.4062,2.4070,2.4070,-2.4070
23.9182,2.5191,2.5114,2.5114,-2.5114
24.1571,2.6287,2.6149,2.6149,-2.6149
24.3984,2.7293,2.7171,2.7171,-2.7171
24.6421,2.8365,2.8181,2.8181,-2.8181
24.8882,2.9492,2.9177,2.9177,-2.9177
25.1368,3.0389,3.0157,3.0157,-3.0157
25.3879,3.1491,3.1121,3.1121,-3.1121
25.6415,3.2274,3.2065,3.2065,-3.2065
25.8976,3.3157,3.2993,3.2993,-3.2993
26.1563,3.4284,3.3903,3.3903,-3.3903
26.4176,3.4872,3.4794,3.4794,-3.4794
26.6815,3.5964,3.5669,3.5669,-3.5669
26.9480,3.6573,3.6526,3.6526,-3.6526
27.2172,3.7552,3.7371,3.7371,-3.7371
27.4890,3.8272,3.8201,3.8201,-3.8201
27.7636,3.9179,3.9019,3.9019,-3.9019
28.0409,3.9974,3.9824,3.9824,-3.9824
28.3210,4.0581,4.0617,4.0617,-4.0617
28.6039,4.1450,4.1402,4.1402,-4.1402
28.8896,4.2270,4.2177,4.2177,-4.2177
29.1782,4.3067,4.2939,4.2939,-4.2939
29.4697,4.3872,4.3689,4.3689,-4.3689
29.7640,4.4563,4.4424,4.4424,-4.4424
30.0613,4.5350,4.5145,4.5145,-4.5145
30.3616,4.6057,4.5848,4.5848,-4.5848
30.6649,4.6765,4.6532,4.6532,-4.6532
30.9712,4.7458,4.7194,4.7194,-4.7194
31.2806,4.8062,4.7834,4.7834,-4.7834
31.5930,4.8762,4.8451,4.8451,-4.8451
31.9086,4.9453,4.9041,4.9041,-4.9041
32.2273,4.9980,4.9603,4.9603,-4.9603
32.5492,5.0469,5.0137,5.0137,-5.0137
32.8744,5.0976,5.0643,5.0643,-5.0643
33.2027,5.1569,5.1123,5.1123,-5.1123
33.5344,5.1886,5.1576,5.1576,-5.1576
33.8694,5.2370,5.2004,5.2004,-5.2004
34.2077,5.2680,5.2409,5.2409,-5.2409
34.5494,5.2982,5.2793,5.2793,-5.2793
34.8945,5.3278,5.3162,5.3162,-5.3162
35.2430,5.3669,5.3518,5.3518,-5.3518
35.5951,5.3886,5.3863,5.3863,-5.3863
35.9506,5.4278,5.4202,5.4202,-5.4202
