frequency,raw,smoothed,error,equalization
20.0000,-1.3400,-1.1702,-1.1702,1.1702
20.1998,-1.2901,-1.1491,-1.1491,1.1491
20.4015,-1.2496,-1.1247,-1.1247,1.1247
20.6053,-1.2011,-1.0974,-1.0974,1.0974
20.8112,-1.1498,-1.0674,-1.0674,1.0674
21.0190,-1.1102,-1.0343,-1.0343,1.0343
21.2290,-1.0503,-0.9979,-0.9979,0.9979
21.4410,-0.9998,-0.9578,-0.9578,0.9578
21.6552,-0.9511,-0.9138,-0.9138,0.9138
21.8715,-0.8997,-0.8655,-0.8655,0.8655
22.0900,-0.8500,-0.8124,-0.8124,0.8124
22.3106,-0.7898,-0.7541,-0.7541,0.7541
22.5335,-0.7317,-0.6916,-0.6916,0.6916
22.7586,-0.6704,-0.6278,-0.6278,0.6278
22.9859,-0.6111,-0.5631,-0.5631,0.5631
23.2155,-0.5218,-0.4978,-0.4978,0.4978
23.4474,-0.4211,-0.4327,-0.4327,0.4327
23.6816,-0.3331,-0.3686,-0.3686,0.3686
23.9182,-0.2308,-0.3062,-0.3062,0.3062
24.1571,-0.1707,-0.2464,-0.2464,0.2464
24.3984,-0.1203,-0.1892,-0.1892,0.1892
24.6421,-0.0813,-0.1346,-0.1346,0.1346
24.8882,-0.0304,-0.0823,-0.0823,0.0823
25.1368,0.0095,-0.0323,-0.0323,0.0323
25.3879,0.0398,0.0159,0.0159,-0.0159
25.6415,0.0690,0.0626,0.0626,-0.0626
25.8976,0.0986,0.1085,0.1085,-0.1085
26.1563,0.1296,0.1539,0.1539,-0.1539
26.4176,0.1682,0.1996,0.1996,-0.1996
26.6815,0.2087,0.2463,0.2463,-0.2463
26.9480,0.2387,0.2943,0.2943,-0.2943
27.2172,0.2971,0.3439,0.3439,-0.3439
27.4890,0.3672,0.3949,0.3949,-0.3949
27.7636,0.4286,0.4466,0.4466,-0.4466
28.0409,0.4881,0.4988,0.4988,-0.4988
28.3210,0.5578,0.5513,0.5513,-0.5513
28.6039,0.6167,0.6040,0.6040,-0.6040
28.8896,0.6874,0.6564,0.6564,-0.6564
29.1782,0.7476,0.7078,0.7078,-0.7078
29.4697,0.8079,0.7576,0.7576,-0.7576
29.7640,0.8668,0.8053,0.8053,-0.8053
30.0613,0.9075,0.8508,0.8508,-0.8508
30.3616,0.9194,0.8943,0.8943,-0.8943
30.6649,0.9295,0.9363,0.9363,-0.9363
30.9712,0.9394,0.9773,0.9773,-0.9773
31.2806,1.0056,1.0175,1.0175,-1.0175
31.5930,1.0667,1.0568,1.0568,-1.0568
31.9086,1.1353,1.0951,1.0951,-1.0951
32.2273,1.1592,1.1325,1.1325,-1.1325
32.5492,1.1600,1.1696,1.1696,-1.1696
32.8744,1.1600,1.2066,1.2066,-1.2066
33.2027,1.2074,1.2442,1.2442,-1.2442
33.5344,1.2862,1.2822,1.2822,-1.2822
33.8694,1.3558,1.3198,1.3198,-1.3198
34.2077,1.3880,1.3566,1.3566,-1.3566
34.5494,1.3900,1.3926,1.3926,-1.3926
34.8945,1.3900,1.4283,1.4283,-1.4283
35.2430,1.4454,1.4642,1.4642,-1.4642
35.5951,1.5243,1.4999,1.4999,-1.4999
35.9506,1.6056,1.5350,1.5350,-1.5350
36.3097,1.6194,1.5684,1.5684,-1.5684
36.6724,1.6200,1.6001,1.6001,-1.6001
37.0387,1.6200,1.6304,1.6304,-1.6304
37.4087,1.6388,1.6602,1.6602,-1.6602
37.7824,1.6585,1.6901,1.6901,-1.6901
38.1598,1.6968,1.7206,1.7206,-1.7206
38.5409,1.7646,1.7514,1.7514,-1.7514
38.9259,1.8356,1.7818,1.7818,-1.7818
39.3147,1.8494,1.8107,1.8107,-1.8107
39.7074,1.8500,1.8381,1.8381,-1.8381
40.1041,1.8500,1.8644,1.8644,-1.8644
40.5046,1.8500,1.8904,1.8904,-1.8904
40.9092,1.8500,1.9172,1.9172,-1.9172
41.3179,1.9237,1.9453,1.9453,-1.9453
41.7306,2.0228,1.9739,1.9739,-1.9739
42.1474,2.0761,2.0017,2.0017,-2.0017
42.5684,2.0800,2.0279,2.0279,-2.0279
42.9936,2.0800,2.0527,2.0527,-2.0527
43.4231,2.0800,2.0766,2.0766,-2.0766
43.8568,2.0800,2.0999,2.0999,-2.0999
44.2949,2.0800,2.1231,2.1231,-2.1231
44.7374,2.0800,2.1462,2.1462,-2.1462
45.1842,2.1249,2.1692,2.1692,-2.1692
45.6356,2.2201,2.1915,2.1915,-2.1915
46.0914,2.2940,2.2116,2.2116,-2.2116
46.5518,2.3000,2.2288,2.2288,-2.2288
47.0168,2.3000,2.2434,2.2434,-2.2434
47.4864,2.3000,2.2561,2.2561,-2.2561
47.9608,2.3000,2.2678,2.2678,-2.2678
48.4398,2.3000,2.2792,2.2792,-2.2792
48.9237,2.3000,2.2906,2.2906,-2.2906
49.4124,2.3000,2.3021,2.3021,-2.3021
49.9059,2.3000,2.3137,2.3137,-2.3137
50.4044,2.3000,2.3253,2.3253,-2.3253
50.9079,2.3000,2.3371,2.3371,-2.3371
51.4164,2.3000,2.3496,2.3496,-2.3496
51.9300,2.3000,2.3635,2.3635,-2.3635
52.4487,2.3000,2.3790,2.3790,-2.3790
52.9726,2.3089,2.3962,2.3962,-2.3962
53.5018,2.4168,2.4149,2.4149,-2.4149
54.0362,2.5182,2.4337,2.4337,-2.4337
54.5759,2.5300,2.4509,2.4509,-2.4509
55.1211,2.5300,2.4664,2.4664,-2.4664
55.6717,2.5300,2.4802,2.4802,-2.4802
56.2278,2.5300,2.4923,2.4923,-2.4923
56.7894,2.5300,2.5027,2.5027,-2.5027
57.3567,2.5300,2.5114,2.5114,-2.5114
57.9296,2.5300,2.5185,2.5185,-2.5185
58.5082,2.5300,2.5238,2.5238,-2.5238
59.0927,2.5300,2.5274,2.5274,-2.5274
59.6829,2.5300,2.5293,2.5293,-2.5293
60.2791,2.5300,2.5299,2.5299,-2.5299
60.8812,2.5300,2.5300,2.5300,-2.5300
