frequency,raw,smoothed,error,equalization
20.0000,-2.5700,-2.3382,-2.3382,2.3382
20.1998,-2.5001,-2.3109,-2.3109,2.3109
20.4015,-2.4395,-2.2796,-2.2796,2.2796
20.6053,-2.3716,-2.2452,-2.2452,2.2452
20.8112,-2.3096,-2.2081,-2.2081,2.2081
21.0190,-2.2403,-2.1684,-2.1684,2.1684
21.2290,-2.1803,-2.1262,-2.1262,2.1262
21.4410,-2.1197,-2.0814,-2.0814,2.0814
21.6552,-2.0515,-2.0338,-2.0338,2.0338
21.8715,-1.9896,-1.9830,-1.9830,1.9830
22.0900,-1.9300,-1.9286,-1.9286,1.9286
22.3106,-1.8598,-1.8701,-1.8701,1.8701
22.5335,-1.8017,-1.8089,-1.8089,1.8089
22.7586,-1.7404,-1.7482,-1.7482,1.7482
22.9859,-1.6811,-1.6881,-1.6881,1.6881
23.2155,-1.6212,-1.6286,-1.6286,1.6286
23.4474,-1.5607,-1.5698,-1.5698,1.5698
23.6816,-1.5021,-1.5116,-1.5116,1.5116
23.9182,-1.4504,-1.4541,-1.4541,1.4541
24.1571,-1.3907,-1.3972,-1.3972,1.3972
24.3984,-1.3304,-1.3410,-1.3410,1.3410
24.6421,-1.2816,-1.2855,-1.2855,1.2855
24.8882,-1.2204,-1.2307,-1.2307,1.2307
25.1368,-1.1706,-1.1766,-1.1766,1.1766
25.3879,-1.1105,-1.1232,-1.1232,1.1232
25.6415,-1.0616,-1.0706,-1.0706,1.0706
25.8976,-1.0124,-1.0187,-1.0187,1.0187
26.1563,-0.9607,-0.9674,-0.9674,0.9674
26.4176,-0.9123,-0.9168,-0.9168,0.9168
26.6815,-0.8520,-0.8670,-0.8670,0.8670
26.9480,-0.8118,-0.8181,-0.8181,0.8181
27.2172,-0.7624,-0.7702,-0.7702,0.7702
27.4890,-0.7120,-0.7232,-0.7232,0.7232
27.7636,-0.6709,-0.6773,-0.6773,0.6773
28.0409,-0.6216,-0.6323,-0.6323,0.6323
28.3210,-0.5716,-0.5884,-0.5884,0.5884
28.6039,-0.5322,-0.5457,-0.5457,0.5457
28.8896,-0.4818,-0.5041,-0.5041,0.5041
29.1782,-0.4416,-0.4637,-0.4637,0.4637
29.4697,-0.4014,-0.4245,-0.4245,0.4245
29.7640,-0.3716,-0.3862,-0.3862,0.3862
30.0613,-0.3419,-0.3484,-0.3484,0.3484
30.3616,-0.3118,-0.3104,-0.3104,0.3104
30.6649,-0.2720,-0.2716,-0.2716,0.2716
30.9712,-0.2418,-0.2318,-0.2318,0.2318
31.2806,-0.2025,-0.1905,-0.1905,0.1905
31.5930,-0.1716,-0.1477,-0.1477,0.1477
31.9086,-0.1420,-0.1034,-0.1034,0.1034
32.2273,-0.1112,-0.0575,-0.0575,0.0575
32.5492,-0.0725,-0.0099,-0.0099,0.0099
32.8744,-0.0320,0.0392,0.0392,-0.0392
33.2027,0.0363,0.0897,0.0897,-0.0897
33.5344,0.1162,0.1410,0.1410,-0.1410
33.8694,0.2139,0.1923,0.1923,-0.1923
34.2077,0.3041,0.2423,0.2423,-0.2423
34.5494,0.3758,0.2901,0.2901,-0.2901
