frequency,raw,smoothed,error,equalization
20.0000,-6.0700,-5.7126,-5.7126,5.7126
20.1998,-5.9601,-5.6752,-5.6752,5.6752
20.4015,-5.8492,-5.6327,-5.6327,5.6327
20.6053,-5.7424,-5.5870,-5.5870,5.5870
20.8112,-5.6395,-5.5391,-5.5391,5.5391
21.0190,-5.5504,-5.4897,-5.4897,5.4897
21.2290,-5.4704,-5.4388,-5.4388,5.4388
21.4410,-5.3897,-5.3864,-5.3864,5.3864
21.6552,-5.3215,-5.3323,-5.3323,5.3323
21.8715,-5.2495,-5.2761,-5.2761,5.2761
22.0900,-5.1800,-5.2172,-5.2172,5.2172
22.3106,-5.1098,-5.1552,-5.1552,5.1552
22.5335,-5.0517,-5.0921,-5.0921,5.0921
22.7586,-4.9904,-5.0320,-5.0320,5.0320
22.9859,-4.9409,-4.9747,-4.9747,4.9747
23.2155,-4.9008,-4.9198,-4.9198,4.9198
23.4474,-4.8605,-4.8667,-4.8667,4.8667
23.6816,-4.8117,-4.8150,-4.8150,4.8150
23.9182,-4.7703,-4.7642,-4.7642,4.7642
24.1571,-4.7206,-4.7138,-4.7138,4.7138
24.3984,-4.6703,-4.6635,-4.6635,4.6635
24.6421,-4.6119,-4.6128,-4.6128,4.6128
24.8882,-4.5604,-4.5616,-4.5616,4.5616
25.1368,-4.5106,-4.5095,-4.5095,4.5095
25.3879,-4.4703,-4.4562,-4.4562,4.4562
25.6415,-4.4216,-4.4014,-4.4014,4.4014
25.8976,-4.3819,-4.3446,-4.3446,4.3446
26.1563,-4.3307,-4.2857,-4.2857,4.2857
26.4176,-4.2728,-4.2244,-4.2244,4.2244
26.6815,-4.2023,-4.1608,-4.1608,4.1608
26.9480,-4.1331,-4.0950,-4.0950,4.0950
27.2172,-4.0538,-4.0270,-4.0270,4.0270
27.4890,-3.9732,-3.9571,-3.9571,3.9571
27.7636,-3.8919,-3.8857,-3.8857,3.8857
28.0409,-3.8223,-3.8133,-3.8133,3.8133
28.3210,-3.7426,-3.7401,-3.7401,3.7401
28.6039,-3.6644,-3.6668,-3.6668,3.6668
28.8896,-3.5926,-3.5940,-3.5940,3.5940
29.1782,-3.5133,-3.5220,-3.5220,3.5220
29.4697,-3.4328,-3.4515,-3.4515,3.4515
29.7640,-3.3543,-3.3829,-3.3829,3.3829
30.0613,-3.2750,-3.3166,-3.3166,3.3166
30.3616,-3.1949,-3.2528,-3.2528,3.2528
30.6649,-3.1235,-3.1921,-3.1921,3.1921
30.9712,-3.0730,-3.1345,-3.1345,3.1345
31.2806,-3.0325,-3.0798,-3.0798,3.0798
31.5930,-2.9922,-3.0277,-3.0277,3.0277
31.9086,-2.9620,-2.9780,-2.9780,2.9780
32.2273,-2.9216,-2.9300,-2.9300,2.9300
32.5492,-2.8825,-2.8834,-2.8834,2.8834
32.8744,-2.8420,-2.8380,-2.8380,2.8380
33.2027,-2.8021,-2.7933,-2.7933,2.7933
33.5344,-2.7524,-2.7490,-2.7490,2.7490
33.8694,-2.7124,-2.7047,-2.7047,2.7047
34.2077,-2.6726,-2.6601,-2.6601,2.6601
34.5494,-2.6324,-2.6150,-2.6150,2.6150
34.8945,-2.5836,-2.5691,-2.5691,2.5691
35.2430,-2.5339,-2.5226,-2.5226,2.5226
35.5951,-2.4836,-2.4756,-2.4756,2.4756
35.9506,-2.4328,-2.4284,-2.4284,2.4284
36.3097,-2.3828,-2.3810,-2.3810,2.3810
36.6724,-2.3337,-2.3336,-2.3336,2.3336
37.0387,-2.2830,-2.2862,-2.2862,2.2862
37.4087,-2.2235,-2.2391,-2.2391,2.2391
37.7824,-2.1736,-2.1926,-2.1926,2.1926
38.1598,-2.1240,-2.1469,-2.1469,2.1469
38.5409,-2.0831,-2.1021,-2.1021,2.1021
38.9259,-2.0425,-2.0582,-2.0582,2.0582
39.3147,-2.0119,-2.0154,-2.0154,2.0154
39.7074,-1.9733,-1.9734,-1.9734,1.9734
40.1041,-1.9336,-1.9321,-1.9321,1.9321
40.5046,-1.8844,-1.8916,-1.8916,1.8916
40.9092,-1.8338,-1.8519,-1.8519,1.8519
41.3179,-1.7931,-1.8132,-1.8132,1.8132
41.7306,-1.7622,-1.7754,-1.7754,1.7754
42.1474,-1.7323,-1.7385,-1.7385,1.7385
42.5684,-1.7023,-1.7022,-1.7022,1.7022
42.9936,-1.6634,-1.6662,-1.6662,1.6662
43.4231,-1.6234,-1.6305,-1.6305,1.6305
43.8568,-1.5929,-1.5953,-1.5953,1.5953
44.2949,-1.5624,-1.5606,-1.5606,1.5606
44.7374,-1.5238,-1.5264,-1.5264,1.5264
45.1842,-1.4841,-1.4929,-1.4929,1.4929
45.6356,-1.4530,-1.4601,-1.4601,1.4601
46.0914,-1.4226,-1.4281,-1.4281,1.4281
46.5518,-1.3931,-1.3967,-1.3967,1.3967
47.0168,-1.3628,-1.3660,-1.3660,1.3660
47.4864,-1.3237,-1.3361,-1.3361,1.3361
47.9608,-1.2841,-1.3074,-1.3074,1.3074
48.4398,-1.2531,-1.2800,-1.2800,1.2800
48.9237,-1.2319,-1.2540,-1.2540,1.2540
49.4124,-1.2119,-1.2297,-1.2297,1.2297
49.9059,-1.1922,-1.2069,-1.2069,1.2069
50.4044,-1.1722,-1.1856,-1.1856,1.1856
50.9079,-1.1431,-1.1659,-1.1659,1.1659
51.4164,-1.1311,-1.1478,-1.1478,1.1478
51.9300,-1.1123,-1.1314,-1.1314,1.1314
52.4487,-1.0924,-1.1166,-1.1166,1.1166
52.9726,-1.0811,-1.1037,-1.1037,1.1037
53.5018,-1.0711,-1.0923,-1.0923,1.0923
54.0362,-1.0612,-1.0823,-1.0823,1.0823
54.5759,-1.0600,-1.0739,-1.0739,1.0739
55.1211,-1.0600,-1.0667,-1.0667,1.0667
55.6717,-1.0512,-1.0605,-1.0605,1.0605
56.2278,-1.0411,-1.0554,-1.0554,1.0554
56.7894,-1.0400,-1.0512,-1.0512,1.0512
57.3567,-1.0400,-1.0479,-1.0479,1.0479
57.9296,-1.0488,-1.0452,-1.0452,1.0452
58.5082,-1.0412,-1.0427,-1.0427,1.0427
59.0927,-1.0312,-1.0404,-1.0404,1.0404
59.6829,-1.0300,-1.0381,-1.0381,1.0381
60.2791,-1.0388,-1.0355,-1.0355,1.0355
60.8812,-1.0487,-1.0323,-1.0323,1.0323
61.4893,-1.0413,-1.0280,-1.0280,1.0280
62.1035,-1.0400,-1.0228,-1.0228,1.0228
62.7239,-1.0312,-1.0165,-1.0165,1.0165
63.3504,-1.0300,-1.0088,-1.0088,1.0088
63.9832,-1.0300,-0.9996,-0.9996,0.9996
64.6223,-1.0214,-0.9888,-0.9888,0.9888
65.2678,-1.0026,-0.9765,-0.9765,0.9765
65.9198,-0.9914,-0.9629,-0.9629,0.9629
66.5782,-0.9642,-0.9481,-0.9481,0.9481
67.2433,-0.9339,-0.9323,-0.9323,0.9323
67.9149,-0.9128,-0.9159,-0.9159,0.9159
68.5933,-0.9014,-0.8994,-0.8994,0.8994
69.2785,-0.8827,-0.8828,-0.8828,0.8828
69.9705,-0.8543,-0.8665,-0.8665,0.8665
70.6694,-0.8243,-0.8507,-0.8507,0.8507
71.3753,-0.8115,-0.8357,-0.8357,0.8357
72.0883,-0.8014,-0.8219,-0.8219,0.8219
72.8083,-0.7914,-0.8093,-0.8093,0.8093
73.5356,-0.7814,-0.7979,-0.7979,0.7979
74.2701,-0.7715,-0.7881,-0.7881,0.7881
75.0120,-0.7615,-0.7797,-0.7797,0.7797
75.7613,-0.7600,-0.7729,-0.7729,0.7729
76.5180,-0.7600,-0.7675,-0.7675,0.7675
77.2824,-0.7515,-0.7634,-0.7634,0.7634
78.0543,-0.7500,-0.7608,-0.7608,0.7608
78.8340,-0.7415,-0.7595,-0.7595,0.7595
79.6214,-0.7400,-0.7594,-0.7594,0.7594
80.4168,-0.7400,-0.7604,-0.7604,0.7604
81.2200,-0.7316,-0.7626,-0.7626,0.7626
82.0313,-0.7552,-0.7662,-0.7662,0.7662
82.8507,-0.7684,-0.7708,-0.7708,0.7708
83.6783,-0.7700,-0.7763,-0.7763,0.7763
84.5141,-0.7784,-0.7828,-0.7828,0.7828
85.3583,-0.7883,-0.7901,-0.7901,0.7901
86.2109,-0.7984,-0.7982,-0.7982,0.7982
87.0721,-0.8000,-0.8072,-0.8072,0.8072
87.9418,-0.8083,-0.8171,-0.8171,0.8171
88.8203,-0.8100,-0.8277,-0.8277,0.8277
89.7075,-0.8183,-0.8391,-0.8391,0.8391
90.6035,-0.8365,-0.8513,-0.8513,0.8513
91.5085,-0.8566,-0.8644,-0.8644,0.8644
92.4226,-0.8683,-0.8782,-0.8782,0.8782
93.3458,-0.8865,-0.8928,-0.8928,0.8928
94.2782,-0.9065,-0.9083,-0.9083,0.9083
95.2199,-0.9182,-0.9246,-0.9246,0.9246
96.1711,-0.9364,-0.9418,-0.9418,0.9418
97.1317,-0.9647,-0.9597,-0.9597,0.9597
98.1019,-0.9700,-0.9783,-0.9783,0.9783
99.0818,-0.9700,-0.9975,-0.9975,0.9975
100.0715,-0.9864,-1.0177,-1.0177,1.0177
101.0711,-1.0311,-1.0386,-1.0386,1.0386
102.0807,-1.0644,-1.0600,-1.0600,1.0600
103.1004,-1.0781,-1.0818,-1.0818,1.0818
104.1302,-1.0963,-1.1040,-1.1040,1.1040
105.1703,-1.1324,-1.1265,-1.1265,1.1265
106.2209,-1.1562,-1.1492,-1.1492,1.1492
107.2819,-1.1763,-1.1721,-1.1721,1.1721
108.3535,-1.1962,-1.1952,-1.1952,1.1952
109.4358,-1.2162,-1.2185,-1.2185,1.2185
110.5289,-1.2523,-1.2420,-1.2420,1.2420
111.6330,-1.2520,-1.2655,-1.2655,1.2655
112.7481,-1.2741,-1.2893,-1.2893,1.2893
113.8743,-1.3120,-1.3134,-1.3134,1.3134
115.0118,-1.3440,-1.3377,-1.3377,1.3377
116.1606,-1.3580,-1.3623,-1.3623,1.3623
117.3209,-1.3760,-1.3872,-1.3872,1.3872
118.4928,-1.4040,-1.4125,-1.4125,1.4125
119.6764,-1.4339,-1.4383,-1.4383,1.4383
120.8718,-1.4638,-1.4644,-1.4644,1.4644
122.0792,-1.4859,-1.4909,-1.4909,1.4909
123.2986,-1.5059,-1.5176,-1.5176,1.5176
124.5302,-1.5416,-1.5446,-1.5446,1.5446
125.7741,-1.5738,-1.5720,-1.5720,1.5720
127.0304,-1.6038,-1.5995,-1.5995,1.5995
128.2993,-1.6258,-1.6271,-1.6271,1.6271
129.5808,-1.6537,-1.6553,-1.6553,1.6553
130.8752,-1.6837,-1.6840,-1.6840,1.6840
132.1825,-1.7136,-1.7132,-1.7132,1.7132
133.5028,-1.7435,-1.7428,-1.7428,1.7428
134.8363,-1.7657,-1.7727,-1.7727,1.7727
136.1832,-1.7856,-1.8032,-1.8032,1.8032
137.5435,-1.8135,-1.8343,-1.8343,1.8343
138.9174,-1.8434,-1.8661,-1.8661,1.8661
140.3050,-1.8812,-1.8985,-1.8985,1.8985
141.7065,-1.9211,-1.9316,-1.9316,1.9316
143.1220,-1.9610,-1.9652,-1.9652,1.9652
144.5516,-2.0166,-1.9992,-1.9992,1.9992
145.9955,-2.0455,-2.0333,-2.0333,2.0333
147.4538,-2.0733,-2.0677,-2.0677,2.0677
148.9267,-2.1032,-2.1024,-2.1024,2.1024
150.4143,-2.1332,-2.1375,-2.1375,2.1375
151.9167,-2.1709,-2.1732,-2.1732,2.1732
153.4342,-2.2032,-2.2092,-2.2092,2.2092
154.9668,-2.2331,-2.2455,-2.2455,2.2455
156.5147,-2.2706,-2.2821,-2.2821,2.2821
158.0781,-2.3030,-2.3192,-2.3192,2.3192
159.6571,-2.3406,-2.3566,-2.3566,2.3566
161.2519,-2.3882,-2.3946,-2.3946,2.3946
162.8626,-2.4306,-2.4332,-2.4332,2.4332
164.4894,-2.4705,-2.4722,-2.4722,2.4722
166.1324,-2.5180,-2.5117,-2.5117,2.5117
167.7919,-2.5604,-2.5515,-2.5515,2.5515
169.4679,-2.5928,-2.5914,-2.5914,2.5914
171.1607,-2.6228,-2.6317,-2.6317,2.6317
172.8704,-2.6678,-2.6723,-2.6723,2.6723
174.5972,-2.7102,-2.7131,-2.7131,2.7131
176.3412,-2.7426,-2.7539,-2.7539,2.7539
178.1026,-2.7876,-2.7950,-2.7950,2.7950
179.8816,-2.8377,-2.8362,-2.8362,2.8362
181.6784,-2.8800,-2.8773,-2.8773,2.8773
183.4932,-2.9200,-2.9184,-2.9184,2.9184
185.3261,-2.9599,-2.9593,-2.9593,2.9593
187.1772,-2.9998,-3.0001,-3.0001,3.0001
189.0469,-3.0548,-3.0410,-3.0410,3.0410
190.9352,-3.0923,-3.0817,-3.0817,3.0817
192.8425,-3.1223,-3.1225,-3.1225,3.1225
194.7687,-3.1597,-3.1634,-3.1634,3.1634
196.7142,-3.1996,-3.2046,-3.2046,3.2046
198.6792,-3.2470,-3.2462,-3.2462,3.2462
200.6637,-3.2896,-3.2879,-3.2879,3.2879
202.6681,-3.3222,-3.3299,-3.3299,3.3299
204.6925,-3.3595,-3.3722,-3.3722,3.3722
206.7371,-3.3921,-3.4149,-3.4149,3.4149
208.8022,-3.4294,-3.4581,-3.4581,3.4581
210.8879,-3.4915,-3.5019,-3.5019,3.5019
212.9944,-3.5467,-3.5459,-3.5459,3.5459
215.1219,-3.5967,-3.5898,-3.5898,3.5898
217.2707,-3.6466,-3.6332,-3.6332,3.6332
219.4410,-3.6965,-3.6759,-3.6759,3.6759
221.6329,-3.7391,-3.7176,-3.7176,3.7176
223.8468,-3.7791,-3.7581,-3.7581,3.7581
226.0827,-3.8045,-3.7970,-3.7970,3.7970
228.3410,-3.8536,-3.8340,-3.8340,3.8340
230.6219,-3.8990,-3.8686,-3.8686,3.8686
232.9255,-3.9389,-3.9001,-3.9001,3.9001
235.2521,-3.9717,-3.9280,-3.9280,3.9280
237.6020,-3.9944,-3.9518,-3.9518,3.9518
239.9754,-4.0144,-3.9714,-3.9714,3.9714
242.3724,-4.0416,-3.9862,-3.9862,3.9862
244.7934,-4.0715,-3.9958,-3.9958,3.9958
247.2386,-4.0944,-3.9996,-3.9996,3.9996
249.7082,-4.0857,-3.9969,-3.9969,3.9969
