frequency,raw,smoothed,error,equalization
20.0000,4.7700,4.7985,4.7985,-4.7985
20.1998,4.7800,4.8010,4.8010,-4.8010
20.4015,4.7901,4.8042,4.8042,-4.8042
20.6053,4.7998,4.8078,4.8078,-4.8078
20.8112,4.8100,4.8119,4.8119,-4.8119
21.0190,4.8100,4.8164,4.8164,-4.8164
21.2290,4.8200,4.8216,4.8216,-4.8216
21.4410,4.8200,4.8273,4.8273,-4.8273
21.6552,4.8200,4.8336,4.8336,-4.8336
21.8715,4.8201,4.8405,4.8405,-4.8405
22.0900,4.8300,4.8479,4.8479,-4.8479
22.3106,4.8400,4.8557,4.8557,-4.8557
22.5335,4.8497,4.8632,4.8632,-4.8632
22.7586,4.8699,4.8700,4.8700,-4.8700
22.9859,4.8896,4.8755,4.8755,-4.8755
23.2155,4.9096,4.8796,4.8796,-4.8796
23.4474,4.9298,4.8819,4.8819,-4.8819
23.6816,4.9397,4.8823,4.8823,-4.8823
23.9182,4.9400,4.8807,4.8807,-4.8807
24.1571,4.9301,4.8772,4.8772,-4.8772
24.3984,4.9201,4.8720,4.8720,-4.8720
24.6421,4.8909,4.8652,4.8652,-4.8652
24.8882,4.8602,4.8572,4.8572,-4.8572
25.1368,4.8304,4.8484,4.8484,-4.8484
25.3879,4.8002,4.8391,4.8391,-4.8391
25.6415,4.7903,4.8297,4.8297,-4.8297
25.8976,4.7805,4.8203,4.8203,-4.8203
26.1563,4.7800,4.8110,4.8110,-4.8110
26.4176,4.7895,4.8016,4.8016,-4.8016
26.6815,4.7997,4.7918,4.7918,-4.7918
26.9480,4.8096,4.7811,4.7811,-4.7811
27.2172,4.8100,4.7691,4.7691,-4.7691
27.4890,4.8004,4.7553,4.7553,-4.7553
27.7636,4.7902,4.7396,4.7396,-4.7396
28.0409,4.7706,4.7219,4.7219,-4.7219
28.3210,4.7410,4.7023,4.7023,-4.7023
28.6039,4.7211,4.6812,4.6812,-4.6812
28.8896,4.6911,4.6591,4.6591,-4.6591
29.1782,4.6612,4.6364,4.6364,-4.6364
29.4697,4.6214,4.6135,4.6135,-4.6135
29.7640,4.5727,4.5909,4.5909,-4.5909
30.0613,4.5231,4.5691,4.5691,-4.5691
30.3616,4.4825,4.5486,4.5486,-4.5486
