frequency,raw,smoothed,error,equalization
20.0000,-0.1700,-0.0854,-0.0854,0.0854
20.1998,-0.1600,-0.0748,-0.0748,0.0748
20.4015,-0.1397,-0.0626,-0.0626,0.0626
20.6053,-0.1009,-0.0490,-0.0490,0.0490
20.8112,-0.0699,-0.0348,-0.0348,0.0348
21.0190,-0.0501,-0.0203,-0.0203,0.0203
21.2290,-0.0102,-0.0051,-0.0051,0.0051
21.4410,0.0002,0.0104,0.0104,-0.0104
21.6552,0.0489,0.0267,0.0267,-0.0267
21.8715,0.0602,0.0434,0.0434,-0.0434
22.0900,0.0900,0.0607,0.0607,-0.0607
22.3106,0.0900,0.0787,0.0787,-0.0787
22.5335,0.0900,0.0974,0.0974,-0.0974
22.7586,0.1397,0.1155,0.1155,-0.1155
22.9859,0.1400,0.1325,0.1325,-0.1325
23.2155,0.1400,0.1486,0.1486,-0.1486
23.4474,0.1400,0.1640,0.1640,-0.1640
23.6816,0.1883,0.1789,0.1789,-0.1789
23.9182,0.1900,0.1930,0.1930,-0.1930
24.1571,0.2295,0.2066,0.2066,-0.2066
24.3984,0.2300,0.2194,0.2194,-0.2194
24.6421,0.2300,0.2319,0.2319,-0.2319
24.8882,0.2796,0.2443,0.2443,-0.2443
25.1368,0.2800,0.2559,0.2559,-0.2559
25.3879,0.2800,0.2668,0.2668,-0.2668
25.6415,0.2800,0.2771,0.2771,-0.2771
25.8976,0.2800,0.2870,0.2870,-0.2870
26.1563,0.2800,0.2965,0.2965,-0.2965
26.4176,0.2800,0.3057,0.3057,-0.3057
26.6815,0.2993,0.3147,0.3147,-0.3147
26.9480,0.3287,0.3233,0.3233,-0.3233
27.2172,0.3490,0.3314,0.3314,-0.3314
27.4890,0.3692,0.3387,0.3387,-0.3387
27.7636,0.3700,0.3450,0.3450,-0.3450
28.0409,0.3700,0.3505,0.3505,-0.3505
28.3210,0.3700,0.3558,0.3558,-0.3558
28.6039,0.3700,0.3609,0.3609,-0.3609
28.8896,0.3700,0.3662,0.3662,-0.3662
29.1782,0.3700,0.3718,0.3718,-0.3718
29.4697,0.3700,0.3779,0.3779,-0.3779
29.7640,0.3700,0.3850,0.3850,-0.3850
30.0613,0.3700,0.3934,0.3934,-0.3934
30.3616,0.3700,0.4032,0.4032,-0.4032
30.6649,0.3700,0.4151,0.4151,-0.4151
30.9712,0.3700,0.4293,0.4293,-0.4293
31.2806,0.4075,0.4459,0.4459,-0.4459
31.5930,0.4195,0.4643,0.4643,-0.4643
31.9086,0.4667,0.4845,0.4845,-0.4845
32.2273,0.4796,0.5057,0.5057,-0.5057
32.5492,0.5175,0.5278,0.5278,-0.5278
32.8744,0.5580,0.5501,0.5501,-0.5501
33.2027,0.5979,0.5723,0.5723,-0.5723
33.5344,0.6286,0.5936,0.5936,-0.5936
33.8694,0.6488,0.6135,0.6135,-0.6135
34.2077,0.6874,0.6317,0.6317,-0.6317
34.5494,0.6994,0.6477,0.6477,-0.6477
34.8945,0.7000,0.6613,0.6613,-0.6613
35.2430,0.7000,0.6723,0.6723,-0.6723
35.5951,0.7000,0.6809,0.6809,-0.6809
35.9506,0.7000,0.6872,0.6872,-0.6872
36.3097,0.7000,0.6913,0.6913,-0.6913
36.6724,0.7185,0.6932,0.6932,-0.6932
37.0387,0.7200,0.6928,0.6928,-0.6928
37.4087,0.7012,0.6901,0.6901,-0.6901
37.7824,0.7000,0.6854,0.6854,-0.6854
38.1598,0.7000,0.6788,0.6788,-0.6788
38.5409,0.7000,0.6703,0.6703,-0.6703
38.9259,0.7000,0.6601,0.6601,-0.6601
39.3147,0.6626,0.6481,0.6481,-0.6481
39.7074,0.6508,0.6347,0.6347,-0.6347
40.1041,0.6500,0.6200,0.6200,-0.6200
40.5046,0.6227,0.6040,0.6040,-0.6040
40.9092,0.6108,0.5870,0.5870,-0.5870
41.3179,0.5639,0.5694,0.5694,-0.5694
41.7306,0.5507,0.5517,0.5517,-0.5517
42.1474,0.5131,0.5340,0.5340,-0.5340
42.5684,0.5008,0.5164,0.5164,-0.5164
42.9936,0.4725,0.4992,0.4992,-0.4992
43.4231,0.4700,0.4825,0.4825,-0.4825
43.8568,0.4610,0.4660,0.4660,-0.4660
44.2949,0.4233,0.4498,0.4498,-0.4498
44.7374,0.4200,0.4338,0.4338,-0.4338
45.1842,0.4200,0.4181,0.4181,-0.4181
45.6356,0.4200,0.4025,0.4025,-0.4025
46.0914,0.4200,0.3865,0.3865,-0.3865
46.5518,0.3931,0.3699,0.3699,-0.3699
47.0168,0.3719,0.3525,0.3525,-0.3525
